,time,open,high,low,close,volume
0,2010-05-21,16.53,16.53,16.53,16.53,17000
1,2010-05-24,17.28,17.33,17.22,17.33,274990
2,2010-05-25,18.14,18.14,17.22,18.08,143110
3,2010-05-26,18.37,18.48,17.56,18.37,87400
4,2010-05-27,18.37,18.37,17.45,18.25,70130
5,2010-05-28,18.14,18.37,17.68,18.37,146910
6,2010-05-31,18.54,18.54,17.45,18.31,243720
7,2010-06-01,19.17,19.17,18.08,19.17,114260
8,2010-06-02,19.98,20.09,19.98,20.09,86000
9,2010-06-03,21.07,21.07,21.07,21.07,13610
10,2010-06-04,22.1,22.1,20.66,21.98,523940
11,2010-06-07,20.89,21.24,20.89,20.89,115300
12,2010-06-08,19.92,20.55,19.86,19.98,160690
13,2010-06-09,20.95,20.95,20.61,20.84,133550
14,2010-06-10,20.03,20.66,19.98,19.98,158510
15,2010-06-11,20.61,20.61,19.98,20.55,109600
16,2010-06-14,20.66,20.95,20.2,20.66,160630
17,2010-06-15,21.52,21.52,20.66,20.66,197100
18,2010-06-16,20.89,21.12,20.66,20.78,148220
19,2010-06-17,20.78,21.81,20.66,21.81,305880
20,2010-06-18,22.33,22.39,21.52,22.1,182300
21,2010-06-21,22.1,22.67,22.1,22.5,134950
22,2010-06-22,21.41,22.96,21.41,21.41,93660
23,2010-06-23,21.01,21.47,20.95,21.01,82690
24,2010-06-24,21.24,21.24,20.43,20.43,46780
25,2010-06-25,20.49,21.41,20.43,21.41,147870
26,2010-06-28,21.75,21.81,20.61,20.61,40000
27,2010-06-29,20.61,20.66,20.09,20.49,71430
28,2010-06-30,20.09,20.09,19.86,19.86,21820
29,2010-07-01,19.52,19.86,18.88,19.52,122110
30,2010-07-02,19.52,19.52,18.94,19.23,28420
31,2010-07-05,20.09,20.09,18.94,19.06,50410
32,2010-07-06,18.83,18.83,18.14,18.14,75730
33,2010-07-07,18.77,18.83,18.14,18.14,56880
34,2010-07-08,18.54,18.54,18.14,18.14,61730
35,2010-07-09,17.68,18.54,17.68,17.74,18100
36,2010-07-12,16.99,17.56,16.99,17.51,38830
37,2010-07-13,17.51,18.37,17.51,18.37,83440
38,2010-07-14,18.94,18.94,17.56,17.56,50280
39,2010-07-15,18.43,18.43,18.43,18.43,16990
40,2010-07-16,19.34,19.34,19.34,19.34,19180
41,2010-07-19,19.34,19.34,18.48,18.6,102760
42,2010-07-20,18.88,19.34,18.37,18.88,30510
43,2010-07-21,19.17,19.17,18.14,18.94,85400
44,2010-07-22,18.66,19.06,18.66,18.94,91800
45,2010-07-23,18.94,18.94,18.37,18.37,34100
46,2010-07-26,18.83,18.83,18.08,18.08,37530
47,2010-07-27,17.62,18.08,17.51,17.62,47670
