,time,open,high,low,close,volume
0,2002-08-08,5.31,5.31,5.31,5.31,10000
1,2002-08-09,5.17,5.17,5.17,5.17,1400
2,2002-08-12,5.02,5.02,5.02,5.02,100
3,2002-08-13,4.88,4.88,4.88,4.88,100
4,2002-08-14,4.73,4.73,4.73,4.73,100
5,2002-08-15,4.61,4.61,4.61,4.61,500
6,2002-08-16,4.52,4.52,4.52,4.52,6000
7,2002-08-19,4.64,4.64,4.64,4.64,8600
8,2002-08-20,4.73,4.73,4.73,4.73,600
9,2002-08-21,4.73,4.73,4.73,4.73,300
10,2002-08-22,4.83,4.83,4.83,4.83,500
11,2002-08-23,4.69,4.69,4.69,4.69,400
12,2002-08-26,4.59,4.59,4.59,4.59,5200
13,2002-08-27,4.54,4.54,4.54,4.54,1400
14,2002-08-28,4.54,4.54,4.54,4.54,1400
15,2002-08-29,4.59,4.59,4.59,4.59,600
16,2002-08-30,4.59,4.59,4.59,4.59,0
17,2002-09-03,4.66,4.66,4.66,4.66,100
18,2002-09-04,4.64,4.64,4.64,4.64,400
19,2002-09-05,4.64,4.64,4.64,4.64,1000
20,2002-09-06,4.71,4.71,4.71,4.71,6500
21,2002-09-09,4.71,4.71,4.71,4.71,2800
22,2002-09-10,4.66,4.66,4.66,4.66,600
23,2002-09-11,4.66,4.66,4.66,4.66,600
24,2002-09-12,4.66,4.66,4.66,4.66,5200
25,2002-09-13,4.61,4.61,4.61,4.61,2000
26,2002-09-16,4.61,4.61,4.61,4.61,2600
27,2002-09-17,4.61,4.61,4.61,4.61,1900
28,2002-09-18,4.59,4.59,4.59,4.59,100
29,2002-09-19,4.59,4.59,4.59,4.59,0
30,2002-09-20,4.59,4.59,4.59,4.59,0
31,2002-09-23,4.59,4.59,4.59,4.59,1000
32,2002-09-24,4.59,4.59,4.59,4.59,0
33,2002-09-25,4.59,4.59,4.59,4.59,1100
34,2002-09-26,4.64,4.64,4.64,4.64,1000
35,2002-09-27,4.64,4.64,4.64,4.64,200
36,2002-09-30,4.64,4.64,4.64,4.64,0
37,2002-10-01,4.52,4.52,4.52,4.52,100
38,2002-10-02,4.64,4.64,4.64,4.64,100
39,2002-10-03,4.64,4.64,4.64,4.64,100
40,2002-10-04,4.64,4.64,4.64,4.64,0
41,2002-10-07,4.52,4.52,4.52,4.52,500
42,2002-10-08,4.59,4.59,4.59,4.59,100
43,2002-10-09,4.71,4.71,4.71,4.71,100
44,2002-10-10,4.71,4.71,4.71,4.71,0
45,2002-10-11,4.71,4.71,4.71,4.71,0
46,2002-10-14,4.71,4.71,4.71,4.71,100
47,2002-10-15,4.71,4.71,4.71,4.71,100
48,2002-10-16,4.71,4.71,4.71,4.71,0
49,2002-10-17,4.71,4.71,4.71,4.71,0
50,2002-10-18,4.71,4.71,4.71,4.71,0
51,2002-10-21,4.71,4.71,4.71,4.71,0
52,2002-10-22,4.61,4.61,4.61,4.61,100
53,2002-10-23,4.61,4.61,4.61,4.61,0
54,2002-10-24,4.61,4.61,4.61,4.61,0
55,2002-10-25,4.61,4.61,4.61,4.61,0
56,2002-10-28,4.66,4.66,4.66,4.66,100
57,2002-10-29,4.66,4.66,4.66,4.66,0
58,2002-10-30,4.54,4.54,4.54,4.54,100
59,2002-10-31,4.54,4.54,4.54,4.54,0
60,2002-11-01,4.54,4.54,4.54,4.54,0
61,2002-11-04,4.54,4.54,4.54,4.54,0
62,2002-11-05,4.61,4.61,4.61,4.61,200
63,2002-11-06,4.69,4.69,4.69,4.69,100
64,2002-11-07,4.69,4.69,4.69,4.69,0
65,2002-11-08,4.69,4.69,4.69,4.69,0
66,2002-11-11,4.59,4.59,4.59,4.59,1500
67,2002-11-12,4.47,4.47,4.47,4.47,700
68,2002-11-13,4.44,4.44,4.44,4.44,700
69,2002-11-14,4.35,4.35,4.35,4.35,500
70,2002-11-15,4.32,4.32,4.32,4.32,100
71,2002-11-18,4.28,4.28,4.28,4.28,1100
72,2002-11-19,4.28,4.28,4.28,4.28,0
73,2002-11-20,4.28,4.28,4.28,4.28,0
74,2002-11-21,4.4,4.4,4.4,4.4,100
75,2002-11-22,4.4,4.4,4.4,4.4,0
76,2002-11-25,4.4,4.4,4.4,4.4,100
77,2002-11-26,4.4,4.4,4.4,4.4,0
78,2002-11-27,4.4,4.4,4.4,4.4,0
79,2002-11-28,4.4,4.4,4.4,4.4,0
