,time,open,high,low,close,volume
0,2007-12-13,58.54,58.54,45.37,50.49,167500
1,2007-12-14,49.76,49.76,46.32,46.32,46700
2,2007-12-17,46.9,46.9,43.17,43.17,5800
3,2007-12-18,40.61,42.44,39.73,41.85,27200
4,2007-12-19,41.71,44.71,40.98,43.9,51200
5,2007-12-20,43.9,43.9,40.39,40.39,22600
6,2007-12-21,40.98,43.17,40.98,40.39,12100
7,2007-12-24,43.32,43.32,40.98,41.71,18400
8,2007-12-25,42.44,42.44,40.1,40.1,17700
9,2007-12-26,40.24,41.93,40.24,40.98,17300
10,2007-12-27,41.56,42.22,40.24,40.61,19600
11,2007-12-28,40.61,41.56,40.54,40.98,9900
12,2008-01-02,40.98,40.98,40.24,40.32,10100
13,2008-01-03,40.61,40.61,38.05,38.05,10300
14,2008-01-04,37.68,37.68,36.22,36.22,10700
15,2008-01-07,35.27,35.27,33.66,33.66,17600
16,2008-01-08,35.93,35.93,33.29,33.44,15200
17,2008-01-09,34.61,34.61,32.2,32.2,12500
18,2008-01-10,31.46,32.93,31.46,32.93,7300
19,2008-01-11,32.93,34.76,32.93,32.93,14300
20,2008-01-14,31.46,31.54,30.73,30.73,18200
21,2008-01-15,30.73,30.73,28.24,28.24,8300
22,2008-01-16,30.0,31.39,30.0,31.39,6100
23,2008-01-17,33.66,33.66,30.0,31.46,38800
24,2008-01-18,32.2,32.93,31.83,32.27,20500
25,2008-01-21,32.34,32.34,31.32,32.2,6500
26,2008-01-22,30.0,31.61,30.0,31.61,10400
27,2008-01-23,30.81,31.1,29.34,31.1,18700
28,2008-01-24,30.73,32.2,30.07,30.73,18700
29,2008-01-25,30.73,30.73,30.37,30.73,9100
30,2008-01-28,30.73,31.83,30.73,31.46,15000
31,2008-01-29,32.2,34.17,32.2,34.17,27200
32,2008-01-30,37.24,37.24,37.24,37.24,9800
33,2008-01-31,40.9,40.9,34.39,40.9,124100
34,2008-02-01,43.32,43.32,42.44,43.32,86300
35,2008-02-12,47.56,47.56,41.64,43.9,66800
36,2008-02-13,46.83,46.83,40.98,40.98,60300
37,2008-02-14,42.07,45.29,41.34,43.03,61700
38,2008-02-15,42.44,42.44,39.51,41.71,53500
39,2008-02-18,39.51,39.51,37.46,38.27,78200
40,2008-02-19,38.71,42.0,38.27,40.1,85600
41,2008-02-20,40.32,41.85,38.34,39.51,56900
42,2008-02-21,38.78,38.85,36.29,36.29,52300
43,2008-02-22,33.66,37.32,32.93,36.51,85200
44,2008-02-25,37.68,37.98,36.95,37.98,48900
45,2008-02-26,38.78,39.15,34.83,35.12,40700
46,2008-02-27,34.39,37.68,33.66,35.12,38400
47,2008-02-28,35.49,36.22,34.1,35.85,30700
48,2008-02-29,35.12,35.85,33.29,34.39,38900
49,2008-03-03,37.32,37.32,33.0,34.68,54500
50,2008-03-04,33.66,33.66,31.76,31.76,25100
51,2008-03-05,28.76,32.49,28.76,31.83,97200
52,2008-03-06,32.78,32.78,32.78,32.78,17400
53,2008-03-07,36.0,36.0,36.0,36.0,200
54,2008-03-10,39.59,39.59,35.85,36.81,148800
55,2008-03-11,36.59,36.59,34.24,34.24,38900
56,2008-03-12,34.39,38.05,33.59,35.85,46100
57,2008-03-13,36.59,37.32,34.54,35.12,29400
58,2008-03-14,34.39,35.12,34.03,34.17,18100
59,2008-03-17,33.66,33.66,31.46,31.54,32800
60,2008-03-18,30.0,30.0,28.61,28.61,60000
61,2008-03-19,29.27,31.39,27.22,28.03,34900
62,2008-03-20,28.54,29.27,27.88,27.95,18200
63,2008-03-21,27.81,27.81,25.83,25.83,41000
64,2008-03-24,24.15,24.15,23.63,23.63,8700
65,2008-03-25,21.95,23.71,21.37,21.37,19400
66,2008-03-26,19.32,23.56,19.32,23.49,35500
67,2008-03-27,23.71,23.71,23.71,23.71,2500
68,2008-03-28,24.15,24.15,24.15,24.15,100
69,2008-03-31,24.59,24.59,24.59,24.59,200
70,2008-04-01,25.02,25.02,25.02,25.02,100
71,2008-04-02,25.46,25.46,25.46,25.46,100
72,2008-04-03,25.9,25.9,25.9,25.9,400
73,2008-04-04,26.42,26.42,26.42,26.42,600
74,2008-04-07,27.15,27.15,27.15,27.15,400
75,2008-04-08,27.95,27.95,26.34,27.07,57200
76,2008-04-09,26.78,26.78,26.05,26.05,4800
77,2008-04-10,25.39,25.39,25.39,25.39,500
78,2008-04-11,24.66,24.66,24.66,24.66,3300
79,2008-04-16,23.93,23.93,23.93,23.93,2000
80,2008-04-17,23.27,24.59,23.27,24.29,40800
81,2008-04-18,24.51,24.51,23.2,23.2,9000
82,2008-04-21,22.83,22.83,22.83,22.83,6400
83,2008-04-22,22.17,22.17,22.17,22.17,2700
84,2008-04-23,21.51,21.51,21.51,21.51,100
85,2008-04-24,20.93,21.81,20.93,20.93,28500
86,2008-04-25,20.34,20.34,20.34,20.34,3700
87,2008-04-28,19.76,20.34,19.76,19.76,23500
88,2008-04-29,19.39,19.46,19.39,19.39,15900
89,2008-05-05,18.88,18.88,18.88,18.88,2200
90,2008-05-06,18.37,18.37,18.37,18.37,1500
91,2008-05-07,17.85,17.85,17.85,17.85,1400
92,2008-05-08,17.34,17.34,17.34,17.34,1600
93,2008-05-09,16.83,16.83,16.83,16.83,100
94,2008-05-12,16.39,16.39,16.39,16.39,100
95,2008-05-13,15.95,15.95,15.95,15.95,100
96,2008-05-14,15.95,15.95,15.95,15.95,0
97,2008-05-15,15.51,15.51,15.51,15.51,1000
98,2008-05-16,15.07,15.07,15.07,15.07,8600
99,2008-05-19,14.63,14.63,14.63,14.63,10000
100,2008-05-20,14.2,14.2,14.2,14.2,500
101,2008-05-21,14.2,14.2,14.2,14.2,0
102,2008-05-22,13.83,13.83,13.83,13.83,100
103,2008-05-23,13.46,13.46,13.46,13.46,100
104,2008-05-26,13.1,13.1,13.1,13.1,100
105,2008-05-27,12.73,12.73,12.73,12.73,100
106,2008-05-28,12.37,12.37,12.37,12.37,100
107,2008-05-29,12.0,12.0,12.0,12.0,700
108,2008-05-30,11.71,11.71,11.71,11.71,700
109,2008-06-02,11.41,11.41,11.41,11.41,100
110,2008-06-03,11.12,11.12,11.12,11.12,100
111,2008-06-04,10.83,10.83,10.83,10.83,300
112,2008-06-05,10.54,10.54,10.54,10.54,200
113,2008-06-06,10.24,10.24,10.24,10.24,400
114,2008-06-09,9.95,9.95,9.95,9.95,100
115,2008-06-10,9.66,9.66,9.66,9.66,300
116,2008-06-11,9.44,9.88,9.44,9.51,89500
117,2008-06-12,9.51,9.81,9.51,9.81,30800
118,2008-06-13,10.1,10.1,9.51,10.1,22000
119,2008-06-16,10.17,10.17,10.17,10.17,2000
120,2008-06-17,10.46,10.46,10.46,10.46,2000
121,2008-06-18,10.76,10.76,10.17,10.17,25700
122,2008-06-19,10.17,10.17,10.17,10.17,0
123,2008-06-20,10.39,10.39,10.39,10.39,1100
124,2008-06-23,10.02,10.24,10.02,10.02,45400
125,2008-06-24,9.73,9.88,9.66,9.88,18400
126,2008-06-25,9.73,10.02,9.51,9.73,29200
127,2008-06-26,9.88,10.02,9.44,9.59,24500
128,2008-06-27,9.15,9.51,9.15,9.37,26400
129,2008-06-30,8.85,9.22,8.85,9.07,27600
130,2008-07-01,8.85,9.29,8.85,9.29,10300
131,2008-07-02,9.59,9.59,9.59,9.59,21300
132,2008-07-03,9.95,9.95,9.95,9.95,11500
133,2008-07-04,10.32,10.32,10.32,10.32,3000
134,2008-07-07,10.68,10.68,9.95,10.02,57100
135,2008-07-08,10.32,10.9,10.17,10.83,53000
136,2008-07-09,10.83,10.83,10.54,10.83,59600
137,2008-07-10,11.05,11.05,10.98,11.05,35900
138,2008-07-11,11.49,11.49,11.49,11.49,17900
139,2008-07-14,11.93,11.93,11.93,11.93,5600
140,2008-07-15,12.37,12.37,12.37,12.37,3500
141,2008-07-16,12.81,12.81,11.93,12.81,106500
142,2008-07-17,13.17,13.17,12.66,13.17,52400
143,2008-07-18,13.54,13.61,12.66,12.66,25100
144,2008-07-21,12.66,12.66,12.66,12.66,0
145,2008-07-22,12.51,12.51,12.51,12.51,100
146,2008-07-23,12.07,12.07,12.07,12.07,100
147,2008-07-24,11.63,11.63,11.63,11.63,30900
148,2008-07-25,11.2,11.2,11.2,11.2,13000
