,time,open,high,low,close,volume
0,2013-01-29,8.84,8.93,8.67,8.84,14800
1,2013-01-30,9.11,9.29,9.11,9.29,5000
2,2013-01-31,9.73,9.73,9.73,9.73,7100
3,2013-02-01,10.17,10.17,10.17,10.17,20000
4,2013-02-04,10.08,10.08,10.08,10.08,100
5,2013-02-05,10.08,10.08,10.08,10.08,0
6,2013-02-06,10.17,10.17,9.2,9.2,17000
7,2013-02-07,9.2,9.2,9.2,9.2,0
8,2013-02-08,9.2,9.2,9.2,9.2,0
9,2013-02-18,8.49,8.49,8.4,8.4,2900
10,2013-02-19,8.4,8.4,8.4,8.4,0
11,2013-02-20,8.4,8.4,8.4,8.4,0
12,2013-02-21,8.4,8.4,8.4,8.4,0
13,2013-02-22,8.4,8.4,8.4,8.4,0
14,2013-02-25,8.4,8.4,8.4,8.4,0
15,2013-02-26,8.4,8.4,8.4,8.4,0
16,2013-02-27,8.4,8.4,8.4,8.4,0
17,2013-02-28,9.2,9.2,9.2,9.2,100
18,2013-03-01,9.99,10.08,9.99,10.08,22000
19,2013-03-04,10.88,10.88,10.88,10.88,100
20,2013-03-05,11.5,11.5,11.5,11.5,6700
21,2013-03-06,12.65,12.65,12.65,12.65,18000
22,2013-03-07,13.27,13.53,13.27,13.53,43000
23,2013-03-08,14.77,14.77,14.77,14.77,27000
24,2013-03-11,14.77,14.77,14.77,14.77,0
25,2013-03-12,14.77,14.77,14.77,14.77,0
26,2013-03-13,16.1,16.1,16.1,16.1,20000
27,2013-03-14,16.27,16.27,16.01,16.01,30400
28,2013-03-15,16.01,16.01,16.01,16.01,0
29,2013-03-18,16.01,16.01,16.01,16.01,0
30,2013-03-19,16.01,16.01,16.01,16.01,100
31,2013-03-20,17.07,17.25,17.07,17.25,19300
32,2013-03-21,18.93,18.93,18.93,18.93,100
33,2013-03-22,20.61,20.61,17.07,17.07,26700
34,2013-03-25,17.07,17.07,17.07,17.07,0
35,2013-03-26,17.07,17.07,17.07,17.07,0
36,2013-03-27,18.13,18.13,18.13,18.13,5000
37,2013-03-28,19.81,19.81,19.81,19.81,60700
38,2013-03-29,19.81,19.81,19.81,19.81,0
39,2013-04-01,19.81,19.81,19.81,19.81,0
40,2013-04-02,19.81,19.81,19.81,19.81,0
41,2013-04-03,19.72,19.72,19.72,19.72,16900
42,2013-04-04,19.72,19.72,19.72,19.72,0
43,2013-04-05,21.58,21.58,21.58,21.58,6500
44,2013-04-08,21.58,21.58,21.58,21.58,0
45,2013-04-09,21.58,21.58,21.58,21.58,3500
46,2013-04-10,21.58,21.58,21.58,21.58,0
47,2013-04-11,21.49,21.49,21.49,21.49,2000
48,2013-04-12,21.49,21.49,21.49,21.49,0
49,2013-04-15,21.67,21.67,21.67,21.67,3000
50,2013-04-16,21.67,21.67,21.67,21.67,0
51,2013-04-17,21.67,21.67,21.67,21.67,5000
52,2013-04-18,21.67,21.67,21.67,21.67,0
53,2013-04-22,21.67,21.67,21.67,21.67,2000
54,2013-04-23,21.67,21.67,21.67,21.67,0
55,2013-04-24,21.67,21.67,21.67,21.67,3800
56,2013-04-25,21.67,21.67,21.67,21.67,0
57,2013-04-26,19.55,23.79,19.55,23.79,3200
58,2013-05-02,23.79,23.79,23.79,23.79,0
59,2013-05-03,21.49,21.49,21.49,21.49,4900
60,2013-05-06,19.37,23.62,19.37,23.62,1300
61,2013-05-07,23.62,23.62,23.62,23.62,0
62,2013-05-08,23.62,23.62,23.62,23.62,0
63,2013-05-09,23.62,23.62,23.62,23.62,0
64,2013-05-10,23.62,23.62,23.62,23.62,0
65,2013-05-13,23.7,23.7,23.7,23.7,1400
66,2013-05-14,23.7,23.7,23.7,23.7,0
67,2013-05-15,23.7,23.7,23.7,23.7,0
68,2013-05-16,23.7,23.7,23.7,23.7,0
69,2013-05-17,23.7,23.7,23.7,23.7,0
70,2013-05-20,23.7,23.7,23.7,23.7,0
71,2013-05-21,23.7,23.7,23.7,23.7,0
72,2013-05-22,26.0,26.0,26.0,26.0,25000
73,2013-05-23,26.0,26.0,26.0,26.0,0
74,2013-05-24,26.0,26.0,26.0,26.0,0
75,2013-05-27,26.0,26.0,26.0,26.0,8200
76,2013-05-28,26.0,26.0,26.0,26.0,0
77,2013-05-29,28.57,28.57,23.44,23.44,16300
78,2013-05-30,23.44,23.44,23.44,23.44,0
79,2013-05-31,23.44,23.44,23.44,23.44,0
80,2013-06-03,23.44,23.44,23.44,23.44,0
81,2013-06-04,23.44,23.44,23.44,23.44,0
82,2013-06-05,23.44,23.44,23.44,23.44,0
83,2013-06-06,23.44,23.44,23.44,23.44,0
84,2013-06-07,21.14,21.14,21.14,21.14,200
85,2013-06-10,23.17,23.17,23.17,23.17,25000
86,2013-06-11,23.35,23.35,23.35,23.35,3200
87,2013-06-12,24.77,24.77,24.77,24.77,100
88,2013-06-13,26.53,27.24,26.53,26.53,220100
89,2013-06-14,26.53,26.53,26.53,26.53,0
90,2013-06-17,26.53,26.53,26.53,26.53,0
91,2013-06-18,26.53,26.53,26.53,26.53,0
92,2013-06-19,26.53,26.53,26.53,26.53,0
93,2013-06-20,26.53,26.53,26.53,26.53,0
94,2013-06-21,26.53,26.53,26.53,26.53,0
95,2013-06-24,26.53,26.53,26.53,26.53,0
96,2013-06-25,26.53,26.53,26.53,26.53,0
97,2013-06-26,26.53,26.53,26.53,26.53,0
98,2013-06-27,26.53,26.53,26.53,26.53,0
99,2013-06-28,26.53,26.53,26.53,26.53,0
100,2013-07-01,28.3,28.3,26.53,26.53,260900
101,2013-07-02,26.53,26.53,26.53,26.53,0
102,2013-07-03,26.53,26.53,26.53,26.53,0
103,2013-07-04,26.53,26.53,26.53,26.53,0
104,2013-07-05,26.53,26.53,26.53,26.53,0
105,2013-07-08,26.53,26.53,26.53,26.53,0
106,2013-07-09,26.53,26.53,26.53,26.53,0
107,2013-07-10,26.53,26.53,26.53,26.53,0
108,2013-07-11,26.53,26.53,26.53,26.53,0
109,2013-07-12,23.88,23.88,23.88,23.88,10000
110,2013-07-15,23.88,23.88,23.88,23.88,0
111,2013-07-16,23.88,23.88,23.88,23.88,0
112,2013-07-17,23.88,23.88,23.88,23.88,0
113,2013-07-18,21.49,21.49,21.49,21.49,200
114,2013-07-19,21.49,21.49,21.49,21.49,0
115,2013-07-22,19.37,19.37,19.37,19.37,100
116,2013-07-23,19.37,19.37,19.37,19.37,0
117,2013-07-24,17.69,17.69,17.69,17.69,100
118,2013-07-25,17.69,17.69,17.69,17.69,0
119,2013-07-26,17.69,17.69,17.69,17.69,0
120,2013-07-29,17.69,17.69,17.69,17.69,0
121,2013-07-30,17.69,17.69,17.69,17.69,0
122,2013-07-31,16.36,16.36,16.36,16.36,100
123,2013-08-01,16.36,16.36,16.36,16.36,0
124,2013-08-02,16.36,16.36,16.36,16.36,0
125,2013-08-05,14.77,14.77,14.77,14.77,100
126,2013-08-06,13.36,13.36,13.36,13.36,100
127,2013-08-07,13.36,13.36,13.36,13.36,0
128,2013-08-08,13.36,13.36,13.36,13.36,0
129,2013-08-09,13.36,13.36,13.36,13.36,0
130,2013-08-12,13.36,13.36,13.36,13.36,0
131,2013-08-13,13.36,13.36,13.36,13.36,0
132,2013-08-14,12.21,12.21,12.21,12.21,100
133,2013-08-15,11.06,11.06,11.06,11.06,100
134,2013-08-16,9.99,9.99,9.99,9.99,100
135,2013-08-19,9.02,9.02,9.02,9.02,400
136,2013-08-20,8.14,8.14,8.14,8.14,100
137,2013-08-21,7.43,7.43,7.43,7.43,100
138,2013-08-22,6.72,6.72,6.72,6.72,100
139,2013-08-23,6.1,6.1,6.1,6.1,300
140,2013-08-26,5.75,5.75,5.57,5.57,400
141,2013-08-27,5.04,5.04,5.04,5.04,1300
142,2013-08-28,5.04,5.04,4.6,4.6,1100
143,2013-08-29,4.16,4.16,4.16,4.16,400
144,2013-08-30,3.89,3.89,3.89,3.89,200
145,2013-09-03,3.54,3.54,3.54,3.54,2300
146,2013-09-04,3.18,3.8,3.18,3.18,3300
147,2013-09-05,2.92,3.45,2.92,2.92,6500
148,2013-09-06,2.74,2.74,2.65,2.65,22800
149,2013-09-09,2.57,2.57,2.39,2.39,13100
150,2013-09-10,2.48,2.48,2.21,2.21,79300
151,2013-09-11,2.39,2.39,2.39,2.39,200
152,2013-09-12,2.57,2.57,2.21,2.21,9000
153,2013-09-13,2.03,2.03,2.03,2.03,25800
154,2013-09-16,1.95,1.95,1.86,1.86,119300
155,2013-09-17,1.77,1.77,1.68,1.68,142100
156,2013-09-18,1.77,1.77,1.59,1.77,220900
157,2013-09-19,1.95,1.95,1.95,1.95,34500
158,2013-09-20,2.12,2.12,2.12,2.12,165400
159,2013-09-23,2.3,2.3,2.12,2.21,140200
160,2013-09-24,2.3,2.39,2.3,2.39,66100
161,2013-09-25,2.39,2.57,2.39,2.57,38400
162,2013-09-26,2.74,2.74,2.65,2.74,194800
163,2013-09-27,3.01,3.01,2.83,3.01,63800
164,2013-09-30,3.27,3.27,3.27,3.27,23300
165,2013-10-01,3.54,3.54,3.54,3.54,18700
166,2013-10-02,3.89,3.89,3.27,3.27,135900
167,2013-10-03,3.36,3.36,3.01,3.01,181400
168,2013-10-04,2.74,3.01,2.74,3.01,126800
169,2013-10-07,3.18,3.27,2.83,3.27,61400
170,2013-10-08,3.1,3.18,3.01,3.01,71500
171,2013-10-09,3.01,3.01,2.83,2.92,12000
172,2013-10-10,2.92,2.92,2.65,2.65,40800
173,2013-10-11,2.74,2.92,2.74,2.83,52300
174,2013-10-14,2.83,2.83,2.65,2.74,23600
175,2013-10-15,2.74,2.74,2.48,2.65,34200
176,2013-10-16,2.57,2.92,2.48,2.65,59600
177,2013-10-17,2.65,2.83,2.57,2.74,37200
178,2013-10-18,2.65,2.74,2.65,2.74,18700
179,2013-10-21,2.65,2.92,2.65,2.83,72200
180,2013-10-22,2.83,2.92,2.65,2.74,49000
181,2013-10-23,2.65,2.74,2.65,2.65,19100
182,2013-10-24,2.65,2.74,2.65,2.74,27200
183,2013-10-25,2.65,2.83,2.65,2.83,29600
184,2013-10-28,2.83,2.83,2.65,2.65,8500
185,2013-10-29,2.65,2.74,2.65,2.74,27800
186,2013-10-30,2.74,2.83,2.74,2.74,39100
187,2013-10-31,2.65,2.74,2.65,2.74,3000
188,2013-11-01,2.74,2.74,2.74,2.74,37200
189,2013-11-04,2.83,3.01,2.83,3.01,45900
190,2013-11-05,3.27,3.27,3.27,3.27,12200
191,2013-11-06,3.54,3.54,3.27,3.54,154700
192,2013-11-07,3.54,3.63,3.27,3.36,41200
193,2013-11-08,3.36,3.36,3.1,3.27,113100
194,2013-11-11,3.36,3.36,3.18,3.27,56500
195,2013-11-12,3.18,3.18,3.01,3.1,80000
196,2013-11-13,3.1,3.1,3.01,3.1,38600
197,2013-11-14,3.1,3.1,3.01,3.1,14300
198,2013-11-15,2.92,3.27,2.92,3.27,58400
199,2013-11-18,3.27,3.27,3.18,3.18,46600
200,2013-11-19,3.27,3.45,3.18,3.45,105400
201,2013-11-20,3.71,3.71,3.71,3.71,71900
