,time,open,high,low,close,volume
0,2019-01-17,12.67,12.67,12.67,12.67,0
1,2019-01-18,12.67,12.67,12.67,12.67,0
2,2019-01-21,12.67,12.67,12.67,12.67,0
3,2019-01-22,12.67,12.67,12.67,12.67,0
4,2019-01-23,12.67,12.67,12.67,12.67,0
5,2019-01-24,12.67,12.67,12.67,12.67,0
6,2019-01-25,12.67,12.67,12.67,12.67,0
7,2019-01-28,12.67,12.67,12.67,12.67,0
8,2019-01-29,12.67,12.67,12.67,12.67,0
9,2019-01-30,12.67,12.67,12.67,12.67,0
10,2019-01-31,12.67,12.67,12.67,12.67,0
11,2019-02-01,12.67,12.67,12.67,12.67,0
12,2019-02-11,12.67,12.67,12.67,12.67,0
13,2019-02-12,12.67,12.67,12.67,12.67,0
14,2019-02-13,12.67,12.67,12.67,12.67,0
15,2019-02-14,12.67,12.67,12.67,12.67,0
16,2019-02-15,12.67,12.67,12.67,12.67,0
17,2019-02-18,12.67,12.67,12.67,12.67,0
18,2019-02-19,12.67,12.67,12.67,12.67,0
19,2019-02-20,12.67,12.67,12.67,12.67,0
20,2019-02-21,12.67,12.67,12.67,12.67,0
21,2019-02-22,12.67,12.67,12.67,12.67,0
22,2019-02-25,12.67,12.67,12.67,12.67,0
23,2019-02-26,12.67,12.67,12.67,12.67,0
24,2019-02-27,12.67,12.67,12.67,12.67,0
25,2019-02-28,12.67,12.67,12.67,12.67,0
26,2019-03-01,12.67,12.67,12.67,12.67,0
27,2019-03-04,12.67,12.67,12.67,12.67,0
28,2019-03-05,12.67,12.67,12.67,12.67,0
29,2019-03-06,12.67,12.67,12.67,12.67,0
30,2019-03-07,12.67,12.67,12.67,12.67,0
31,2019-03-08,12.67,12.67,12.67,12.67,0
32,2019-03-11,12.67,12.67,12.67,12.67,0
33,2019-03-12,12.67,12.67,12.67,12.67,0
34,2019-03-13,9.55,9.55,9.55,9.55,5000
35,2019-03-14,9.55,9.55,9.55,9.55,200
36,2019-03-15,9.55,9.55,9.55,9.55,0
37,2019-03-18,9.55,9.55,9.55,9.55,0
38,2019-03-19,9.55,9.55,9.55,9.55,0
39,2019-03-20,9.55,9.55,9.55,9.55,0
40,2019-03-21,9.55,9.55,9.55,9.55,0
41,2019-03-22,8.11,8.11,8.11,8.11,100
42,2019-03-25,6.9,6.9,6.9,6.9,100
43,2019-03-26,6.9,6.9,6.9,6.9,0
44,2019-03-27,6.9,6.9,6.9,6.9,0
45,2019-03-28,5.98,5.98,5.98,5.98,100
46,2019-03-29,5.1,5.1,5.1,5.1,100
47,2019-04-01,5.1,5.1,5.1,5.1,0
48,2019-04-02,5.1,5.1,5.1,5.1,0
49,2019-04-03,5.1,5.1,5.1,5.1,0
50,2019-04-04,5.1,5.1,5.1,5.1,0
51,2019-04-05,5.1,5.1,5.1,5.1,0
52,2019-04-08,5.1,5.1,5.1,5.1,0
53,2019-04-09,5.1,5.1,5.1,5.1,0
54,2019-04-10,5.1,5.1,5.1,5.1,0
55,2019-04-11,5.1,5.1,5.1,5.1,0
56,2019-04-12,5.1,5.1,5.1,5.1,0
57,2019-04-16,5.1,5.1,5.1,5.1,0
58,2019-04-17,5.1,5.1,5.1,5.1,0
59,2019-04-18,5.1,5.1,5.1,5.1,0
60,2019-04-19,5.1,5.1,5.1,5.1,0
61,2019-04-22,5.1,5.1,5.1,5.1,0
62,2019-04-23,5.1,5.1,5.1,5.1,0
63,2019-04-24,5.1,5.1,5.1,5.1,0
64,2019-04-25,5.1,5.1,5.1,5.1,0
65,2019-04-26,5.1,5.1,5.1,5.1,0
66,2019-05-02,5.1,5.1,5.1,5.1,0
67,2019-05-03,5.1,5.1,5.1,5.1,0
68,2019-05-06,5.1,5.1,5.1,5.1,0
69,2019-05-07,5.1,5.1,5.1,5.1,0
70,2019-05-08,5.1,5.1,5.1,5.1,0
71,2019-05-09,5.1,5.1,5.1,5.1,0
72,2019-05-10,5.1,5.1,5.1,5.1,0
73,2019-05-13,5.1,5.1,5.1,5.1,0
74,2019-05-14,5.1,5.1,5.1,5.1,0
75,2019-05-15,5.1,5.1,5.1,5.1,0
76,2019-05-16,5.1,5.1,5.1,5.1,0
77,2019-05-17,5.1,5.1,5.1,5.1,0
78,2019-05-20,5.1,5.1,5.1,5.1,0
79,2019-05-21,5.1,5.1,5.1,5.1,0
80,2019-05-22,5.1,5.1,5.1,5.1,0
81,2019-05-23,5.1,5.1,5.1,5.1,0
82,2019-05-24,5.1,5.1,5.1,5.1,0
83,2019-05-27,5.1,5.1,5.1,5.1,0
84,2019-05-28,5.1,5.1,5.1,5.1,0
85,2019-05-29,5.1,5.1,5.1,5.1,0
86,2019-05-30,5.1,5.1,5.1,5.1,0
87,2019-05-31,5.1,5.1,5.1,5.1,0
88,2019-06-03,5.1,5.1,5.1,5.1,0
89,2019-06-04,5.1,5.1,5.1,5.1,0
90,2019-06-05,5.1,5.1,5.1,5.1,0
91,2019-06-06,5.1,5.1,5.1,5.1,0
92,2019-06-07,5.1,5.1,5.1,5.1,0
93,2019-06-10,5.1,5.1,5.1,5.1,0
94,2019-06-11,5.1,5.1,5.1,5.1,0
95,2019-06-12,5.1,5.1,5.1,5.1,0
96,2019-06-13,3.08,7.12,3.08,7.12,200
97,2019-06-14,5.1,7.12,7.12,7.12,0
98,2019-06-17,5.1,7.12,7.12,7.12,0
99,2019-06-18,5.1,7.12,7.12,7.12,0
100,2019-06-19,5.1,7.12,7.12,7.12,0
101,2019-06-20,5.1,5.1,5.1,5.1,0
102,2019-06-21,5.1,5.1,5.1,5.1,0
103,2019-06-24,5.1,7.12,7.12,7.12,0
104,2019-06-25,5.1,7.12,7.12,7.12,0
105,2019-06-26,5.1,7.12,7.12,7.12,0
106,2019-06-27,5.1,7.12,7.12,7.12,0
107,2019-06-28,5.1,7.12,7.12,7.12,0
108,2019-07-01,5.1,7.12,7.12,7.12,0
109,2019-07-02,5.1,7.12,7.12,7.12,0
