,time,open,high,low,close,volume
0,2009-12-23,0.0,0.0,0.0,0.0,0
1,2010-01-05,5.75,5.78,5.16,5.39,52000
2,2010-01-11,4.24,4.24,4.18,4.18,16000
3,2010-01-13,4.47,4.47,4.47,4.47,24000
4,2010-01-14,4.57,4.57,4.57,4.57,5000
5,2010-01-26,4.57,4.6,4.57,4.6,11000
6,2010-01-27,4.41,4.41,4.24,4.24,12000
7,2010-02-05,4.51,4.47,4.47,4.47,0
8,2010-03-01,4.24,4.24,4.08,4.21,7000
9,2010-03-02,4.41,4.41,4.41,4.41,1000
10,2010-03-03,4.47,4.47,4.47,4.47,1500
11,2010-03-04,4.47,4.47,4.47,4.47,20000
12,2010-03-05,4.31,4.31,4.31,4.31,700
13,2010-03-08,3.89,4.73,3.89,4.41,2500
14,2010-03-09,4.31,4.31,4.31,4.31,4000
15,2010-03-10,4.57,4.57,4.37,4.37,4100
16,2010-03-11,4.44,4.44,4.41,4.41,3100
17,2010-03-12,4.44,4.51,4.44,4.44,46100
18,2010-03-15,4.51,4.57,4.51,4.57,20000
19,2010-03-16,4.51,4.51,4.47,4.51,5500
20,2010-03-17,4.47,4.51,4.41,4.41,40900
21,2010-03-18,4.51,4.51,4.44,4.44,22600
22,2010-03-19,4.47,4.9,4.41,4.41,26100
23,2010-03-22,4.44,4.44,4.41,4.41,18600
24,2010-03-23,4.34,4.34,4.24,4.24,31700
25,2010-03-24,4.31,4.34,4.31,4.34,4400
26,2010-03-26,4.21,4.21,4.21,4.21,0
27,2010-03-29,4.21,4.21,4.18,4.18,25000
28,2010-03-30,4.24,4.24,4.24,0.0,16000
29,2010-03-31,4.24,4.24,4.18,4.18,60100
30,2010-04-01,4.31,4.31,4.31,4.31,5000
31,2010-04-02,4.24,4.24,4.21,4.21,26000
32,2010-04-05,4.21,4.21,4.15,4.15,45100
33,2010-04-06,4.18,4.15,4.15,4.15,0
34,2010-04-07,4.18,4.15,4.15,4.15,0
35,2010-04-08,4.21,4.28,4.21,4.28,117500
36,2010-04-09,4.34,4.44,4.24,4.44,72500
37,2010-04-12,4.47,4.8,4.47,4.8,252800
38,2010-04-13,5.22,5.22,5.03,5.03,158490
39,2010-04-14,5.22,5.22,4.9,0.0,28100
40,2010-04-15,4.93,5.06,4.9,4.9,30800
41,2010-04-16,4.8,4.93,4.77,4.8,78830
42,2010-04-19,5.29,5.29,4.9,5.03,65815
43,2010-04-20,4.9,5.52,4.9,5.06,71355
44,2010-04-21,5.03,5.03,4.83,4.83,55200
45,2010-04-22,5.42,5.42,4.64,4.8,43200
46,2010-04-26,5.22,5.22,4.73,4.77,85500
47,2010-04-27,4.8,4.93,4.77,4.77,49650
48,2010-04-28,4.8,5.16,4.8,5.16,64200
49,2010-04-29,5.22,5.48,5.16,5.48,310050
50,2010-05-04,5.55,5.94,5.55,5.94,98600
51,2010-05-05,6.37,6.5,6.2,6.5,235800
52,2010-05-06,7.05,7.05,6.04,7.05,136900
53,2010-05-07,7.67,7.7,6.56,7.18,114590
54,2010-05-10,7.18,7.22,6.5,6.5,130550
55,2010-05-11,6.53,7.28,5.97,5.97,107160
56,2010-05-12,5.58,5.88,5.58,5.65,148060
57,2010-05-13,5.06,6.14,5.06,6.14,42380
58,2010-05-14,6.56,6.56,6.04,6.27,9510
59,2010-05-17,6.3,6.3,6.04,6.17,12612
60,2010-05-18,5.71,5.78,5.62,0.0,22500
61,2010-05-19,4.93,5.39,4.9,5.22,25800
62,2010-05-20,5.39,5.52,5.39,5.52,76110
63,2010-05-21,5.03,5.16,5.0,5.16,37300
64,2010-05-25,5.48,5.48,5.03,5.06,40200
65,2010-05-26,5.13,5.55,5.13,5.52,60500
66,2010-05-27,5.52,5.94,5.52,5.52,27950
67,2010-05-28,6.14,6.14,5.71,5.81,61810
68,2010-05-31,5.71,5.71,5.35,5.42,21000
69,2010-06-01,5.29,6.04,5.29,5.55,19700
70,2010-06-02,5.62,5.62,5.32,5.39,16000
71,2010-06-03,6.04,6.04,5.32,5.35,27630
72,2010-06-07,4.86,5.19,4.86,5.06,9200
73,2010-06-08,5.29,5.29,5.26,5.29,3500
74,2010-06-10,5.81,5.81,5.09,5.13,15860
75,2010-06-14,5.39,5.48,5.35,5.48,17000
76,2010-06-15,5.39,5.88,5.32,5.45,17810
77,2010-06-16,5.39,5.45,5.39,0.0,9500
78,2010-06-17,5.97,5.97,5.55,5.81,67940
79,2010-06-18,5.68,5.84,5.55,5.55,40900
80,2010-06-21,5.65,5.71,5.65,5.65,20680
81,2010-06-22,5.55,5.62,5.55,5.62,6700
