,time,open,high,low,close,volume
0,2017-08-28,7.69,0.0,0.0,0.0,0
1,2017-08-29,7.69,7.69,7.69,7.69,0
2,2017-08-30,7.69,7.69,7.69,7.69,0
3,2017-08-31,7.69,7.69,7.69,7.69,0
4,2017-09-01,7.69,7.69,7.69,7.69,0
5,2017-09-05,7.69,7.69,7.69,7.69,0
6,2017-09-06,7.69,7.69,7.69,7.69,0
7,2017-09-07,7.69,7.69,7.69,7.69,0
8,2017-09-08,7.69,7.69,7.69,7.69,0
9,2017-09-11,7.69,7.69,7.69,7.69,0
10,2017-09-12,7.69,7.69,7.69,7.69,0
11,2017-09-13,7.69,7.69,7.69,7.69,0
12,2017-09-14,7.69,7.69,7.69,7.69,0
13,2017-09-15,7.69,7.69,7.69,7.69,0
14,2017-09-18,7.69,7.69,7.69,7.69,0
15,2017-09-19,7.69,7.69,7.69,7.69,0
16,2017-09-20,7.69,7.69,7.69,7.69,0
17,2017-09-21,7.69,7.69,7.69,7.69,0
18,2017-09-22,7.69,7.69,7.69,7.69,0
19,2017-09-25,7.69,7.69,7.69,7.69,0
20,2017-09-26,7.69,7.69,7.69,7.69,0
21,2017-09-27,7.69,7.69,7.69,7.69,0
22,2017-09-28,7.69,7.69,7.69,7.69,0
23,2017-09-29,7.69,7.69,7.69,7.69,0
24,2017-10-02,7.69,7.69,7.69,7.69,0
25,2017-10-03,7.69,7.69,7.69,7.69,0
26,2017-10-04,7.69,7.69,7.69,7.69,0
27,2017-10-05,7.69,7.69,7.69,7.69,0
28,2017-10-06,7.69,7.69,7.69,7.69,0
29,2017-10-09,7.69,7.69,7.69,7.69,0
30,2017-10-10,7.69,7.69,7.69,7.69,0
31,2017-10-11,7.69,7.69,7.69,7.69,0
32,2017-10-12,7.69,7.69,7.69,7.69,0
33,2017-10-13,7.69,7.69,7.69,7.69,0
34,2017-10-16,7.69,7.69,7.69,7.69,0
35,2017-10-17,7.69,7.69,7.69,7.69,0
36,2017-10-18,7.69,7.69,7.69,7.69,0
37,2017-10-19,7.69,7.69,7.69,7.69,0
38,2017-10-20,7.69,7.69,7.69,7.69,0
39,2017-10-23,7.69,7.69,7.69,7.69,0
40,2017-10-24,7.69,7.69,7.69,7.69,0
41,2017-10-25,7.69,7.69,7.69,7.69,0
42,2017-10-26,7.69,7.69,7.69,7.69,0
43,2017-10-27,7.69,7.69,7.69,7.69,0
44,2017-10-30,7.69,7.69,7.69,7.69,0
45,2017-10-31,7.69,7.69,7.69,7.69,0
46,2017-11-01,7.69,7.69,7.69,7.69,0
47,2017-11-02,7.69,7.69,7.69,7.69,0
48,2017-11-03,7.69,7.69,7.69,7.69,0
49,2017-11-06,7.69,7.69,7.69,7.69,0
50,2017-11-07,7.69,7.69,7.69,7.69,0
51,2017-11-08,7.69,7.69,7.69,7.69,0
52,2017-11-09,7.69,7.69,7.69,7.69,0
53,2017-11-10,7.69,7.69,7.69,7.69,0
54,2017-11-13,7.69,7.69,7.69,7.69,0
55,2017-11-14,7.69,7.69,7.69,7.69,0
56,2017-11-15,7.69,7.69,7.69,7.69,0
57,2017-11-16,7.69,7.69,7.69,7.69,0
58,2017-11-17,7.69,7.69,7.69,7.69,0
59,2017-11-20,7.69,7.69,7.69,7.69,0
60,2017-11-21,7.69,7.69,7.69,7.69,0
61,2017-11-22,7.69,7.69,7.69,7.69,0
62,2017-11-23,7.69,7.69,7.69,7.69,0
63,2017-11-24,7.69,7.69,7.69,7.69,0
64,2017-11-27,7.69,7.69,7.69,7.69,0
65,2017-11-28,7.69,7.69,7.69,7.69,0
66,2017-11-29,7.69,7.69,7.69,7.69,0
67,2017-11-30,7.69,7.69,7.69,7.69,0
68,2017-12-01,7.69,7.69,7.69,7.69,0
69,2017-12-04,7.69,7.69,7.69,7.69,0
70,2017-12-05,7.69,7.69,7.69,7.69,0
71,2017-12-06,7.69,7.69,7.69,7.69,0
72,2017-12-07,7.69,7.69,7.69,7.69,0
73,2017-12-08,7.69,7.69,7.69,7.69,0
74,2017-12-11,7.69,7.69,7.69,7.69,0
75,2017-12-12,7.69,7.69,7.69,7.69,0
76,2017-12-13,7.69,7.69,7.69,7.69,0
77,2017-12-14,7.69,7.69,7.69,7.69,0
78,2017-12-15,7.69,7.69,7.69,7.69,0
79,2017-12-18,7.69,7.69,7.69,7.69,0
80,2017-12-19,7.69,7.69,7.69,7.69,0
81,2017-12-20,7.69,7.69,7.69,7.69,0
82,2017-12-21,7.69,7.69,7.69,7.69,0
83,2017-12-22,7.69,7.69,7.69,7.69,0
84,2017-12-25,7.69,7.69,7.69,7.69,0
85,2017-12-26,7.69,7.69,7.69,7.69,0
86,2017-12-27,7.69,7.69,7.69,7.69,0
87,2017-12-28,7.69,7.69,7.69,7.69,0
88,2017-12-29,7.69,7.69,7.69,7.69,0
89,2018-01-02,7.69,7.69,7.69,7.69,0
90,2018-01-03,7.69,7.69,7.69,7.69,0
91,2018-01-04,7.69,7.69,7.69,7.69,0
92,2018-01-05,7.69,7.69,7.69,7.69,0
93,2018-01-08,7.69,7.69,7.69,7.69,0
94,2018-01-09,7.69,7.69,7.69,7.69,0
95,2018-01-10,7.69,7.69,7.69,7.69,0
96,2018-01-11,7.69,7.69,7.69,7.69,0
97,2018-01-12,7.69,7.69,7.69,7.69,0
98,2018-01-15,7.69,7.69,7.69,7.69,0
99,2018-01-16,7.69,7.69,7.69,7.69,0
100,2018-01-17,7.69,7.69,7.69,7.69,0
101,2018-01-18,7.69,7.69,7.69,7.69,0
102,2018-01-19,7.69,7.69,7.69,7.69,0
103,2018-01-22,7.69,7.69,7.69,7.69,0
104,2018-01-23,7.69,7.69,7.69,7.69,0
105,2018-01-24,7.69,7.69,7.69,7.69,0
106,2018-01-25,7.69,7.69,7.69,7.69,0
107,2018-01-26,7.69,7.69,7.69,7.69,0
108,2018-01-29,7.69,7.69,7.69,7.69,0
109,2018-01-30,7.69,7.69,7.69,7.69,0
110,2018-01-31,7.69,7.69,7.69,7.69,0
111,2018-02-01,7.69,7.69,7.69,7.69,0
112,2018-02-02,7.69,7.69,7.69,7.69,0
113,2018-02-05,7.69,7.69,7.69,7.69,0
114,2018-02-06,7.69,7.69,7.69,7.69,0
115,2018-02-07,7.69,7.69,7.69,7.69,0
116,2018-02-08,7.69,7.69,7.69,7.69,0
117,2018-02-09,7.69,7.69,7.69,7.69,0
118,2018-02-12,7.69,7.69,7.69,7.69,0
119,2018-02-13,7.69,7.69,7.69,7.69,0
120,2018-02-21,7.69,7.69,7.69,7.69,0
121,2018-02-22,7.69,7.69,7.69,7.69,0
122,2018-02-23,7.69,7.69,7.69,7.69,0
123,2018-02-26,7.69,7.69,7.69,7.69,0
124,2018-02-27,7.69,7.69,7.69,7.69,0
125,2018-02-28,7.69,7.69,7.69,7.69,0
126,2018-03-01,7.69,7.69,7.69,7.69,0
127,2018-03-02,7.69,7.69,7.69,7.69,0
128,2018-03-05,7.69,7.69,7.69,7.69,0
129,2018-03-06,7.69,7.69,7.69,7.69,0
130,2018-03-07,7.69,7.69,7.69,7.69,0
131,2018-03-08,7.69,7.69,7.69,7.69,0
132,2018-03-09,7.69,7.69,7.69,7.69,0
133,2018-03-12,7.69,7.69,7.69,7.69,0
134,2018-03-13,7.69,7.69,7.69,7.69,0
135,2018-03-14,7.69,7.69,7.69,7.69,0
136,2018-03-15,7.69,7.69,7.69,7.69,0
137,2018-03-16,7.69,7.69,7.69,7.69,0
138,2018-03-19,7.69,7.69,7.69,7.69,0
139,2018-03-20,7.69,7.69,7.69,7.69,0
140,2018-03-21,7.69,7.69,7.69,7.69,0
141,2018-03-22,7.69,7.69,7.69,7.69,0
142,2018-03-23,7.69,7.69,7.69,7.69,0
143,2018-03-26,7.69,7.69,7.69,7.69,0
144,2018-03-27,7.69,7.69,7.69,7.69,0
145,2018-03-28,7.69,7.69,7.69,7.69,0
146,2018-03-29,7.69,7.69,7.69,7.69,0
147,2018-03-30,7.69,7.69,7.69,7.69,0
148,2018-04-02,7.69,7.69,7.69,7.69,0
149,2018-04-03,7.69,7.69,7.69,7.69,0
150,2018-04-04,7.69,7.69,7.69,7.69,0
151,2018-04-05,7.69,7.69,7.69,7.69,0
152,2018-04-06,7.69,7.69,7.69,7.69,0
153,2018-04-09,7.69,7.69,7.69,7.69,0
154,2018-04-10,7.69,7.69,7.69,7.69,0
155,2018-04-11,7.69,7.69,7.69,7.69,0
156,2018-04-12,7.69,7.69,7.69,7.69,0
157,2018-04-13,7.69,7.69,7.69,7.69,0
158,2018-04-16,7.69,7.69,7.69,7.69,0
159,2018-04-17,7.69,7.69,7.69,7.69,0
160,2018-04-18,7.69,7.69,7.69,7.69,0
161,2018-04-19,7.69,7.69,7.69,7.69,0
162,2018-04-20,7.69,7.69,7.69,7.69,0
163,2018-04-23,7.69,7.69,7.69,7.69,0
164,2018-04-24,7.69,7.69,7.69,7.69,0
165,2018-04-26,7.69,7.69,7.69,7.69,0
166,2018-04-27,7.69,7.69,7.69,7.69,0
167,2018-05-02,7.69,7.69,7.69,7.69,0
168,2018-05-03,7.69,7.69,7.69,7.69,0
169,2018-05-04,7.69,7.69,7.69,7.69,0
170,2018-05-07,7.69,7.69,7.69,7.69,0
171,2018-05-08,7.69,7.69,7.69,7.69,0
172,2018-05-09,7.69,7.69,7.69,7.69,0
173,2018-05-10,7.69,7.69,7.69,7.69,0
174,2018-05-11,7.69,7.69,7.69,7.69,0
175,2018-05-14,7.69,7.69,7.69,7.69,0
176,2018-05-15,7.69,7.69,7.69,7.69,0
177,2018-05-16,7.69,7.69,7.69,7.69,0
178,2018-05-17,7.69,7.69,7.69,7.69,0
179,2018-05-18,7.69,7.69,7.69,7.69,0
180,2018-05-21,7.69,7.69,7.69,7.69,0
181,2018-05-22,7.69,7.69,7.69,7.69,0
182,2018-05-23,7.69,7.69,7.69,7.69,0
183,2018-05-24,7.69,7.69,7.69,7.69,0
184,2018-05-25,7.69,7.69,7.69,7.69,0
185,2018-05-28,7.69,7.69,7.69,7.69,0
186,2018-05-29,7.69,7.69,7.69,7.69,0
187,2018-05-30,7.69,7.69,7.69,7.69,0
188,2018-05-31,7.69,7.69,7.69,7.69,0
189,2018-06-01,7.69,7.69,7.69,7.69,0
190,2018-06-04,7.69,7.69,7.69,7.69,0
191,2018-06-05,7.69,7.69,7.69,7.69,0
192,2018-06-06,7.69,7.69,7.69,7.69,0
193,2018-06-07,7.69,7.69,7.69,7.69,0
194,2018-06-08,7.69,7.69,7.69,7.69,0
195,2018-06-11,7.69,7.69,7.69,7.69,0
196,2018-06-12,7.69,7.69,7.69,7.69,0
197,2018-06-13,7.69,7.69,7.69,7.69,0
198,2018-06-14,7.69,7.69,7.69,7.69,0
199,2018-06-15,7.69,7.69,7.69,7.69,0
200,2018-06-18,7.69,7.69,7.69,7.69,0
201,2018-06-19,7.69,7.69,7.69,7.69,0
202,2018-06-20,7.69,7.69,7.69,7.69,0
203,2018-06-21,7.69,7.69,7.69,7.69,0
204,2018-06-22,7.69,7.69,7.69,7.69,0
205,2018-06-25,7.69,7.69,7.69,7.69,0
206,2018-06-26,7.69,7.69,7.69,7.69,0
207,2018-06-27,7.69,7.69,7.69,7.69,0
208,2018-06-28,7.69,7.69,7.69,7.69,0
209,2018-06-29,7.69,7.69,7.69,7.69,0
210,2018-07-02,7.69,7.69,7.69,7.69,0
211,2018-07-03,7.69,7.69,7.69,7.69,0
212,2018-07-04,7.69,7.69,7.69,7.69,0
213,2018-07-05,7.69,7.69,7.69,7.69,0
214,2018-07-06,7.69,7.69,7.69,7.69,0
215,2018-07-09,7.69,7.69,7.69,7.69,0
216,2018-07-10,7.69,7.69,7.69,7.69,0
217,2018-07-11,7.69,7.69,7.69,7.69,0
218,2018-07-12,7.69,7.69,7.69,7.69,0
219,2018-07-13,7.69,7.69,7.69,7.69,0
220,2018-07-16,7.69,7.69,7.69,7.69,0
221,2018-07-17,7.69,7.69,7.69,7.69,0
222,2018-07-18,7.69,7.69,7.69,7.69,0
223,2018-07-19,7.69,7.69,7.69,7.69,0
224,2018-07-20,7.69,7.69,7.69,7.69,0
225,2018-07-23,7.69,7.69,7.69,7.69,0
226,2018-07-24,7.69,7.69,7.69,7.69,0
227,2018-07-25,7.69,7.69,7.69,7.69,0
228,2018-07-26,7.69,7.69,7.69,7.69,0
229,2018-07-27,7.69,7.69,7.69,7.69,0
230,2018-07-30,7.69,7.69,7.69,7.69,0
231,2018-07-31,7.69,7.69,7.69,7.69,0
232,2018-08-01,7.69,7.69,7.69,7.69,0
233,2018-08-02,7.69,7.69,7.69,7.69,0
234,2018-08-03,7.69,7.69,7.69,7.69,0
235,2018-08-06,7.69,7.69,7.69,7.69,0
236,2018-08-07,7.69,7.69,7.69,7.69,0
237,2018-08-08,7.69,7.69,7.69,7.69,0
238,2018-08-09,7.69,7.69,7.69,7.69,0
239,2018-08-10,7.69,7.69,7.69,7.69,0
240,2018-08-13,7.69,7.69,7.69,7.69,0
241,2018-08-14,7.69,7.69,7.69,7.69,0
242,2018-08-15,7.69,7.69,7.69,7.69,0
243,2018-08-16,7.69,7.69,7.69,7.69,0
244,2018-08-17,7.69,7.69,7.69,7.69,0
245,2018-08-20,7.69,7.69,7.69,7.69,0
246,2018-08-21,7.69,7.69,7.69,7.69,0
247,2018-08-22,7.69,7.69,7.69,7.69,0
248,2018-08-23,7.69,7.69,7.69,7.69,0
249,2018-08-24,7.69,7.69,7.69,7.69,0
250,2018-08-27,7.69,7.69,7.69,7.69,0
251,2018-08-28,7.69,7.69,7.69,7.69,0
252,2018-08-29,7.69,7.69,7.69,7.69,0
253,2018-08-30,7.69,7.69,7.69,7.69,0
254,2018-08-31,7.69,7.69,7.69,7.69,0
255,2018-09-04,7.69,7.69,7.69,7.69,0
256,2018-09-05,7.69,7.69,7.69,7.69,0
257,2018-09-06,7.69,7.69,7.69,7.69,0
258,2018-09-07,7.69,7.69,7.69,7.69,0
259,2018-09-10,7.69,7.69,7.69,7.69,0
260,2018-09-11,7.69,7.69,7.69,7.69,0
261,2018-09-12,7.69,7.69,7.69,7.69,0
262,2018-09-13,7.69,7.69,7.69,7.69,0
263,2018-09-14,7.69,7.69,7.69,7.69,0
264,2018-09-17,7.69,7.69,7.69,7.69,0
265,2018-09-18,7.69,7.69,7.69,7.69,0
266,2018-09-19,7.69,7.69,7.69,7.69,0
267,2018-09-20,7.69,7.69,7.69,7.69,0
268,2018-09-21,7.69,7.69,7.69,7.69,0
269,2018-09-24,7.69,7.69,7.69,7.69,0
270,2018-09-25,7.69,7.69,7.69,7.69,0
271,2018-09-26,7.69,7.69,7.69,7.69,0
272,2018-09-27,7.69,7.69,7.69,7.69,0
273,2018-09-28,7.69,7.69,7.69,7.69,0
274,2018-10-01,7.69,7.69,7.69,7.69,0
275,2018-10-02,7.69,7.69,7.69,7.69,0
276,2018-10-03,7.69,7.69,7.69,7.69,0
277,2018-10-04,7.69,7.69,7.69,7.69,0
278,2018-10-05,7.69,7.69,7.69,7.69,0
279,2018-10-08,7.69,7.69,7.69,7.69,0
280,2018-10-09,7.69,7.69,7.69,7.69,0
281,2018-10-10,7.69,7.69,7.69,7.69,0
282,2018-10-11,7.69,7.69,7.69,7.69,0
283,2018-10-12,7.69,7.69,7.69,7.69,0
284,2018-10-15,7.69,7.69,7.69,7.69,0
285,2018-10-16,7.69,7.69,7.69,7.69,0
286,2018-10-17,7.69,7.69,7.69,7.69,0
287,2018-10-18,7.69,7.69,7.69,7.69,0
288,2018-10-19,7.69,7.69,7.69,7.69,0
289,2018-10-22,7.69,7.69,7.69,7.69,0
290,2018-10-23,7.69,7.69,7.69,7.69,0
291,2018-10-24,7.69,7.69,7.69,7.69,0
292,2018-10-25,7.69,7.69,7.69,7.69,0
293,2018-10-26,7.69,7.69,7.69,7.69,0
294,2018-10-29,7.69,7.69,7.69,7.69,0
295,2018-10-30,7.69,7.69,7.69,7.69,0
296,2018-10-31,7.69,7.69,7.69,7.69,0
297,2018-11-01,7.69,7.69,7.69,7.69,0
298,2018-11-02,7.69,7.69,7.69,7.69,0
299,2018-11-05,7.69,7.69,7.69,7.69,0
300,2018-11-06,7.69,7.69,7.69,7.69,0
