,time,open,high,low,close,volume
0,2009-06-08,6.21,6.21,6.21,6.21,21200
1,2009-06-09,6.62,6.62,6.62,6.62,4000
2,2009-06-10,7.07,7.07,7.07,7.07,23700
3,2009-06-11,7.55,7.55,7.55,7.55,2000
4,2009-06-15,8.63,8.63,8.63,8.63,10100
5,2009-06-16,9.23,9.23,9.23,9.23,142200
6,2009-06-17,9.86,9.86,8.63,9.67,253300
7,2009-06-18,8.63,9.67,8.59,8.97,39800
8,2009-06-19,8.93,9.49,8.56,8.67,29400
9,2009-06-22,8.93,8.93,8.26,8.26,27000
10,2009-06-23,7.7,7.7,7.7,7.7,1900
11,2009-06-24,7.18,7.7,7.18,7.7,103300
12,2009-06-25,7.44,7.44,6.88,7.07,47100
13,2009-06-26,6.92,7.44,6.92,7.29,16900
14,2009-06-29,7.4,7.4,7.29,7.29,3600
15,2009-06-30,7.07,7.07,6.88,6.88,20700
16,2009-07-01,6.44,6.51,6.44,6.44,12300
17,2009-07-02,6.44,6.88,6.44,6.85,4500
18,2009-07-03,6.18,6.88,6.18,6.88,12800
19,2009-07-06,6.92,7.14,6.88,7.14,27200
20,2009-07-07,7.11,7.11,6.99,7.07,31600
21,2009-07-08,6.62,7.18,6.62,7.18,3200
22,2009-07-09,7.25,7.4,7.07,7.11,4900
23,2009-07-10,7.18,7.4,6.92,7.4,6600
24,2009-07-13,6.85,6.85,6.7,6.77,2300
25,2009-07-14,6.77,6.88,6.4,6.81,10100
26,2009-07-15,6.7,7.07,6.66,6.7,11200
27,2009-07-16,7.07,7.07,6.73,6.99,7900
28,2009-07-17,7.4,7.4,7.4,7.4,22000
29,2009-07-20,7.89,7.89,7.4,7.81,139700
30,2009-07-21,7.81,8.26,7.81,7.81,27800
31,2009-07-22,8.45,8.45,7.55,7.63,7800
32,2009-07-23,7.78,7.81,7.52,7.81,24700
33,2009-07-24,8.0,8.22,8.0,8.22,8100
34,2009-07-27,8.78,8.78,8.18,8.37,30700
35,2009-07-28,8.33,8.37,7.81,8.0,24800
36,2009-07-29,7.63,7.66,7.52,7.66,20300
37,2009-07-30,7.25,7.59,7.25,7.59,8900
38,2009-07-31,7.44,8.04,7.44,7.81,11400
39,2009-08-03,7.78,8.11,7.44,7.59,9900
40,2009-08-04,7.63,7.66,7.4,7.52,11800
41,2009-08-05,7.18,7.48,7.18,7.48,6600
42,2009-08-06,7.14,7.63,7.14,7.63,13100
43,2009-08-07,7.52,7.59,7.48,7.48,9400
