,time,open,high,low,close,volume
0,2013-01-16,1.1,1.4,1.1,1.3,11200
1,2013-01-17,1.3,1.3,1.2,1.2,1100
2,2013-01-18,1.2,1.3,1.1,1.3,5200
3,2013-01-21,1.3,1.3,1.2,1.2,400
4,2013-01-22,1.3,1.3,1.1,1.1,1500
5,2013-01-23,1.2,1.2,1.2,1.2,31800
6,2013-01-24,1.1,1.2,1.1,1.2,1200
7,2013-01-25,1.2,1.2,1.2,1.2,4800
8,2013-01-28,1.1,1.2,1.1,1.2,5500
9,2013-01-29,1.2,1.2,1.1,1.1,1800
10,2013-01-30,1.1,1.2,1.1,1.1,5100
11,2013-01-31,1.1,1.1,1.1,1.1,1500
12,2013-02-01,1.2,1.2,1.2,1.2,700
13,2013-02-04,1.2,1.2,1.2,1.2,5300
14,2013-02-05,1.2,1.2,1.2,1.2,900
15,2013-02-06,1.3,1.3,1.3,1.3,500
16,2013-02-07,1.4,1.4,1.3,1.3,3000
17,2013-02-08,1.2,1.3,1.2,1.2,1600
18,2013-02-18,1.2,1.2,1.2,1.2,5000
19,2013-02-19,1.2,1.2,1.2,1.2,6100
20,2013-02-20,1.2,1.3,1.1,1.3,17500
21,2013-02-21,1.3,1.3,1.1,1.3,8200
22,2013-02-22,1.2,1.2,1.1,1.1,6000
23,2013-02-25,1.2,1.2,1.1,1.1,1800
24,2013-02-26,1.2,1.2,1.1,1.1,6200
25,2013-02-27,1.1,1.1,1.1,1.1,0
26,2013-02-28,1.2,1.2,1.2,1.2,16100
27,2013-03-01,1.2,1.2,1.1,1.1,6100
28,2013-03-04,1.1,1.1,1.1,1.1,0
29,2013-03-05,1.1,1.1,1.1,1.1,0
30,2013-03-06,1.1,1.1,1.1,1.1,0
31,2013-03-07,1.0,1.2,1.0,1.2,500
32,2013-03-08,1.2,1.2,1.2,1.2,0
33,2013-03-11,1.2,1.2,1.2,1.2,0
34,2013-03-12,1.2,1.2,1.1,1.1,12200
35,2013-03-13,1.2,1.2,1.2,1.2,1200
36,2013-03-14,1.1,1.1,1.1,1.1,4900
37,2013-03-15,1.1,1.1,1.1,1.1,0
38,2013-03-18,1.1,1.1,1.1,1.1,0
39,2013-03-19,1.1,1.1,1.1,1.1,0
40,2013-03-20,1.1,1.1,1.1,1.1,6000
41,2013-03-21,1.1,1.1,1.1,1.1,100
42,2013-03-22,1.0,1.1,1.0,1.1,6400
43,2013-03-25,1.0,1.1,0.9,1.1,1300
44,2013-03-26,1.0,1.0,1.0,1.0,2000
45,2013-03-27,1.1,1.1,1.0,1.0,2200
46,2013-03-28,1.0,1.0,1.0,1.0,900
47,2013-03-29,1.0,1.0,1.0,1.0,300
48,2013-04-01,0.9,1.0,0.9,0.9,4500
49,2013-04-02,0.9,0.9,0.9,0.9,6000
50,2013-04-03,0.9,0.9,0.8,0.8,300
51,2013-04-04,0.9,0.9,0.8,0.8,3300
52,2013-04-05,0.8,0.8,0.8,0.8,5800
53,2013-04-08,0.7,0.9,0.7,0.9,4000
54,2013-04-09,0.9,1.0,0.9,1.0,2700
55,2013-04-10,1.0,1.0,0.9,0.9,400
56,2013-04-11,1.0,0.9,0.9,0.9,0
57,2013-04-12,0.9,0.9,0.9,0.9,100
58,2013-04-15,0.9,0.9,0.9,0.9,0
59,2013-04-16,0.9,0.9,0.8,0.8,4000
60,2013-04-17,1.0,1.0,1.0,1.0,100
61,2013-04-18,1.0,1.0,1.0,1.0,0
62,2013-04-22,1.0,1.0,1.0,1.0,0
63,2013-04-23,1.0,1.0,1.0,1.0,0
64,2013-04-24,1.0,1.0,1.0,1.0,0
65,2013-04-25,0.9,0.9,0.9,0.9,25400
66,2013-04-26,0.9,0.9,0.9,0.9,4100
67,2013-05-02,0.9,0.9,0.9,0.9,0
68,2013-05-03,0.9,0.9,0.9,0.9,0
69,2013-05-06,0.8,0.8,0.8,0.8,0
70,2013-05-07,0.7,0.7,0.7,0.7,0
71,2013-05-08,0.8,0.8,0.8,0.8,0
72,2013-05-09,0.9,0.8,0.8,0.8,0
73,2013-05-10,0.8,0.8,0.8,0.8,0
74,2013-05-13,0.8,0.9,0.9,0.9,0
75,2013-05-14,0.9,0.9,0.9,0.9,0
76,2013-05-15,0.9,1.0,1.0,1.0,0
77,2013-05-16,1.0,1.0,1.0,1.0,0
78,2013-05-17,0.9,0.9,0.9,0.9,0
79,2013-05-20,0.8,0.8,0.8,0.8,0
80,2013-05-21,0.8,0.8,0.8,0.8,0
81,2013-05-22,0.8,0.8,0.8,0.8,0
82,2013-05-23,0.8,0.8,0.8,0.8,0
83,2013-05-24,0.9,0.9,0.9,0.9,0
84,2013-05-27,0.9,0.9,0.9,0.9,0
85,2013-05-28,0.9,0.9,0.9,0.9,0
86,2013-05-29,0.9,0.9,0.9,0.9,0
87,2013-05-30,0.8,0.8,0.8,0.8,0
88,2013-05-31,0.8,0.8,0.8,0.8,0
89,2013-06-03,0.7,0.7,0.7,0.7,0
90,2013-06-04,0.8,0.8,0.8,0.8,0
91,2013-06-05,0.8,0.8,0.8,0.8,0
92,2013-06-06,0.8,0.9,0.9,0.9,0
93,2013-06-07,0.8,0.9,0.9,0.9,0
94,2013-06-10,0.8,0.9,0.9,0.9,0
95,2013-06-11,1.0,1.0,1.0,1.0,0
96,2013-06-12,1.0,0.9,0.9,0.9,0
97,2013-06-13,0.9,0.9,0.9,0.9,0
98,2013-06-14,0.8,0.8,0.8,0.8,0
99,2013-06-17,0.8,0.9,0.9,0.9,0
100,2013-06-18,0.7,0.7,0.7,0.7,0
101,2013-06-19,0.7,0.7,0.7,0.7,0
102,2013-06-20,0.8,0.8,0.8,0.8,0
103,2013-06-21,0.9,0.9,0.9,0.9,0
104,2013-06-24,0.9,0.9,0.9,0.9,0
105,2013-06-25,0.9,0.8,0.8,0.8,0
106,2013-06-26,0.9,0.7,0.7,0.7,0
107,2013-06-27,0.8,0.7,0.7,0.7,0
108,2013-06-28,0.8,0.8,0.8,0.8,0
109,2013-07-01,0.7,0.9,0.9,0.9,0
110,2013-07-02,0.8,1.0,1.0,1.0,0
111,2013-07-03,0.9,0.9,0.9,0.9,0
112,2013-07-04,0.9,0.9,0.9,0.9,0
113,2013-07-05,0.9,0.9,0.9,0.9,0
114,2013-07-08,1.0,1.0,1.0,1.0,0
115,2013-07-09,1.0,1.0,1.0,1.0,0
116,2013-07-10,0.9,0.9,0.9,0.9,0
117,2013-07-11,0.8,0.8,0.8,0.8,0
118,2013-07-12,0.8,0.8,0.8,0.8,0
119,2013-07-15,0.9,0.9,0.9,0.9,0
120,2013-07-16,0.8,0.8,0.8,0.8,0
121,2013-07-17,0.8,0.8,0.8,0.8,0
122,2013-07-18,0.9,0.9,0.9,0.9,0
123,2013-07-19,0.9,0.9,0.9,0.9,0
124,2013-07-22,0.9,0.9,0.9,0.9,0
125,2013-07-23,0.8,0.8,0.8,0.8,0
