,time,open,high,low,close,volume
0,2017-07-26,9.83,9.83,7.25,8.11,13000
1,2017-07-27,8.57,9.67,8.57,8.86,3000
2,2017-07-28,8.86,9.06,8.86,9.06,1600
3,2017-07-31,8.86,9.67,8.86,9.67,10800
4,2017-08-01,9.19,9.43,9.19,9.43,2100
5,2017-08-02,9.35,9.36,9.35,9.35,13000
6,2017-08-03,9.43,10.22,9.35,10.22,10300
7,2017-08-04,10.3,11.33,10.3,11.33,26300
8,2017-08-07,11.12,12.09,10.88,11.61,2200
9,2017-08-08,11.85,12.09,11.28,11.28,8400
10,2017-08-09,11.36,11.69,11.3,11.3,11200
11,2017-08-10,12.25,12.25,11.28,11.3,3700
12,2017-08-11,11.3,11.3,11.28,11.3,3000
13,2017-08-14,11.31,11.61,11.31,11.44,9000
14,2017-08-15,11.44,11.52,11.44,11.52,7400
15,2017-08-16,11.52,11.52,11.44,11.44,3700
16,2017-08-17,11.49,11.49,11.49,11.49,0
17,2017-08-18,11.28,11.28,11.28,11.28,1000
18,2017-08-21,11.28,11.28,10.96,10.96,1500
19,2017-08-22,10.96,10.96,10.8,10.96,2900
20,2017-08-23,10.91,10.91,10.91,10.91,0
21,2017-08-24,10.91,10.91,10.91,10.91,0
22,2017-08-25,10.48,10.48,10.15,10.23,2700
23,2017-08-28,10.15,10.32,10.15,10.32,1100
24,2017-08-29,10.4,10.4,10.4,10.4,200
25,2017-08-30,10.4,10.4,10.4,10.4,0
26,2017-08-31,8.85,10.48,8.85,10.32,700
27,2017-09-01,10.48,10.48,10.15,10.15,3300
28,2017-09-05,10.17,10.17,10.15,10.15,2000
29,2017-09-06,8.64,10.48,8.64,10.48,300
30,2017-09-07,9.69,9.69,9.67,9.67,600
31,2017-09-08,9.67,9.67,9.67,9.67,0
32,2017-09-11,9.83,9.85,9.83,9.83,500
33,2017-09-12,9.82,9.82,9.82,9.82,5300
34,2017-09-13,9.86,9.86,9.86,9.86,600
35,2017-09-14,9.86,9.86,9.86,9.86,0
36,2017-09-15,9.67,9.67,9.67,9.67,300
37,2017-09-18,9.67,9.67,9.67,9.67,4100
38,2017-09-19,9.67,9.67,9.67,9.67,300
39,2017-09-20,9.67,9.67,9.67,9.67,2300
40,2017-09-21,9.67,9.67,9.67,9.67,1000
41,2017-09-22,9.67,9.67,9.67,9.67,2300
42,2017-09-25,9.67,9.67,9.67,9.67,7500
43,2017-09-26,9.67,9.67,9.67,9.67,2300
44,2017-09-27,10.96,10.96,9.69,9.69,200
45,2017-09-28,9.83,9.83,9.67,9.67,3700
46,2017-09-29,9.69,9.7,9.69,9.7,2700
47,2017-10-02,9.69,9.69,9.69,9.69,0
48,2017-10-03,8.24,9.83,8.24,9.83,200
49,2017-10-04,9.69,9.69,9.69,9.69,200
50,2017-10-05,9.69,9.69,9.69,9.69,200
51,2017-10-06,10.96,10.96,9.72,9.72,200
52,2017-10-09,8.86,9.99,8.86,9.99,200
53,2017-10-10,10.83,10.83,9.75,9.75,1500
54,2017-10-11,9.75,9.75,9.75,9.75,700
55,2017-10-12,9.75,9.83,9.75,9.77,4000
56,2017-10-13,9.83,9.83,9.83,9.83,1000
57,2017-10-16,9.85,9.99,9.85,9.99,500
58,2017-10-17,9.99,10.03,9.99,9.99,2600
59,2017-10-18,9.99,9.99,9.99,9.99,2200
60,2017-10-19,9.99,10.07,9.99,10.07,1200
61,2017-10-20,10.07,10.14,9.99,9.99,2400
62,2017-10-23,9.99,9.99,9.99,9.99,2600
63,2017-10-24,8.93,9.83,8.93,9.83,200
