,time,open,high,low,close,volume
0,2019-07-30,14.65,14.65,10.46,14.65,714800
1,2019-07-31,14.3,14.44,14.3,14.44,76600
2,2019-08-01,14.51,14.65,13.18,14.16,44100
3,2019-08-02,12.9,13.74,11.86,12.48,59200
4,2019-08-05,12.55,12.62,10.74,11.3,86400
5,2019-08-06,12.07,12.07,10.46,11.3,210100
6,2019-08-07,11.16,12.07,10.46,10.53,48510
7,2019-08-08,11.3,11.44,10.67,11.02,25600
8,2019-08-09,11.72,11.72,10.46,11.16,27200
9,2019-08-12,10.67,11.16,10.39,10.46,51500
10,2019-08-13,10.39,10.46,10.04,10.25,23400
11,2019-08-14,9.83,10.18,9.76,9.76,245750
12,2019-08-15,9.83,10.32,9.83,9.97,28620
13,2019-08-16,9.9,10.04,9.9,9.9,72310
14,2019-08-19,9.9,10.11,9.9,10.11,23840
15,2019-08-20,9.9,10.81,9.9,10.67,38360
16,2019-08-21,10.67,10.74,10.46,10.53,55670
17,2019-08-22,10.6,10.6,10.39,10.53,30600
18,2019-08-23,10.46,10.6,10.32,10.6,30040
19,2019-08-26,10.39,10.53,10.32,10.46,147200
20,2019-08-27,10.46,11.09,10.46,10.81,212500
21,2019-08-28,10.67,10.74,10.6,10.67,30320
22,2019-08-29,10.74,10.74,10.53,10.67,22400
23,2019-08-30,11.51,11.51,10.39,10.46,25000
24,2019-09-03,10.46,10.53,10.39,10.46,33000
25,2019-09-04,10.32,10.39,9.83,10.39,27400
26,2019-09-05,10.39,10.39,9.83,10.11,29210
27,2019-09-06,10.04,10.39,10.04,10.32,20900
28,2019-09-09,10.25,10.46,10.18,10.32,23700
29,2019-09-10,10.39,10.39,10.18,10.39,32200
30,2019-09-11,10.39,10.39,10.11,10.18,31300
31,2019-09-12,10.25,10.25,9.9,10.18,25210
32,2019-09-13,9.9,10.39,9.9,10.32,33700
33,2019-09-16,10.18,10.18,10.04,10.18,27400
34,2019-09-17,9.97,10.18,9.97,10.04,29120
35,2019-09-18,9.97,10.18,9.76,10.11,26600
36,2019-09-19,10.11,10.11,9.83,10.04,31800
37,2019-09-20,9.97,10.04,9.76,10.04,19000
38,2019-09-23,10.25,10.25,9.97,10.04,25900
39,2019-09-24,10.04,10.04,9.9,9.9,20600
40,2019-09-25,10.04,10.04,9.9,10.04,28100
41,2019-09-26,10.18,10.18,9.9,10.04,20530
42,2019-09-27,9.97,10.18,9.76,9.76,22300
43,2019-09-30,9.97,10.11,9.9,10.11,39800
44,2019-10-01,10.04,10.11,9.97,10.11,28110
45,2019-10-02,10.18,10.25,10.04,10.04,22400
46,2019-10-03,9.97,11.16,9.83,11.16,65700
