,time,open,high,low,close,volume
0,2009-02-05,2.03,2.12,1.63,1.77,6500
1,2009-02-06,1.86,1.86,1.77,1.8,3000
2,2009-02-09,1.86,1.87,1.82,1.87,7000
3,2009-02-10,1.91,1.91,1.87,1.87,2500
4,2009-02-11,1.77,1.84,1.77,1.84,18000
5,2009-02-12,1.84,1.84,1.8,1.8,2000
6,2009-02-13,1.8,1.84,1.8,1.84,2000
7,2009-02-16,1.82,1.82,1.82,1.82,1000
8,2009-02-17,1.82,1.82,1.82,1.82,0
9,2009-02-18,1.7,1.79,1.7,1.7,3100
10,2009-02-19,1.77,1.77,1.7,1.7,3800
11,2009-02-20,1.72,1.72,1.61,1.63,4300
12,2009-02-23,1.63,1.63,1.52,1.59,6200
13,2009-02-24,1.49,1.49,1.49,1.49,100
14,2009-02-25,1.56,1.57,1.56,1.56,4700
15,2009-02-26,1.52,1.57,1.45,1.57,1600
16,2009-02-27,1.52,1.64,1.52,1.59,1400
17,2009-03-02,1.59,1.59,1.59,1.59,0
18,2009-03-03,1.63,1.66,1.63,1.66,500
19,2009-03-04,1.73,1.73,1.73,1.73,200
20,2009-03-05,1.75,1.75,1.73,1.75,2900
21,2009-03-06,1.75,1.75,1.75,1.75,0
22,2009-03-09,1.79,1.79,1.63,1.63,7500
23,2009-03-10,1.77,1.77,1.59,1.59,4300
24,2009-03-11,1.72,1.72,1.72,1.72,200
25,2009-03-12,1.66,1.66,1.66,1.66,1200
26,2009-03-13,1.68,1.75,1.68,1.68,5000
27,2009-03-16,1.75,1.75,1.66,1.66,6300
28,2009-03-17,1.75,1.75,1.73,1.73,6000
29,2009-03-18,1.8,1.8,1.75,1.75,600
30,2009-03-19,1.75,1.75,1.75,1.75,0
31,2009-03-20,1.66,1.66,1.66,1.66,600
32,2009-03-23,1.7,1.77,1.7,1.77,3900
33,2009-03-24,1.86,1.86,1.75,1.86,11900
34,2009-03-25,1.98,1.98,1.96,1.98,15100
35,2009-03-26,2.1,2.1,1.98,2.03,25200
36,2009-03-27,2.12,2.12,2.03,2.03,10400
37,2009-03-30,2.1,2.1,1.93,1.98,14100
38,2009-03-31,1.93,2.02,1.86,2.02,9100
39,2009-04-01,1.98,2.07,1.98,2.07,11700
40,2009-04-02,2.12,2.14,2.09,2.14,18000
41,2009-04-03,2.21,2.26,2.16,2.26,20200
42,2009-04-07,2.21,2.25,2.09,2.25,10700
43,2009-04-08,2.18,2.21,2.12,2.21,8600
44,2009-04-09,2.18,2.3,2.18,2.26,4700
45,2009-04-10,2.28,2.35,2.25,2.26,35400
46,2009-04-13,2.41,2.44,2.39,2.44,28600
47,2009-04-14,2.51,2.51,2.33,2.35,6300
48,2009-04-15,2.56,2.56,2.48,2.56,80000
49,2009-04-16,2.72,2.72,2.72,2.72,92000
50,2009-04-17,2.9,2.9,2.62,2.76,86200
51,2009-04-20,2.88,2.88,2.67,2.67,16400
52,2009-04-21,2.53,2.55,2.53,2.55,32500
53,2009-04-22,2.39,2.65,2.39,2.64,42500
54,2009-04-23,2.39,2.39,2.14,2.14,15200
55,2009-04-24,2.16,2.18,2.14,2.14,10600
56,2009-04-27,2.26,2.26,2.02,2.18,3200
57,2009-04-28,2.03,2.03,2.0,2.0,8500
58,2009-04-29,1.96,2.09,1.96,2.03,8800
59,2009-05-04,2.12,2.21,2.12,2.21,20900
60,2009-05-05,2.33,2.33,2.21,2.21,23600
61,2009-05-06,2.32,2.32,2.16,2.16,6300
62,2009-05-07,2.3,2.3,2.25,2.25,2800
63,2009-05-08,2.12,2.14,2.12,2.14,14700
64,2009-05-11,2.12,2.12,2.05,2.05,11200
65,2009-05-12,2.09,2.16,2.09,2.16,13000
66,2009-05-13,2.14,2.14,2.1,2.12,21000
67,2009-05-14,2.09,2.12,2.09,2.12,8500
68,2009-05-15,2.12,2.12,2.1,2.12,36200
69,2009-05-18,2.12,2.12,2.1,2.12,6400
70,2009-05-19,2.26,2.26,2.18,2.19,34800
71,2009-05-20,2.14,2.37,2.14,2.37,70900
72,2009-05-21,2.44,2.44,2.3,2.44,77400
73,2009-05-22,2.51,2.58,2.48,2.51,43500
74,2009-05-25,2.71,2.71,2.53,2.69,57300
75,2009-05-26,2.58,2.67,2.41,2.48,35300
76,2009-05-27,2.48,2.48,2.35,2.39,44400
77,2009-05-28,2.48,2.48,2.23,2.26,34200
78,2009-05-29,2.25,2.25,2.19,2.25,31300
79,2009-06-01,2.37,2.37,2.32,2.37,11700
80,2009-06-02,2.53,2.53,2.49,2.53,29400
81,2009-06-03,2.64,2.64,2.46,2.51,50700
82,2009-06-04,2.56,2.65,2.51,2.56,45400
83,2009-06-05,2.72,2.74,2.56,2.74,197300
84,2009-06-08,2.9,2.9,2.9,2.9,23300
85,2009-06-09,3.1,3.1,2.81,2.83,65400
86,2009-06-10,2.74,2.74,2.71,2.71,8500
87,2009-06-11,2.71,2.76,2.65,2.74,92500
88,2009-06-12,2.72,2.83,2.6,2.71,25800
89,2009-06-15,2.71,2.71,2.53,2.53,50600
90,2009-06-16,2.48,2.48,2.37,2.37,29700
91,2009-06-17,2.21,2.37,2.21,2.32,27300
92,2009-06-18,2.44,2.44,2.44,2.44,22200
93,2009-06-19,2.6,2.6,2.56,2.6,31500
94,2009-06-22,2.74,2.76,2.44,2.48,13700
95,2009-06-23,2.46,2.48,2.35,2.35,20000
96,2009-06-24,2.3,2.53,2.3,2.53,12600
97,2009-06-25,2.64,2.64,2.41,2.49,6900
98,2009-06-26,2.39,2.49,2.39,2.48,2900
99,2009-06-29,2.48,2.48,2.41,2.44,6000
100,2009-06-30,2.48,2.48,2.37,2.37,3100
101,2009-07-01,2.32,2.32,2.25,2.25,7500
102,2009-07-02,2.3,2.39,2.26,2.39,17500
103,2009-07-03,2.3,2.33,2.3,2.3,3700
104,2009-07-06,2.33,2.49,2.33,2.49,24500
105,2009-07-07,2.56,2.56,2.41,2.41,5600
106,2009-07-08,2.48,2.48,2.41,2.48,10100
107,2009-07-09,2.49,2.51,2.44,2.44,4400
108,2009-07-10,2.42,2.42,2.41,2.41,9900
109,2009-07-13,2.44,2.46,2.3,2.33,5900
110,2009-07-14,2.46,2.46,2.3,2.32,7500
111,2009-07-15,2.39,2.39,2.37,2.37,1200
112,2009-07-16,2.41,2.44,2.37,2.39,3500
113,2009-07-17,2.46,2.46,2.46,2.46,500
114,2009-07-20,2.33,2.33,2.3,2.32,9900
115,2009-07-21,2.37,2.37,2.3,2.3,5100
116,2009-07-22,2.32,2.32,2.32,2.32,500
117,2009-07-23,2.32,2.39,2.3,2.39,14300
118,2009-07-24,2.48,2.51,2.48,2.51,24800
119,2009-07-27,2.6,2.6,2.37,2.37,700
120,2009-07-28,2.46,2.46,2.33,2.33,2700
121,2009-07-29,2.46,2.51,2.39,2.39,10400
122,2009-07-30,2.48,2.48,2.39,2.46,5900
123,2009-07-31,2.51,2.51,2.44,2.44,9000
124,2009-08-03,2.48,2.48,2.44,2.44,4600
125,2009-08-04,2.51,2.51,2.44,2.44,3000
126,2009-08-05,2.48,2.48,2.44,2.44,2600
127,2009-08-06,2.42,2.42,2.41,2.42,2900
128,2009-08-07,2.42,2.42,2.42,2.42,300
129,2009-08-10,2.51,2.51,2.46,2.49,11800
130,2009-08-11,2.44,2.48,2.44,2.48,13800
131,2009-08-12,2.46,2.48,2.44,2.44,11400
132,2009-08-13,2.48,2.48,2.42,2.42,14400
133,2009-08-14,2.41,2.41,2.39,2.42,7800
134,2009-08-17,2.41,2.41,2.35,2.35,25900
135,2009-08-18,2.42,2.42,2.37,2.39,3200
136,2009-08-19,2.39,2.39,2.39,2.39,1300
137,2009-08-20,2.37,2.41,2.37,2.39,15700
138,2009-08-21,2.44,2.48,2.39,2.39,15100
139,2009-08-24,2.44,2.44,2.41,2.42,14800
140,2009-08-25,2.44,2.44,2.39,2.41,6500
141,2009-08-26,2.42,2.42,2.39,2.41,11000
142,2009-08-27,2.41,2.56,2.41,2.48,22200
143,2009-08-28,2.51,2.62,2.51,2.62,65200
144,2009-08-31,2.74,2.76,2.65,2.76,104800
145,2009-09-01,2.94,2.94,2.74,2.76,57600
146,2009-09-03,2.69,2.69,2.58,2.58,28300
147,2009-09-04,2.69,2.74,2.62,2.65,55800
148,2009-09-07,2.64,2.69,2.56,2.56,44700
149,2009-09-08,2.65,2.69,2.62,2.62,15700
150,2009-09-09,2.65,2.69,2.62,2.64,23400
151,2009-09-10,2.69,2.81,2.64,2.81,50500
152,2009-09-11,2.79,2.87,2.79,2.87,203000
153,2009-09-14,3.04,3.04,3.02,3.04,109400
154,2009-09-15,3.25,3.25,3.06,3.25,142700
155,2009-09-16,3.36,3.41,3.36,3.41,143100
156,2009-09-17,3.48,3.48,3.18,3.22,152200
157,2009-09-18,3.1,3.4,3.1,3.34,119300
158,2009-09-21,3.45,3.48,3.45,3.48,30800
159,2009-09-22,3.7,3.7,3.66,3.7,62500
160,2009-09-23,3.94,3.94,3.48,3.56,179600
161,2009-09-24,3.63,3.8,3.63,3.8,135600
162,2009-09-25,3.56,3.96,3.56,3.96,107000
163,2009-09-28,4.19,4.19,4.19,4.19,42000
164,2009-09-29,4.47,4.47,4.47,4.47,9800
165,2009-09-30,4.78,4.78,4.78,4.78,61200
166,2009-10-01,5.09,5.09,4.6,4.9,344300
167,2009-10-02,4.78,4.78,4.63,4.69,105500
168,2009-10-05,4.33,4.78,4.33,4.6,70800
169,2009-10-06,4.6,4.83,4.6,4.83,115900
170,2009-10-07,5.15,5.15,5.15,5.15,57900
171,2009-10-08,5.5,5.5,5.31,5.5,170800
172,2009-10-09,5.82,5.84,5.75,5.84,90500
173,2009-10-12,6.24,6.24,6.24,6.24,32900
174,2009-10-13,6.63,6.67,6.24,6.37,175900
175,2009-10-14,6.4,6.72,5.96,6.54,150800
176,2009-10-15,6.83,6.86,6.72,6.72,157900
177,2009-10-16,6.37,6.72,6.35,6.35,95800
178,2009-10-19,6.72,6.72,6.01,6.12,111500
179,2009-10-20,6.46,6.54,6.42,6.54,179500
180,2009-10-21,6.99,6.99,6.54,6.9,118200
181,2009-10-22,6.54,6.86,6.54,6.6,51500
182,2009-10-23,6.54,6.63,6.17,6.17,84600
183,2009-10-26,5.84,6.0,5.84,5.84,39700
184,2009-10-27,5.45,5.45,5.45,5.45,16100
185,2009-10-28,5.08,5.75,5.08,5.54,72500
186,2009-10-29,5.16,5.22,5.13,5.13,39800
187,2009-10-30,5.48,5.52,5.31,5.52,59600
188,2009-11-02,5.48,5.48,5.11,5.11,23100
189,2009-11-03,5.13,5.18,4.83,4.86,74500
190,2009-11-04,5.01,5.13,4.69,4.78,14100
191,2009-11-05,5.22,5.29,5.11,5.29,65100
192,2009-11-06,5.55,5.55,5.41,5.41,68100
193,2009-11-09,5.16,5.16,5.16,5.16,2100
194,2009-11-10,5.2,5.22,4.81,4.86,19000
195,2009-11-11,4.95,4.95,4.6,4.95,23800
196,2009-11-12,5.04,5.09,4.92,5.09,34300
197,2009-11-13,5.06,5.06,4.9,4.95,17400
198,2009-11-16,5.04,5.04,4.79,4.95,12100
199,2009-11-17,4.99,4.99,4.67,4.78,27700
200,2009-11-18,4.74,4.92,4.74,4.9,17700
201,2009-11-19,5.04,5.15,4.99,5.15,80100
202,2009-11-20,5.31,5.39,4.97,5.22,33700
203,2009-11-23,5.02,5.02,4.88,4.88,28200
204,2009-11-24,4.92,4.92,4.6,4.6,32300
205,2009-11-25,4.67,4.67,4.35,4.35,29100
206,2009-11-26,4.07,4.07,4.07,4.07,4000
207,2009-11-27,3.78,4.24,3.78,3.8,50500
208,2009-11-30,4.05,4.12,4.05,4.12,36500
209,2009-12-01,4.35,4.37,4.33,4.37,31000
210,2009-12-02,4.09,4.16,4.07,4.07,7500
211,2009-12-03,4.07,4.09,3.82,3.98,16000
212,2009-12-04,4.07,4.07,3.68,3.8,13500
213,2009-12-07,3.98,3.98,3.78,3.96,13900
214,2009-12-08,3.86,3.87,3.63,3.63,10200
215,2009-12-09,3.54,3.54,3.48,3.48,12100
216,2009-12-10,3.48,3.54,3.25,3.25,27600
217,2009-12-11,3.15,3.15,3.11,3.11,20300
218,2009-12-14,2.9,3.33,2.9,3.33,29600
219,2009-12-15,3.36,3.36,3.18,3.18,9500
220,2009-12-16,3.08,3.08,3.04,3.04,8900
221,2009-12-17,3.01,3.01,2.85,2.9,11500
222,2009-12-18,3.01,3.06,3.01,3.06,25900
223,2009-12-21,3.27,3.27,3.27,3.27,10700
224,2009-12-22,3.4,3.4,3.18,3.18,26500
225,2009-12-23,3.36,3.36,3.25,3.36,19100
226,2009-12-24,3.43,3.54,3.29,3.54,24200
227,2009-12-25,3.7,3.7,3.7,3.7,4800
228,2009-12-28,3.89,3.94,3.54,3.89,57700
229,2009-12-29,3.78,3.94,3.71,3.71,15900
230,2009-12-30,3.8,4.07,3.8,4.07,63900
231,2009-12-31,4.28,4.3,4.09,4.3,62500
