,time,open,high,low,close,volume
0,2011-01-28,28.12,28.12,24.97,25.94,74870
1,2011-02-08,25.46,26.67,25.46,26.18,16600
2,2011-02-09,25.7,26.18,25.7,26.18,630
3,2011-02-10,25.7,27.15,25.7,27.15,8950
4,2011-02-11,25.94,25.94,25.94,25.94,1500
5,2011-02-14,25.94,25.94,25.94,25.94,1000
6,2011-02-15,24.97,24.97,24.73,24.97,1100
7,2011-02-16,26.18,26.18,24.0,24.97,3910
8,2011-02-17,24.97,24.97,24.97,24.97,3000
9,2011-02-18,26.18,26.18,24.49,24.49,3100
10,2011-02-21,24.24,24.24,23.27,23.42,2300
11,2011-02-22,22.31,22.55,22.31,22.4,16650
12,2011-02-23,21.82,22.55,21.82,22.55,700
13,2011-02-24,22.31,22.45,22.31,22.45,1150
14,2011-02-25,22.69,22.69,22.69,22.69,530
15,2011-02-28,23.76,23.81,23.08,23.52,2400
16,2011-03-01,22.74,22.74,22.74,22.74,100
17,2011-03-02,21.67,22.31,21.67,22.16,2690
18,2011-03-03,21.38,21.38,21.38,21.38,300
19,2011-03-04,21.38,21.38,21.38,21.38,100
20,2011-03-07,21.53,21.53,21.53,21.53,560
21,2011-03-08,21.82,22.6,21.58,21.58,2140
22,2011-03-09,21.48,22.64,21.34,21.48,5160
23,2011-03-10,22.55,22.55,21.09,22.55,2190
24,2011-03-11,21.72,22.55,21.72,22.55,730
25,2011-03-14,22.31,23.27,21.58,21.63,1430
26,2011-03-15,22.69,22.69,21.34,21.34,3050
27,2011-03-16,20.95,21.82,20.95,21.0,320
28,2011-03-17,20.7,21.82,20.7,20.75,50
29,2011-03-18,20.85,21.34,20.75,21.34,1230
30,2011-03-21,21.0,22.4,21.0,22.4,430
31,2011-03-22,21.43,23.27,21.43,23.27,220
32,2011-03-23,24.24,24.24,24.24,24.24,20
33,2011-03-24,24.24,25.46,23.03,23.03,1880
34,2011-03-25,22.11,24.15,22.11,22.21,2260
35,2011-03-28,21.34,21.34,21.34,21.34,20
36,2011-03-29,22.4,22.4,21.34,21.34,1440
37,2011-03-30,21.34,22.4,21.09,22.4,1030
38,2011-03-31,23.52,23.52,21.29,23.52,2150
39,2011-04-01,24.49,24.49,22.4,22.4,3220
40,2011-04-04,23.23,23.27,21.38,23.23,2070
41,2011-04-05,23.27,24.2,22.21,22.21,11110
42,2011-04-06,23.27,23.27,21.82,21.82,14870
43,2011-04-07,21.34,22.89,21.34,22.89,4210
44,2011-04-08,23.52,23.52,21.77,21.77,3260
45,2011-04-13,22.55,22.55,22.55,22.55,10
46,2011-04-14,23.52,23.61,23.42,23.42,6300
47,2011-04-15,22.55,23.52,22.55,23.03,15010
48,2011-04-18,23.76,23.76,23.03,23.76,2800
49,2011-04-19,23.03,23.27,23.03,23.03,1020
