,time,open,high,low,close,volume
0,2010-05-25,7.31,7.69,7.0,7.54,266200
1,2010-05-26,7.5,7.5,7.0,7.0,100100
2,2010-05-27,7.15,7.31,6.88,7.19,66400
3,2010-05-28,7.5,7.58,7.38,7.42,138200
4,2010-05-31,7.5,7.5,6.96,6.96,39700
5,2010-06-01,6.92,7.15,6.92,6.96,58500
6,2010-06-02,7.08,7.08,6.88,6.92,86500
7,2010-06-03,7.23,7.23,6.88,6.92,86800
8,2010-06-04,6.96,7.0,6.81,6.88,21900
9,2010-06-07,6.73,6.77,6.46,6.46,83900
10,2010-06-08,6.46,6.58,6.35,6.54,25700
11,2010-06-09,6.54,6.54,6.27,6.31,44100
12,2010-06-10,6.77,6.77,6.5,6.73,60100
13,2010-06-11,6.77,6.88,6.35,6.35,81100
14,2010-06-14,6.65,6.65,6.5,6.5,9800
15,2010-06-15,6.54,6.69,6.5,6.5,46200
16,2010-06-16,6.61,6.88,6.46,6.85,78300
17,2010-06-17,6.69,7.11,6.65,7.11,290400
18,2010-06-18,7.08,7.19,6.92,7.0,103200
19,2010-06-21,7.11,7.11,6.92,7.08,95200
20,2010-06-22,7.11,7.11,6.85,6.85,36200
21,2010-06-23,6.69,6.96,6.69,6.81,123800
22,2010-06-24,7.04,7.04,6.58,6.69,210400
23,2010-06-25,6.81,6.81,6.35,6.61,88900
24,2010-06-28,6.73,6.73,6.54,6.61,38100
25,2010-06-29,6.65,6.77,6.58,6.73,51100
26,2010-06-30,6.54,6.58,6.42,6.54,31200
27,2010-07-01,6.54,6.58,6.5,6.54,34300
28,2010-07-02,6.88,6.88,6.58,6.61,6800
29,2010-07-05,6.58,6.58,6.46,6.54,37400
30,2010-07-06,6.46,6.54,6.38,6.38,42800
31,2010-07-07,6.65,6.65,6.35,6.46,40700
32,2010-07-08,6.54,6.54,6.19,6.5,115100
33,2010-07-09,6.5,6.5,6.35,6.46,800
34,2010-07-12,6.35,6.46,6.35,6.46,26800
35,2010-07-13,6.69,6.85,6.5,6.85,277100
36,2010-07-14,6.77,6.92,6.61,6.69,88700
37,2010-07-15,6.69,6.85,6.65,6.69,82800
38,2010-07-16,6.73,6.77,6.54,6.69,57100
39,2010-07-19,6.64,6.64,6.6,6.6,61500
40,2010-07-20,6.93,6.93,6.64,6.69,72400
41,2010-07-21,6.69,6.73,6.48,6.48,29400
42,2010-07-22,6.6,6.73,6.56,6.56,23800
43,2010-07-23,6.64,6.64,6.52,6.56,26800
44,2010-07-26,6.69,6.69,6.36,6.4,14200
45,2010-07-27,6.52,6.52,6.32,6.32,107300
