,time,open,high,low,close,volume
0,2012-08-27,5.44,5.44,5.38,5.38,2600
1,2012-08-28,5.06,5.06,5.06,5.06,1100
2,2012-08-29,4.74,4.74,4.74,4.74,100
3,2012-08-30,4.74,4.74,4.74,4.74,0
4,2012-08-31,4.42,5.06,4.42,5.06,1400
5,2012-09-04,5.06,5.06,5.06,5.06,0
6,2012-09-05,5.06,5.06,5.06,5.06,0
7,2012-09-06,4.74,4.74,4.74,4.74,100
8,2012-09-07,4.42,4.42,4.42,4.42,100
9,2012-09-10,4.42,4.42,4.42,4.42,0
10,2012-09-11,4.42,4.42,4.42,4.42,0
11,2012-09-12,4.16,4.16,4.16,4.16,100
12,2012-09-13,3.91,3.91,3.91,3.91,100
13,2012-09-14,3.65,3.65,3.65,3.65,100
14,2012-09-17,3.46,3.46,3.46,3.46,100
15,2012-09-18,3.27,3.27,3.27,3.27,100
16,2012-09-19,3.07,3.46,3.07,3.46,1300
17,2012-09-20,3.46,3.46,3.46,3.46,0
18,2012-09-21,3.65,3.65,3.65,3.65,100
19,2012-09-24,3.46,3.46,3.46,3.46,300
20,2012-09-25,3.46,3.46,3.46,3.46,0
21,2012-09-26,3.46,3.46,3.46,3.46,0
22,2012-09-27,3.46,3.46,3.46,3.46,0
23,2012-09-28,3.33,3.52,3.33,3.52,400
24,2012-10-01,3.72,3.72,3.72,3.72,100
25,2012-10-02,3.72,3.72,3.72,3.72,0
26,2012-10-03,3.72,3.72,3.72,3.72,0
27,2012-10-04,3.72,3.72,3.72,3.72,0
28,2012-10-05,3.72,3.72,3.72,3.72,0
29,2012-10-08,3.72,3.72,3.72,3.72,0
30,2012-10-09,3.72,3.72,3.72,3.72,0
31,2012-10-10,3.72,3.72,3.72,3.72,0
32,2012-10-11,3.72,3.72,3.72,3.72,0
33,2012-10-12,3.59,3.59,3.59,3.59,100
34,2012-10-15,3.59,3.59,3.59,3.59,0
35,2012-10-16,3.59,3.59,3.59,3.59,0
36,2012-10-17,3.59,3.59,3.59,3.59,0
37,2012-10-18,3.59,3.59,3.59,3.59,0
38,2012-10-19,3.59,3.59,3.59,3.59,0
39,2012-10-22,3.39,3.39,3.39,3.39,100
40,2012-10-23,3.2,3.2,3.2,3.2,100
41,2012-10-24,3.01,3.01,3.01,3.01,100
42,2012-10-25,2.82,2.82,2.82,2.82,100
43,2012-10-26,2.63,2.63,2.63,2.63,100
44,2012-10-29,2.5,2.5,2.5,2.5,100
45,2012-10-30,2.37,2.37,2.37,2.37,400
46,2012-10-31,2.24,2.24,2.24,2.24,200
47,2012-11-01,2.11,2.11,2.11,2.11,500
48,2012-11-02,1.99,1.99,1.99,1.99,1000
