,time,open,high,low,close,volume
0,2008-12-04,4.25,4.25,3.78,4.16,76000
1,2008-12-05,4.11,4.37,4.11,4.37,33100
2,2008-12-08,4.68,4.68,4.37,4.68,257500
3,2008-12-09,4.96,4.96,4.37,4.7,180600
4,2008-12-10,4.49,4.82,4.49,4.49,43700
5,2008-12-11,4.28,4.35,4.28,4.28,76800
6,2008-12-12,4.0,4.28,4.0,4.0,201500
7,2008-12-15,4.11,4.28,3.95,4.23,150200
8,2008-12-16,4.28,4.28,4.0,4.14,120400
9,2008-12-17,2.4,2.44,2.4,2.44,538100
10,2008-12-18,2.61,2.61,2.59,2.61,190500
11,2008-12-19,2.77,2.77,2.68,2.77,441100
12,2008-12-22,2.94,2.94,2.75,2.77,179200
13,2008-12-23,2.66,2.7,2.66,2.66,29500
14,2008-12-24,2.49,2.66,2.49,2.49,269200
15,2008-12-25,2.56,2.59,2.37,2.49,167200
16,2008-12-26,2.49,2.56,2.47,2.54,101900
17,2008-12-29,2.51,2.56,2.37,2.49,58300
18,2008-12-30,2.47,2.49,2.42,2.44,81900
19,2008-12-31,2.49,2.51,2.37,2.42,70100
20,2009-01-02,2.4,2.42,2.33,2.33,59900
21,2009-01-05,2.3,2.33,2.19,2.28,90700
22,2009-01-06,2.23,2.4,2.23,2.4,104100
23,2009-01-07,2.51,2.54,2.47,2.51,164300
24,2009-01-08,2.49,2.49,2.4,2.42,50100
25,2009-01-09,2.42,2.47,2.42,2.42,20300
26,2009-01-12,2.54,2.54,2.35,2.42,228600
27,2009-01-13,2.4,2.42,2.3,2.4,93900
28,2009-01-14,2.42,2.42,2.35,2.42,34500
29,2009-01-15,2.35,2.35,2.33,2.35,36100
30,2009-01-16,2.35,2.4,2.3,2.35,90100
31,2009-01-19,2.4,2.44,2.33,2.4,111100
32,2009-01-20,2.42,2.44,2.28,2.37,86800
33,2009-01-21,2.4,2.42,2.3,2.33,12300
34,2009-01-22,2.37,2.42,2.3,2.33,38100
35,2009-01-23,2.33,2.37,2.33,2.35,19100
36,2009-02-02,2.37,2.42,2.21,2.23,43500
37,2009-02-03,2.23,2.26,2.12,2.14,85200
38,2009-02-04,2.12,2.16,2.09,2.12,27900
39,2009-02-05,2.12,2.12,2.0,2.0,32300
40,2009-02-06,2.07,2.16,1.97,2.12,20400
41,2009-02-09,2.12,2.21,2.12,2.14,63700
42,2009-02-10,2.04,2.09,2.0,2.02,46800
43,2009-02-11,1.93,1.97,1.88,1.93,42900
44,2009-02-12,1.95,2.02,1.93,1.93,96800
45,2009-02-13,2.0,2.07,1.95,2.0,115800
46,2009-02-16,2.0,2.07,1.97,1.97,43300
47,2009-02-17,1.93,2.0,1.88,1.9,88000
48,2009-02-18,1.97,1.97,1.79,1.83,98700
49,2009-02-19,1.83,1.88,1.79,1.81,34600
50,2009-02-20,1.83,1.86,1.83,1.83,99900
51,2009-02-23,1.9,1.97,1.83,1.86,66900
52,2009-02-24,1.93,1.97,1.83,1.83,131100
53,2009-02-25,1.9,1.93,1.86,1.9,49200
54,2009-02-26,1.88,1.88,1.81,1.81,30000
55,2009-02-27,1.76,1.83,1.69,1.74,146400
56,2009-03-02,1.81,1.83,1.69,1.76,44700
57,2009-03-03,1.83,1.86,1.72,1.76,67300
58,2009-03-04,1.79,1.83,1.74,1.79,27700
59,2009-03-05,1.79,1.81,1.74,1.74,24600
60,2009-03-06,1.72,1.72,1.65,1.69,184800
61,2009-03-09,1.72,1.76,1.72,1.76,108900
62,2009-03-10,1.86,1.88,1.86,1.88,63800
63,2009-03-11,2.0,2.0,2.0,2.0,41700
64,2009-03-12,2.12,2.12,1.9,1.95,340400
65,2009-03-13,2.12,2.16,2.0,2.02,192700
66,2009-03-16,2.02,2.02,1.95,1.95,85400
67,2009-03-17,1.97,2.04,1.97,2.04,160700
68,2009-03-18,2.07,2.12,2.02,2.12,232900
69,2009-03-19,2.14,2.16,1.93,1.95,64400
70,2009-03-20,2.04,2.07,1.95,1.95,133400
71,2009-03-23,2.02,2.02,1.9,1.9,83700
72,2009-03-24,2.02,2.07,1.97,2.02,187400
73,2009-03-25,2.02,2.02,1.93,1.97,40400
74,2009-03-26,2.0,2.04,1.95,1.97,53200
75,2009-03-27,2.04,2.09,2.02,2.09,475000
76,2009-03-30,2.09,2.23,2.02,2.12,118100
77,2009-03-31,2.12,2.21,2.04,2.19,177600
78,2009-04-01,2.3,2.3,2.21,2.3,143800
79,2009-04-02,2.42,2.42,2.23,2.3,275000
80,2009-04-03,2.47,2.47,2.33,2.42,352100
81,2009-04-07,2.56,2.56,2.3,2.51,336500
82,2009-04-08,2.47,2.47,2.3,2.3,148000
83,2009-04-09,2.47,2.51,2.28,2.37,157900
84,2009-04-10,2.56,2.56,2.42,2.54,245800
85,2009-04-13,2.68,2.68,2.59,2.68,240300
86,2009-04-14,2.84,2.84,2.61,2.84,291800
87,2009-04-15,2.98,2.98,2.61,2.63,208200
88,2009-04-16,2.89,2.91,2.56,2.66,207500
89,2009-04-17,2.54,2.7,2.54,2.54,297600
90,2009-04-20,2.37,2.37,2.37,2.37,18000
91,2009-04-21,2.21,2.3,2.21,2.23,179200
92,2009-04-22,2.12,2.35,2.12,2.35,250400
93,2009-04-23,2.47,2.47,2.3,2.3,128600
94,2009-04-24,2.56,2.56,2.28,2.33,140100
95,2009-04-27,2.61,2.61,2.28,2.35,80600
96,2009-04-28,2.4,2.61,2.28,2.35,119800
97,2009-04-29,2.35,2.56,2.26,2.37,106400
98,2009-05-04,2.44,2.59,2.44,2.59,319400
99,2009-05-05,2.75,2.75,2.61,2.63,331100
100,2009-05-06,2.59,2.59,2.54,2.54,132400
101,2009-05-07,2.54,2.68,2.54,2.61,113800
102,2009-05-08,2.56,2.7,2.44,2.54,174400
103,2009-05-11,2.47,2.56,2.4,2.47,250900
104,2009-05-12,2.47,2.49,2.35,2.47,76300
105,2009-05-13,2.44,2.56,2.42,2.47,151900
106,2009-05-14,2.35,2.44,2.35,2.42,136800
107,2009-05-15,2.51,2.56,2.47,2.56,840500
108,2009-05-18,2.7,2.7,2.7,2.7,145900
109,2009-05-19,2.89,2.89,2.89,2.89,23600
110,2009-05-20,3.08,3.08,3.08,3.08,23900
111,2009-05-21,3.29,3.29,3.24,3.29,1836300
112,2009-05-22,3.5,3.5,3.29,3.5,971200
113,2009-05-25,3.74,3.74,3.55,3.74,170500
114,2009-05-26,4.0,4.0,3.74,3.88,377200
115,2009-05-27,4.0,4.0,3.62,3.62,718400
116,2009-05-28,3.41,3.41,3.41,3.41,145800
117,2009-05-29,3.22,3.6,3.17,3.38,499400
118,2009-06-01,3.57,3.64,3.55,3.64,388800
119,2009-06-02,3.88,3.88,3.64,3.76,508800
120,2009-06-03,3.78,3.78,3.55,3.62,322000
121,2009-06-04,3.64,3.88,3.64,3.88,394500
122,2009-06-05,4.09,4.09,4.09,4.09,116700
123,2009-06-08,4.37,4.37,4.37,4.37,16400
124,2009-06-09,4.68,4.68,4.68,4.68,167600
125,2009-06-10,4.98,4.98,4.72,4.98,1834700
126,2009-06-11,5.26,5.26,5.26,5.26,81300
127,2009-06-12,5.62,5.62,5.62,5.62,55600
128,2009-06-15,5.99,5.99,5.29,5.99,1191400
129,2009-06-16,5.88,5.88,5.55,5.55,402200
130,2009-06-17,5.24,5.88,5.24,5.48,569300
131,2009-06-18,5.62,5.64,5.31,5.64,624200
132,2009-06-19,5.97,5.97,5.29,5.57,437000
133,2009-06-22,5.83,5.83,5.29,5.29,127500
134,2009-06-23,4.96,4.96,4.96,4.96,49900
135,2009-06-24,4.63,5.29,4.63,5.29,631400
136,2009-06-25,5.36,5.36,4.77,5.01,353100
137,2009-06-26,5.55,5.55,4.94,5.29,289200
138,2009-06-29,5.64,5.64,4.98,5.03,155600
