,time,open,high,low,close,volume
0,2017-06-22,18.19,18.19,7.87,7.87,45000
1,2017-06-23,7.8,7.8,7.28,7.28,1100
2,2017-06-26,7.28,7.28,7.28,7.28,1000
3,2017-06-27,7.14,7.14,6.94,6.94,600
4,2017-06-28,6.61,6.61,6.09,6.09,7400
5,2017-06-29,5.95,6.61,5.23,5.29,9800
6,2017-06-30,5.29,6.35,5.29,6.35,5200
7,2017-07-03,6.28,6.28,6.28,6.28,500
8,2017-07-04,6.86,6.86,6.86,6.86,500
9,2017-07-05,6.72,6.72,6.72,6.72,500
10,2017-07-06,6.72,6.72,6.72,6.72,0
11,2017-07-07,5.78,6.57,5.78,6.57,700
12,2017-07-10,6.14,6.36,6.14,6.36,3000
13,2017-07-11,6.5,6.93,6.5,6.93,500
14,2017-07-12,6.93,6.93,6.93,6.93,200
15,2017-07-13,6.93,6.93,6.93,6.93,0
16,2017-07-14,6.57,6.57,5.92,5.92,1800
17,2017-07-17,6.86,6.86,6.86,6.86,200
18,2017-07-18,5.85,6.5,5.85,5.85,5400
19,2017-07-19,5.92,5.92,5.92,5.92,0
20,2017-07-20,6.14,6.14,5.78,5.78,4900
21,2017-07-21,5.78,5.78,5.78,5.78,5300
22,2017-07-24,4.98,6.14,4.91,4.91,2200
23,2017-07-25,5.92,5.92,5.92,5.92,100
24,2017-07-26,5.92,5.92,5.92,5.92,0
25,2017-07-27,5.92,5.92,5.92,5.92,0
26,2017-07-28,5.13,5.92,5.13,5.92,690
27,2017-07-31,5.92,5.92,5.92,5.92,200
28,2017-08-01,5.2,5.92,5.13,5.92,1600
29,2017-08-02,5.85,5.85,5.85,5.85,100
30,2017-08-03,5.78,5.78,5.78,5.78,100
31,2017-08-04,5.78,5.78,5.78,5.78,0
32,2017-08-07,5.78,5.78,5.78,5.78,0
33,2017-08-08,5.06,5.78,5.06,5.78,3500
34,2017-08-09,5.13,5.13,5.13,5.13,1200
35,2017-08-10,5.34,5.34,5.27,5.27,3400
36,2017-08-11,5.99,5.99,5.99,5.99,100
37,2017-08-14,5.99,5.99,5.99,5.99,0
38,2017-08-15,5.99,5.99,5.99,5.99,0
39,2017-08-16,5.99,5.99,5.99,5.99,0
40,2017-08-17,5.99,5.99,5.99,5.99,0
41,2017-08-18,5.99,6.86,5.99,6.86,800
42,2017-08-21,5.34,5.34,5.34,5.34,5900
43,2017-08-22,6.07,6.07,6.07,6.07,2000
44,2017-08-23,6.07,6.07,6.07,6.07,0
45,2017-08-24,6.07,6.07,6.07,6.07,0
46,2017-08-25,6.07,6.07,6.07,6.07,10
47,2017-08-28,6.07,6.07,6.07,6.07,0
48,2017-08-29,6.07,6.07,6.07,6.07,0
49,2017-08-30,6.07,6.07,6.07,6.07,0
50,2017-08-31,5.2,5.2,5.2,5.2,1400
51,2017-09-01,5.85,5.85,5.85,5.85,1000
52,2017-09-05,5.85,5.85,5.85,5.85,0
53,2017-09-06,5.27,5.27,5.27,5.27,500
54,2017-09-07,5.85,5.85,5.85,5.85,0
55,2017-09-08,5.85,5.85,5.85,5.85,0
56,2017-09-11,5.85,5.85,5.85,5.85,0
57,2017-09-12,5.85,5.85,5.85,5.85,0
58,2017-09-13,5.85,5.85,5.85,5.85,0
59,2017-09-14,5.85,5.85,5.85,5.85,0
60,2017-09-15,5.85,5.85,5.85,5.85,0
61,2017-09-18,5.42,5.42,5.42,5.42,300
62,2017-09-19,5.42,5.42,5.42,5.42,280
63,2017-09-20,5.42,5.42,5.42,5.42,0
64,2017-09-21,5.42,5.42,5.42,5.42,5000
65,2017-09-22,5.42,5.42,5.42,5.42,0
66,2017-09-25,5.42,5.42,5.42,5.42,100
67,2017-09-26,6.07,6.07,6.07,6.07,500
68,2017-09-27,6.07,6.07,6.07,6.07,0
69,2017-09-28,5.42,5.42,5.42,5.42,5000
70,2017-09-29,5.42,5.42,5.42,5.42,11800
71,2017-10-02,5.42,5.42,5.42,5.42,1000
72,2017-10-03,5.42,5.42,5.42,5.42,0
73,2017-10-04,5.06,5.06,5.06,5.06,1000
74,2017-10-05,5.06,5.06,5.06,5.06,0
75,2017-10-06,5.06,5.06,5.06,5.06,0
76,2017-10-09,5.34,5.34,5.34,5.34,1000
77,2017-10-10,5.34,5.34,5.34,5.34,0
78,2017-10-11,5.42,5.42,5.42,5.42,11000
79,2017-10-12,5.2,5.2,5.2,5.2,100
80,2017-10-13,5.2,5.2,5.2,5.2,0
81,2017-10-16,5.92,5.92,5.85,5.92,14700
82,2017-10-17,5.99,5.99,5.92,5.92,800
83,2017-10-18,6.07,6.21,6.07,6.14,2300
84,2017-10-19,5.92,5.92,5.92,5.92,200
85,2017-10-20,5.92,5.92,5.92,5.92,0
86,2017-10-23,5.92,5.92,5.92,5.92,0
87,2017-10-24,5.92,5.92,5.92,5.92,1000
88,2017-10-25,6.72,6.72,6.72,6.72,100
89,2017-10-26,6.21,6.36,6.14,6.14,6200
90,2017-10-27,6.21,6.21,6.21,6.21,0
91,2017-10-30,6.14,6.14,6.14,6.14,1000
92,2017-10-31,6.07,6.14,6.07,6.14,1000
93,2017-11-01,6.5,6.5,6.5,6.5,100
94,2017-11-02,6.14,6.14,6.14,6.14,500
95,2017-11-03,5.78,6.14,5.78,6.14,1900
96,2017-11-06,5.99,5.99,5.99,5.99,0
97,2017-11-07,5.99,5.99,5.99,5.99,0
98,2017-11-08,5.99,5.99,5.99,5.99,0
99,2017-11-09,5.99,5.99,5.99,5.99,0
100,2017-11-10,5.99,5.99,5.99,5.99,0
101,2017-11-13,5.99,5.99,5.99,5.99,0
102,2017-11-14,5.99,5.99,5.99,5.99,0
103,2017-11-15,5.99,5.99,5.99,5.99,500
104,2017-11-16,5.99,5.99,5.99,5.99,0
105,2017-11-17,5.99,5.99,5.99,5.99,0
106,2017-11-20,5.99,5.99,5.99,5.99,0
107,2017-11-21,5.99,5.99,5.99,5.99,0
108,2017-11-22,5.99,5.99,5.99,5.99,0
109,2017-11-23,5.99,5.99,5.99,5.99,0
110,2017-11-24,5.99,5.99,5.99,5.99,0
111,2017-11-27,5.99,5.99,5.99,5.99,0
112,2017-11-28,5.99,5.99,5.99,5.99,0
113,2017-11-29,5.99,5.99,5.99,5.99,0
114,2017-11-30,5.99,5.99,5.99,5.99,5500
115,2017-12-01,6.07,6.07,6.07,6.07,600
116,2017-12-04,5.99,6.93,5.99,6.86,32300
117,2017-12-05,6.86,6.86,6.86,6.86,0
118,2017-12-06,6.86,6.86,6.86,6.86,0
119,2017-12-07,6.86,6.86,6.86,6.86,0
120,2017-12-08,6.86,7.44,6.79,7.22,18900
121,2017-12-11,7.22,7.22,7.22,7.22,10900
122,2017-12-12,7.29,7.58,7.29,7.58,8100
123,2017-12-13,7.58,7.66,7.58,7.66,34500
124,2017-12-14,7.58,7.58,7.58,7.58,1900
125,2017-12-15,8.67,8.67,8.67,8.67,100
126,2017-12-18,8.67,8.67,8.67,8.67,0
127,2017-12-19,7.37,7.37,7.37,7.37,100
128,2017-12-20,7.37,7.37,7.37,7.37,0
129,2017-12-21,7.37,7.37,7.37,7.37,100
130,2017-12-22,7.29,7.29,7.29,7.29,3100
131,2017-12-25,7.29,7.29,7.29,7.29,0
132,2017-12-26,6.21,7.22,6.21,7.22,200
133,2017-12-27,6.72,6.72,6.72,6.72,0
134,2017-12-28,6.5,6.5,6.5,6.5,1700
135,2017-12-29,7.22,7.22,7.22,7.22,100
136,2018-01-02,7.22,7.22,7.22,7.22,0
137,2018-01-03,6.14,6.14,6.14,6.14,6300
138,2018-01-04,6.14,6.14,6.14,6.14,0
139,2018-01-05,6.86,6.86,6.86,6.86,100
140,2018-01-08,6.86,6.86,6.86,6.86,0
141,2018-01-09,6.86,6.86,6.86,6.86,0
142,2018-01-10,6.5,6.5,6.28,6.5,1100
143,2018-01-11,6.5,6.5,6.5,6.5,700
144,2018-01-12,6.5,6.5,6.5,6.5,0
145,2018-01-15,6.5,6.5,6.5,6.5,0
146,2018-01-16,6.5,6.5,6.5,6.5,0
147,2018-01-17,5.56,7.37,5.56,7.37,200
148,2018-01-18,6.5,6.5,6.5,6.5,0
149,2018-01-19,6.5,6.5,6.5,6.5,0
150,2018-01-22,6.5,6.5,6.5,6.5,0
151,2018-01-23,6.5,6.5,6.5,6.5,0
152,2018-01-24,6.5,6.5,6.5,6.5,0
153,2018-01-25,6.5,6.5,6.5,6.5,0
154,2018-01-26,6.5,6.5,6.5,6.5,0
155,2018-01-29,6.5,6.5,6.5,6.5,0
156,2018-01-30,6.5,6.5,6.5,6.5,0
157,2018-01-31,6.5,6.5,6.5,6.5,0
158,2018-02-01,6.5,6.5,6.5,6.5,0
159,2018-02-02,6.5,6.5,6.5,6.5,0
160,2018-02-05,6.5,6.5,6.5,6.5,0
161,2018-02-06,6.5,6.5,6.5,6.5,0
162,2018-02-07,6.5,6.5,6.5,6.5,0
163,2018-02-08,6.5,6.5,6.5,6.5,0
164,2018-02-09,6.5,6.5,6.5,6.5,0
165,2018-02-12,7.44,7.44,7.44,7.44,100
166,2018-02-13,7.44,7.44,7.44,7.44,0
167,2018-02-21,7.44,7.44,7.44,7.44,0
168,2018-02-22,7.44,7.44,7.44,7.44,0
169,2018-02-23,7.44,7.44,7.44,7.44,0
170,2018-02-26,7.44,7.44,7.44,7.44,0
171,2018-02-27,7.44,7.44,7.44,7.44,0
172,2018-02-28,6.86,6.86,6.86,6.86,5000
173,2018-03-01,6.86,6.86,6.86,6.86,0
174,2018-03-02,6.14,7.15,6.14,7.15,11100
175,2018-03-05,6.14,6.14,6.14,6.14,0
176,2018-03-06,6.14,6.14,6.14,6.14,0
177,2018-03-07,6.14,6.14,6.14,6.14,0
178,2018-03-08,6.86,6.86,6.86,6.86,100
179,2018-03-09,6.86,6.86,5.85,5.85,4000
180,2018-03-12,6.14,6.14,6.14,6.14,0
181,2018-03-13,5.42,5.42,5.34,5.34,11800
182,2018-03-14,6.21,6.21,5.34,5.42,7800
183,2018-03-15,5.34,5.34,5.34,5.34,0
184,2018-03-16,5.42,5.42,5.34,5.34,5300
185,2018-03-19,6.14,6.14,6.14,6.14,100
186,2018-03-20,6.14,6.14,6.14,6.14,0
187,2018-03-21,6.14,6.14,6.14,6.14,0
188,2018-03-22,6.14,6.14,6.14,6.14,0
189,2018-03-23,6.14,6.14,6.14,6.14,0
190,2018-03-26,6.14,6.14,6.14,6.14,0
191,2018-03-27,6.86,6.86,6.86,6.86,500
192,2018-03-28,6.86,6.86,6.86,6.86,0
193,2018-03-29,5.92,6.5,5.92,6.5,10000
194,2018-03-30,6.5,6.5,5.56,6.5,5800
195,2018-04-02,7.37,7.37,6.64,7.37,39500
