,time,open,high,low,close,volume
0,2009-02-12,8.81,8.81,3.52,4.76,21500
1,2009-02-13,5.28,5.28,5.28,5.28,5000
2,2009-02-16,5.65,5.65,5.65,5.65,1000
3,2009-02-17,6.04,6.04,5.27,5.28,41900
4,2009-02-18,5.06,5.06,5.06,5.06,16400
5,2009-02-19,4.72,4.93,4.7,4.76,16700
6,2009-02-20,4.58,4.58,4.44,4.44,26200
7,2009-02-23,4.4,4.4,4.14,4.14,15600
8,2009-02-24,3.89,4.09,3.89,3.89,36000
9,2009-02-25,3.89,4.16,3.89,4.16,30600
10,2009-02-26,4.23,4.28,4.05,4.28,34000
11,2009-02-27,4.42,4.47,4.42,4.47,16300
12,2009-03-02,4.49,4.77,4.49,4.74,28800
13,2009-03-03,4.46,4.58,4.4,4.56,12000
14,2009-03-04,4.58,4.58,4.53,4.56,13500
15,2009-03-05,4.65,4.76,4.65,4.76,5700
16,2009-03-06,4.67,4.67,4.58,4.65,5600
17,2009-03-09,4.72,4.74,4.72,4.74,7500
18,2009-03-10,4.74,4.77,4.74,4.76,10800
19,2009-03-11,4.93,4.93,4.86,4.88,23000
20,2009-03-12,4.63,4.65,4.6,4.63,5100
21,2009-03-13,4.76,4.77,4.74,4.76,8600
22,2009-03-16,4.81,4.84,4.81,4.84,8100
23,2009-03-17,4.93,4.99,4.83,4.84,15800
24,2009-03-18,5.02,5.02,4.69,4.69,7900
25,2009-03-19,4.81,4.81,4.67,4.76,13800
26,2009-03-20,4.76,4.76,4.76,4.76,1500
27,2009-03-23,4.72,4.9,4.69,4.76,9500
28,2009-03-24,4.81,4.81,4.81,4.81,1100
29,2009-03-25,4.76,4.81,4.76,4.77,3700
30,2009-03-26,4.84,4.86,4.84,4.86,23700
31,2009-03-27,4.93,4.93,4.86,4.86,8000
32,2009-03-30,4.76,4.76,4.76,4.76,5000
33,2009-03-31,4.77,4.77,4.77,4.77,1500
34,2009-04-01,4.84,4.91,4.84,4.91,6400
35,2009-04-02,4.91,4.91,4.91,4.91,0
36,2009-04-03,4.88,4.97,4.88,4.93,12000
37,2009-04-07,4.93,5.02,4.84,5.02,19600
38,2009-04-08,4.93,4.93,4.84,4.86,8700
39,2009-04-09,5.02,5.02,4.88,4.88,7900
40,2009-04-10,4.93,4.93,4.93,4.93,11000
41,2009-04-13,5.02,5.27,5.02,5.27,41600
42,2009-04-14,5.46,5.46,5.37,5.37,5300
43,2009-04-15,5.13,5.13,5.09,5.09,5200
44,2009-04-16,5.11,5.11,5.11,5.11,100
45,2009-04-17,5.02,5.02,4.88,4.88,6000
46,2009-04-20,4.6,5.06,4.6,4.6,7000
47,2009-04-21,4.33,4.6,4.33,4.6,16600
48,2009-04-22,4.74,4.74,4.74,4.74,1000
49,2009-04-23,5.0,5.0,5.0,5.0,200
50,2009-04-24,4.76,4.77,4.76,4.76,2500
51,2009-04-27,4.93,4.93,4.93,4.93,200
52,2009-04-28,4.91,4.91,4.91,4.91,100
53,2009-04-29,4.88,4.88,4.84,4.84,4300
54,2009-05-04,4.86,5.2,4.86,5.07,29600
55,2009-05-05,5.37,5.41,5.11,5.11,38800
56,2009-05-06,5.02,5.02,5.02,5.02,4000
57,2009-05-07,4.93,5.11,4.88,5.11,2900
58,2009-05-08,4.84,4.84,4.76,4.76,9400
59,2009-05-11,5.06,5.06,4.91,4.99,8900
60,2009-05-12,4.93,5.02,4.93,5.02,12500
61,2009-05-13,5.18,5.18,5.02,5.02,2600
62,2009-05-14,5.06,5.06,4.93,4.93,7700
63,2009-05-15,5.09,5.09,4.97,5.02,19000
64,2009-05-18,5.0,5.06,4.95,5.0,16700
65,2009-05-19,5.02,5.02,4.97,5.02,15500
66,2009-05-20,4.93,4.93,4.91,4.93,7200
67,2009-05-21,4.72,4.93,4.72,4.93,13900
68,2009-05-22,5.02,5.02,4.76,4.76,9900
69,2009-05-25,5.0,5.07,4.93,5.06,14400
70,2009-05-26,5.02,5.02,4.93,5.02,9700
71,2009-05-27,5.02,5.11,4.93,4.93,21200
72,2009-05-28,5.3,5.3,5.0,5.0,5400
73,2009-05-29,5.11,5.28,5.11,5.2,10500
74,2009-06-01,5.23,5.28,5.23,5.28,9900
75,2009-06-02,5.28,5.6,5.28,5.6,57700
76,2009-06-03,5.64,5.94,5.64,5.94,17600
77,2009-06-04,6.31,6.31,6.31,6.31,4400
78,2009-06-05,6.75,6.75,6.75,6.75,7000
79,2009-06-08,7.21,7.21,7.21,7.21,300
80,2009-06-09,7.7,7.7,6.85,7.06,55700
81,2009-06-10,7.05,7.05,7.05,7.05,5500
82,2009-06-11,6.55,6.87,6.55,6.87,74000
83,2009-06-12,6.52,7.06,6.52,6.59,25200
84,2009-06-15,6.29,6.31,6.29,6.29,26100
85,2009-06-16,6.31,6.31,5.87,5.87,11900
86,2009-06-17,5.53,6.17,5.53,6.17,31500
87,2009-06-18,5.99,5.99,5.99,5.99,10700
88,2009-06-19,6.17,6.34,5.9,6.31,3500
89,2009-06-22,5.81,5.81,5.74,5.74,7900
90,2009-06-23,5.37,5.39,5.37,5.37,20500
91,2009-06-24,5.37,5.74,5.37,5.74,400
92,2009-06-25,5.95,5.95,5.6,5.64,9400
93,2009-06-26,6.15,6.15,6.13,6.13,200
94,2009-06-29,5.73,6.08,5.73,5.73,4200
95,2009-06-30,6.08,6.08,5.6,5.6,2500
96,2009-07-01,5.39,5.39,5.28,5.39,2100
97,2009-07-02,5.64,5.64,5.64,5.64,500
98,2009-07-03,5.73,5.73,5.73,5.73,2000
99,2009-07-06,5.34,5.9,5.34,5.9,6800
100,2009-07-07,5.43,5.9,5.43,5.9,8100
101,2009-07-08,5.99,5.99,5.57,5.81,3000
102,2009-07-09,5.34,5.73,5.34,5.73,600
103,2009-07-10,5.37,5.64,5.37,5.55,2600
104,2009-07-13,5.37,5.37,5.32,5.37,1500
105,2009-07-14,5.28,5.28,5.28,5.28,10900
106,2009-07-15,5.37,5.55,5.37,5.55,3500
107,2009-07-16,5.62,5.64,5.6,5.64,5000
108,2009-07-17,5.55,5.64,5.37,5.37,4800
109,2009-07-20,5.46,5.46,5.34,5.46,5800
110,2009-07-21,5.46,5.62,5.46,5.62,2200
111,2009-07-22,5.81,5.81,5.48,5.48,5500
112,2009-07-23,5.64,5.81,5.64,5.81,7400
113,2009-07-24,6.13,6.15,6.13,6.15,8500
114,2009-07-27,6.52,6.55,6.17,6.17,5200
115,2009-07-28,6.17,6.25,5.99,5.99,1400
116,2009-07-29,5.69,5.69,5.67,5.67,600
117,2009-07-30,5.99,5.99,5.99,5.99,100
118,2009-07-31,5.99,6.08,5.99,6.08,3600
119,2009-08-03,6.06,6.08,6.06,6.08,1300
120,2009-08-04,6.32,6.48,6.18,6.41,33000
121,2009-08-05,6.45,6.45,6.36,6.41,6800
122,2009-08-06,6.17,6.27,6.17,6.17,5600
123,2009-08-07,6.2,6.2,6.18,6.18,5700
124,2009-08-10,6.34,6.36,6.25,6.31,19900
125,2009-08-11,6.34,6.41,6.17,6.41,12300
126,2009-08-12,6.34,6.34,6.34,6.34,5500
127,2009-08-13,6.34,6.52,6.18,6.18,13700
128,2009-08-14,6.08,6.08,6.08,6.18,300
129,2009-08-17,6.22,6.24,6.08,6.08,6300
130,2009-08-18,6.11,6.11,5.99,5.99,1700
131,2009-08-19,5.99,5.99,5.99,5.99,3200
132,2009-08-20,6.08,6.08,6.04,6.08,4800
133,2009-08-21,6.17,6.22,6.15,6.2,6500
134,2009-08-24,6.25,6.27,6.18,6.18,11800
135,2009-08-25,6.25,6.27,6.24,6.27,8300
136,2009-08-26,6.22,6.22,6.01,6.08,10100
137,2009-08-27,6.08,6.17,6.01,6.17,20500
138,2009-08-28,6.17,6.17,6.01,6.04,5100
139,2009-08-31,6.17,6.25,6.17,6.25,11300
140,2009-09-01,6.31,6.31,6.18,6.22,6700
141,2009-09-03,6.17,6.25,6.13,6.25,6500
142,2009-09-04,6.25,6.25,6.13,6.13,12300
143,2009-09-07,6.2,6.2,6.17,6.18,2700
144,2009-09-08,6.27,6.48,6.25,6.43,10600
145,2009-09-09,6.66,6.78,6.41,6.61,21600
146,2009-09-10,6.76,6.8,6.61,6.69,29400
147,2009-09-11,6.69,6.76,6.69,6.75,6200
148,2009-09-14,6.75,6.75,6.69,6.75,12600
149,2009-09-15,6.71,6.87,6.69,6.87,18700
150,2009-09-16,7.12,7.19,7.03,7.19,31100
151,2009-09-17,7.58,7.58,7.13,7.49,24800
152,2009-09-18,7.52,7.56,7.05,7.4,26100
153,2009-09-21,7.4,7.49,7.1,7.1,9500
154,2009-09-22,7.05,7.15,6.87,7.05,24900
155,2009-09-23,7.22,7.31,7.05,7.05,24200
156,2009-09-24,7.05,7.22,7.05,7.22,6900
157,2009-09-25,7.19,7.4,7.06,7.22,9100
158,2009-09-28,7.38,7.58,7.22,7.4,38200
159,2009-09-29,6.78,6.87,6.69,6.85,3500
160,2009-09-30,6.75,6.78,6.75,6.76,2800
161,2009-10-01,6.78,6.78,6.47,6.47,5200
162,2009-10-02,6.34,6.84,6.29,6.75,16100
163,2009-10-05,6.61,6.61,6.61,6.61,100
164,2009-10-06,6.61,6.61,6.61,6.61,2900
165,2009-10-07,6.62,6.84,6.62,6.84,7900
166,2009-10-08,7.19,7.19,6.78,7.19,31200
167,2009-10-09,7.22,7.58,7.22,7.49,13000
168,2009-10-12,7.66,7.66,7.49,7.49,4000
169,2009-10-13,7.26,7.59,7.22,7.59,2800
170,2009-10-14,7.4,7.58,7.4,7.56,2300
171,2009-10-15,7.96,7.96,7.58,7.96,60900
172,2009-10-16,7.93,8.09,7.93,7.98,24900
173,2009-10-19,8.1,8.49,8.1,8.49,32000
174,2009-10-20,8.81,9.02,8.81,9.02,31900
175,2009-10-21,9.6,9.6,8.98,8.98,49100
176,2009-10-22,9.51,9.76,8.63,8.72,27900
177,2009-10-23,8.81,8.81,8.28,8.28,10400
178,2009-10-26,8.53,9.05,8.28,9.05,119500
179,2009-10-27,8.67,9.27,8.67,9.27,68500
180,2009-10-28,9.23,9.25,9.16,9.16,4800
181,2009-10-29,8.83,9.83,8.63,9.83,152500
182,2009-10-30,10.16,10.25,9.69,10.24,97000
183,2009-11-02,10.57,10.57,9.51,9.51,8500
184,2009-11-03,8.98,9.16,8.98,8.98,10000
185,2009-11-04,8.98,8.98,8.37,8.37,15300
186,2009-11-05,8.98,9.0,7.93,8.81,13000
187,2009-11-06,9.21,9.21,8.28,8.81,23400
188,2009-11-09,8.28,8.28,8.17,8.17,11800
189,2009-11-10,8.28,8.28,7.65,7.66,18600
190,2009-11-11,8.28,8.28,7.8,7.8,700
191,2009-11-12,8.39,8.39,8.14,8.28,9800
192,2009-11-13,8.21,8.21,8.19,8.19,2000
193,2009-11-16,7.93,8.02,7.77,7.77,5300
194,2009-11-17,8.28,8.28,7.93,7.93,5500
195,2009-11-18,7.93,8.02,7.93,8.02,2300
196,2009-11-19,8.28,8.28,7.93,8.1,5600
197,2009-11-20,8.1,8.1,7.75,7.75,2000
198,2009-11-23,7.58,7.58,7.49,7.49,4000
199,2009-11-24,7.58,7.84,7.5,7.5,2300
200,2009-11-25,7.19,7.22,7.05,7.05,2600
201,2009-11-26,6.62,6.84,6.62,6.62,9100
202,2009-11-27,6.25,6.69,6.17,6.69,4400
203,2009-11-30,6.76,6.76,6.34,6.76,9300
204,2009-12-01,6.84,6.84,6.84,6.84,300
205,2009-12-02,7.31,7.31,6.87,6.87,13600
206,2009-12-03,6.69,7.31,6.69,7.22,1200
207,2009-12-04,6.87,6.91,6.87,6.91,2500
208,2009-12-07,6.89,6.94,6.89,6.94,1400
209,2009-12-08,6.91,6.92,6.78,6.78,6300
