,time,open,high,low,close,volume
0,2009-12-29,3.29,3.29,2.74,3.1,96300
1,2009-12-30,2.96,3.1,2.89,2.89,74500
2,2009-12-31,2.96,2.96,2.74,2.74,86600
3,2010-01-04,2.77,2.96,2.63,2.96,177700
4,2010-01-05,3.0,3.0,3.0,3.0,61300
5,2010-01-06,3.21,3.21,3.0,3.21,243500
6,2010-01-07,3.39,3.39,3.27,3.39,95900
7,2010-01-08,3.6,3.6,3.29,3.37,349400
8,2010-01-11,3.6,3.6,3.27,3.32,163000
9,2010-01-12,3.29,3.29,3.08,3.08,127700
10,2010-01-13,3.23,3.23,2.91,3.15,136900
11,2010-01-14,3.17,3.18,3.07,3.08,42400
12,2010-01-15,2.97,3.07,2.91,2.92,40100
13,2010-01-18,2.85,2.85,2.73,2.73,60500
14,2010-01-19,2.8,2.85,2.74,2.79,23300
15,2010-01-20,2.8,2.85,2.61,2.62,52700
16,2010-01-21,2.74,2.76,2.48,2.65,18600
17,2010-01-22,2.48,2.7,2.48,2.63,15700
18,2010-01-25,2.73,2.73,2.52,2.65,29700
19,2010-01-26,2.74,2.81,2.74,2.81,30900
20,2010-01-27,2.93,2.93,2.8,2.81,11900
21,2010-01-28,2.81,2.81,2.63,2.64,31500
22,2010-01-29,2.8,2.82,2.63,2.63,10900
23,2010-02-01,2.75,2.75,2.57,2.58,61900
24,2010-02-02,2.74,2.74,2.48,2.49,21700
25,2010-02-03,2.48,2.48,2.38,2.41,66500
26,2010-02-04,2.52,2.52,2.32,2.42,45800
27,2010-02-05,2.43,2.51,2.37,2.51,17800
28,2010-02-08,2.41,2.41,2.3,2.3,33300
29,2010-02-09,2.45,2.47,2.16,2.23,22300
30,2010-02-10,2.29,2.34,2.26,2.3,3800
31,2010-02-11,2.43,2.43,2.34,2.36,11800
32,2010-02-12,2.41,2.51,2.41,2.46,14700
33,2010-02-22,2.52,2.52,2.49,2.49,17100
34,2010-02-23,2.37,2.37,2.35,2.35,17700
35,2010-02-24,2.35,2.35,2.19,2.25,72100
36,2010-02-25,2.34,2.35,2.19,2.21,31500
37,2010-02-26,2.21,2.39,2.19,2.39,104800
38,2010-03-01,2.52,2.54,2.48,2.52,48700
39,2010-03-02,2.39,2.4,2.36,2.38,51200
40,2010-03-03,2.47,2.47,2.38,2.4,41800
41,2010-03-04,2.49,2.52,2.4,2.45,53000
42,2010-03-05,2.47,2.47,2.38,2.45,35000
43,2010-03-08,2.52,2.61,2.52,2.61,143300
44,2010-03-09,2.74,2.74,2.5,2.5,34100
45,2010-03-10,2.5,2.54,2.41,2.45,63000
46,2010-03-11,2.46,2.46,2.4,2.41,21800
47,2010-03-12,2.5,2.5,2.36,2.45,55600
48,2010-03-15,2.43,2.47,2.35,2.36,30600
49,2010-03-16,2.36,2.41,2.25,2.26,50700
50,2010-03-17,2.3,2.37,2.26,2.32,57100
51,2010-03-18,2.37,2.47,2.3,2.37,38500
52,2010-03-19,2.41,2.41,2.28,2.3,56700
53,2010-03-22,2.3,2.3,2.2,2.24,83800
54,2010-03-23,2.25,2.26,2.16,2.19,99500
55,2010-03-24,2.25,2.26,2.18,2.26,24000
56,2010-03-25,2.23,2.23,2.11,2.14,76600
57,2010-03-26,2.12,2.14,2.01,2.03,59600
58,2010-03-29,2.03,2.07,2.01,2.07,121500
59,2010-03-30,2.07,2.07,1.94,1.94,121300
60,2010-03-31,2.03,2.05,1.98,2.0,17200
61,2010-04-01,2.02,2.07,1.98,2.06,33500
62,2010-04-02,2.03,2.05,1.98,2.02,15300
63,2010-04-05,2.03,2.04,1.98,2.04,88600
64,2010-04-06,2.04,2.14,2.03,2.06,77400
65,2010-04-07,2.19,2.19,2.05,2.08,34800
66,2010-04-08,2.08,2.09,2.06,2.06,37500
67,2010-04-09,2.09,2.14,2.06,2.06,28600
68,2010-04-12,2.07,2.08,2.05,2.08,47400
