,time,open,high,low,close,volume
0,2010-12-08,5.91,5.95,5.52,5.69,566700
1,2010-12-09,6.17,6.17,5.43,5.82,185600
2,2010-12-10,5.87,5.91,5.69,5.87,189600
3,2010-12-13,5.74,6.13,5.52,5.95,177600
4,2010-12-14,5.78,5.87,5.56,5.87,230100
5,2010-12-15,5.69,6.09,5.56,5.69,143500
6,2010-12-16,5.6,5.95,5.6,5.69,108400
7,2010-12-17,5.69,5.91,5.65,5.91,26500
8,2010-12-20,5.74,5.91,5.69,5.74,143600
9,2010-12-21,5.69,5.82,5.56,5.82,124100
10,2010-12-22,5.69,5.78,5.69,5.69,175600
11,2010-12-23,5.6,5.74,5.6,5.74,130700
12,2010-12-24,5.65,5.78,5.65,5.69,163200
13,2010-12-27,5.65,5.82,5.6,5.69,105600
14,2010-12-28,5.69,5.78,5.65,5.74,133300
15,2010-12-29,5.74,5.91,5.74,5.87,84400
16,2010-12-30,5.78,6.26,5.78,6.26,238900
17,2010-12-31,6.48,6.48,6.26,6.48,228300
18,2011-01-04,6.92,6.92,6.92,6.92,14600
19,2011-01-05,7.4,7.4,6.96,7.4,691600
20,2011-01-06,7.57,7.75,7.36,7.36,195600
21,2011-01-07,7.27,7.31,7.14,7.31,120100
22,2011-01-10,6.92,7.14,6.92,6.96,171300
23,2011-01-11,6.92,7.18,6.92,7.0,175800
24,2011-01-12,7.05,7.49,7.05,7.49,228700
25,2011-01-13,7.79,7.88,7.75,7.88,210300
26,2011-01-14,7.92,8.36,7.92,8.36,293500
27,2011-01-17,8.32,8.54,7.79,8.06,156600
28,2011-01-18,7.79,8.76,7.71,8.32,733000
29,2011-01-19,8.19,8.89,8.19,8.41,184100
30,2011-01-20,8.67,8.67,8.01,8.01,217800
31,2011-01-21,7.66,7.97,7.62,7.75,210600
32,2011-01-24,7.44,7.66,7.44,7.57,175900
33,2011-01-25,7.44,7.71,7.36,7.66,193800
34,2011-01-26,7.57,7.79,7.57,7.66,162200
35,2011-01-27,7.66,7.97,7.57,7.88,156100
36,2011-01-28,7.79,7.92,7.79,7.84,79900
37,2011-02-08,7.84,7.88,7.79,7.79,71700
38,2011-02-09,7.79,7.92,7.79,7.84,227300
39,2011-02-10,7.84,8.36,7.79,8.36,535200
40,2011-02-11,8.23,8.8,8.23,8.8,583400
41,2011-02-14,9.06,9.37,8.84,9.15,512200
42,2011-02-15,9.46,9.5,8.76,9.24,385000
