,time,open,high,low,close,volume
0,2013-11-15,1.2,1.2,1.2,1.2,10500
1,2013-11-18,1.3,1.3,1.3,1.3,11150
2,2013-11-19,1.4,1.4,1.4,1.4,1010
3,2013-11-20,1.5,1.5,1.5,1.5,300
4,2013-11-21,1.6,1.6,1.5,1.6,61700
5,2013-11-22,1.7,1.7,1.6,1.6,71710
6,2013-11-25,1.7,1.7,1.6,1.7,31300
7,2013-11-26,1.7,1.7,1.6,1.7,38000
8,2013-11-27,1.7,1.7,1.6,1.7,9180
9,2013-11-28,1.7,1.7,1.6,1.6,150000
10,2013-11-29,1.7,1.7,1.5,1.7,81500
11,2013-12-02,1.6,1.6,1.5,1.5,102100
12,2013-12-03,1.6,1.6,1.5,1.6,80400
13,2013-12-04,1.5,1.5,1.5,1.5,3800
14,2013-12-05,1.5,1.5,1.4,1.5,22100
15,2013-12-06,1.5,1.5,1.5,1.5,8900
16,2013-12-09,1.5,1.5,1.5,1.5,2000
17,2013-12-10,1.4,1.5,1.4,1.5,10500
18,2013-12-11,1.5,1.5,1.5,1.5,100
19,2013-12-12,1.6,1.6,1.4,1.5,27600
20,2013-12-13,1.5,1.5,1.4,1.5,15600
21,2013-12-16,1.5,1.6,1.5,1.6,11600
22,2013-12-17,1.6,1.6,1.5,1.6,28100
23,2013-12-18,1.6,1.6,1.5,1.6,23500
24,2013-12-19,1.5,1.6,1.5,1.6,20000
25,2013-12-20,1.4,1.5,1.4,1.5,35900
26,2013-12-23,1.5,1.5,1.4,1.5,55209
27,2013-12-24,1.5,1.5,1.4,1.5,54300
28,2013-12-25,1.5,1.5,1.5,1.5,54900
29,2013-12-26,1.5,1.6,1.5,1.6,10100
30,2013-12-27,1.5,1.6,1.5,1.6,31100
31,2013-12-30,1.5,1.5,1.4,1.5,40000
32,2013-12-31,1.4,1.6,1.4,1.6,31400
33,2014-01-02,1.5,1.6,1.5,1.6,20200
34,2014-01-03,1.5,1.5,1.5,1.5,7800
35,2014-01-06,1.5,1.6,1.5,1.6,10600
36,2014-01-07,1.6,1.6,1.6,1.6,43800
37,2014-01-08,1.6,1.6,1.6,1.6,16600
38,2014-01-09,1.6,1.7,1.6,1.7,39600
39,2014-01-10,1.7,1.7,1.6,1.7,35800
40,2014-01-13,1.8,1.8,1.8,1.8,18600
41,2014-01-14,1.9,1.9,1.7,1.7,53250
42,2014-01-15,2.0,2.0,2.0,2.0,36900
43,2014-01-16,2.2,2.2,2.2,2.2,50900
44,2014-01-17,2.4,2.4,2.2,2.2,16120
45,2014-01-20,2.1,2.1,2.1,2.1,27000
46,2014-01-21,1.9,1.9,1.9,1.9,11010
47,2014-01-22,1.8,1.8,1.8,1.8,21000
48,2014-01-23,1.7,1.9,1.7,1.9,35720
49,2014-01-24,1.8,1.8,1.6,1.8,21510
50,2014-01-27,1.7,1.7,1.7,1.7,7400
51,2014-02-06,1.8,1.8,1.8,1.8,2030
52,2014-02-07,1.9,1.9,1.7,1.9,75000
53,2014-02-10,1.9,1.9,1.7,1.9,44510
54,2014-02-11,1.8,1.8,1.8,1.8,36110
55,2014-02-12,1.8,1.9,1.8,1.9,40920
56,2014-02-13,1.8,1.9,1.7,1.8,55000
57,2014-02-14,1.6,1.7,1.6,1.7,40330
58,2014-02-17,1.6,1.7,1.6,1.7,113910
59,2014-02-18,1.7,1.7,1.7,1.7,9920
60,2014-02-19,1.8,1.8,1.7,1.8,30230
61,2014-02-20,1.6,1.8,1.6,1.7,6910
62,2014-02-21,1.7,1.8,1.6,1.8,1700
63,2014-02-24,1.8,1.8,1.7,1.7,10150
64,2014-02-25,1.7,1.7,1.7,1.7,19710
65,2014-02-26,1.7,1.8,1.7,1.8,31120
66,2014-02-27,1.8,1.9,1.8,1.8,19500
67,2014-02-28,1.7,1.8,1.7,1.7,14400
68,2014-03-03,1.8,1.8,1.7,1.8,5160
69,2014-03-04,1.7,1.8,1.7,1.7,12020
70,2014-03-05,1.8,1.8,1.7,1.8,12100
71,2014-03-06,1.7,1.8,1.7,1.7,53190
72,2014-03-07,1.7,1.7,1.7,1.7,4700
73,2014-03-10,1.8,1.8,1.7,1.7,14200
