,time,open,high,low,close,volume
0,2017-10-11,3.9,3.9,2.4,3.9,2200
1,2017-10-12,2.5,2.5,2.2,2.2,3000
2,2017-10-13,2.0,2.3,2.0,2.3,7100
3,2017-10-16,2.5,2.5,2.2,2.5,7000
4,2017-10-17,2.6,2.6,2.4,2.4,11700
5,2017-10-18,2.3,2.4,2.3,2.4,2600
6,2017-10-19,2.3,2.3,2.3,2.3,500
7,2017-10-20,2.0,2.1,2.0,2.1,2800
8,2017-10-23,2.0,2.1,2.0,2.1,4300
9,2017-10-24,2.1,2.1,2.0,2.1,4900
10,2017-10-25,2.1,2.3,2.1,2.3,7000
11,2017-10-26,2.1,2.3,2.1,2.3,3200
12,2017-10-27,2.1,2.1,1.8,2.0,10400
13,2017-10-30,2.0,2.0,2.0,2.0,4000
14,2017-10-31,2.1,2.1,2.1,2.1,2100
15,2017-11-01,2.1,2.4,2.1,2.4,7100
16,2017-11-02,2.1,2.1,2.0,2.1,3600
17,2017-11-03,2.1,2.4,2.1,2.4,1200
18,2017-11-06,2.1,2.1,2.1,2.1,10100
19,2017-11-07,2.1,2.1,2.1,2.1,6300
20,2017-11-08,1.8,2.3,1.8,2.1,9100
21,2017-11-09,2.1,2.3,2.1,2.2,7500
22,2017-11-10,2.2,2.2,2.2,2.2,2500
23,2017-11-13,1.9,2.2,1.9,2.2,6600
24,2017-11-14,2.1,2.1,2.1,2.1,1400
25,2017-11-15,2.2,2.2,2.2,2.2,1600
26,2017-11-16,2.2,2.2,2.2,2.2,400
27,2017-11-17,2.3,2.3,2.2,2.3,19600
28,2017-11-20,2.3,2.3,2.3,2.3,2900
29,2017-11-21,2.3,2.3,2.3,2.3,4700
30,2017-11-22,2.3,2.3,2.1,2.2,18700
31,2017-11-23,2.3,2.3,2.3,2.3,5000
32,2017-11-24,2.3,2.3,2.3,2.3,3500
33,2017-11-27,2.3,2.3,2.2,2.2,18400
34,2017-11-28,2.3,2.3,2.2,2.3,10600
35,2017-11-29,2.1,2.3,2.1,2.3,18500
36,2017-11-30,2.3,2.3,2.2,2.2,9900
37,2017-12-01,2.3,2.3,2.3,2.3,7000
38,2017-12-04,2.3,2.3,2.3,2.3,6500
39,2017-12-05,2.3,2.4,2.1,2.1,19100
40,2017-12-06,2.3,2.3,2.2,2.2,8000
41,2017-12-07,2.3,2.3,2.2,2.2,7200
42,2017-12-08,2.2,2.3,2.2,2.3,6000
43,2017-12-11,2.2,2.2,2.2,2.2,0
44,2017-12-12,2.2,2.3,2.2,2.3,8400
45,2017-12-13,2.2,2.3,2.2,2.3,1300
46,2017-12-14,2.4,2.4,2.4,2.4,2200
47,2017-12-15,2.3,2.4,2.3,2.4,3200
48,2017-12-18,2.4,2.4,2.4,2.4,2200
49,2017-12-19,2.3,2.4,2.3,2.3,6700
50,2017-12-20,2.3,2.3,2.2,2.3,14300
51,2017-12-21,2.2,2.2,2.2,2.2,4000
52,2017-12-22,2.2,2.2,2.2,2.2,2700
53,2017-12-25,2.3,2.3,2.3,2.3,500
54,2017-12-26,2.3,2.4,2.1,2.4,38400
55,2017-12-27,2.2,2.2,2.2,2.2,10700
56,2017-12-28,2.2,2.3,2.2,2.3,19400
57,2017-12-29,2.1,2.2,2.1,2.2,2900
58,2018-01-02,2.2,2.2,2.2,2.2,12100
59,2018-01-03,2.2,2.3,2.2,2.3,19500
60,2018-01-04,2.2,2.3,2.2,2.3,700
61,2018-01-05,2.3,2.3,2.3,2.3,5900
62,2018-01-08,2.3,2.3,2.3,2.3,0
63,2018-01-09,2.3,2.3,2.2,2.2,6500
64,2018-01-10,2.1,2.1,2.1,2.1,1600
65,2018-01-11,2.2,2.2,2.2,2.2,2800
66,2018-01-12,2.2,2.2,2.1,2.2,10300
67,2018-01-15,2.1,2.4,2.1,2.4,5500
68,2018-01-16,2.3,2.4,2.3,2.4,11500
69,2018-01-17,2.3,2.7,2.3,2.4,6800
70,2018-01-18,2.4,2.5,2.4,2.5,4000
71,2018-01-19,2.3,2.3,2.3,2.3,4700
72,2018-01-22,2.4,2.5,2.4,2.5,21800
73,2018-01-23,2.6,2.6,2.6,2.6,100
