,time,open,high,low,close,volume
0,2016-07-15,18.3,18.3,18.3,18.3,200
1,2016-07-18,21.0,21.0,21.0,21.0,100
2,2016-07-19,24.1,24.1,24.1,24.1,559200
3,2016-07-20,27.7,27.7,26.7,27.2,855754
4,2016-07-21,30.0,30.0,26.5,26.9,303500
5,2016-07-22,27.0,27.1,25.0,26.5,535895
6,2016-07-25,26.5,29.6,26.5,26.8,836400
7,2016-07-26,28.1,28.1,25.0,25.5,446910
8,2016-07-27,25.0,26.0,24.0,25.5,470000
9,2016-07-28,25.1,27.9,24.8,26.0,232045
10,2016-07-29,26.3,26.8,25.8,26.0,193509
11,2016-08-01,26.2,26.3,24.8,25.5,318100
12,2016-08-02,25.0,25.0,22.5,23.0,202100
13,2016-08-03,23.3,23.3,20.2,20.2,528000
14,2016-08-04,19.0,19.9,17.6,18.2,278204
15,2016-08-05,18.4,21.2,18.3,21.0,239500
16,2016-08-08,21.0,21.3,19.0,19.7,167700
17,2016-08-09,19.5,21.2,18.0,20.7,156900
18,2016-08-10,20.0,21.9,20.0,20.8,129700
19,2016-08-11,21.0,21.0,20.2,20.3,99100
20,2016-08-12,20.1,20.2,19.6,0.0,85734
21,2016-08-15,19.1,19.7,19.0,19.1,19900
22,2016-08-16,19.3,20.6,19.0,20.3,94400
23,2016-08-17,19.9,21.1,19.6,20.0,52700
24,2016-08-18,19.5,19.9,19.3,19.3,28534
25,2016-08-19,19.5,19.8,19.4,19.7,39000
26,2016-08-22,19.4,20.5,19.4,20.5,107100
27,2016-08-23,19.8,22.6,19.8,22.6,76000
28,2016-08-24,22.5,23.0,20.7,21.9,130800
29,2016-08-25,21.5,22.9,20.6,22.1,17350
30,2016-08-26,21.0,22.0,21.0,21.7,36900
31,2016-08-29,21.9,21.9,20.0,20.1,26800
32,2016-08-30,19.6,20.7,19.5,19.5,79616
33,2016-08-31,19.5,19.8,19.2,19.8,58500
34,2016-09-01,20.2,20.2,19.0,19.7,41400
35,2016-09-05,19.3,20.0,19.3,19.9,12600
36,2016-09-06,19.4,19.8,19.2,19.3,43100
37,2016-09-07,19.6,20.0,19.1,19.4,8000
38,2016-09-08,19.5,19.8,19.4,19.5,23000
39,2016-09-09,19.5,19.6,19.4,19.5,5244
40,2016-09-12,19.5,19.5,18.9,19.3,13400
41,2016-09-13,19.0,19.1,18.6,18.6,43000
42,2016-09-14,18.2,19.4,18.0,18.7,69100
43,2016-09-15,18.2,18.8,18.0,18.5,26110
