,time,open,high,low,close,volume
0,2010-04-08,18.55,18.55,18.55,18.55,26800
1,2010-04-09,19.42,19.42,19.33,19.42,87660
2,2010-04-12,20.39,20.39,20.29,20.39,74790
3,2010-04-13,21.36,21.36,21.36,21.36,67510
4,2010-04-14,22.42,22.42,22.32,22.42,68790
5,2010-04-15,22.81,22.81,21.36,21.36,38960
6,2010-04-16,20.29,20.29,20.29,20.29,26120
7,2010-04-19,19.33,19.33,19.33,19.33,15240
8,2010-04-20,18.36,19.33,18.36,19.13,95390
9,2010-04-21,18.65,19.33,18.65,19.23,21190
10,2010-04-22,19.52,19.52,18.84,19.04,27940
11,2010-04-26,18.84,18.84,18.36,18.36,24820
12,2010-04-27,18.17,18.36,17.49,17.59,92580
13,2010-04-28,17.69,17.69,17.11,17.2,29380
14,2010-04-29,16.91,17.98,16.91,17.98,68780
15,2010-05-04,18.65,18.84,18.36,18.84,18180
16,2010-05-05,18.84,18.94,18.07,18.07,35360
17,2010-05-06,18.36,18.94,18.36,18.94,94220
18,2010-05-07,18.84,18.94,18.07,18.55,45810
19,2010-05-10,18.94,18.94,17.69,17.69,27400
20,2010-05-11,18.55,18.55,17.69,18.17,22620
21,2010-05-12,17.59,17.69,17.3,17.3,19140
22,2010-05-13,16.72,17.88,16.72,17.88,16530
23,2010-05-14,18.07,18.07,17.01,17.01,6800
24,2010-05-17,17.49,17.49,16.43,17.4,6460
25,2010-05-18,16.53,17.4,16.53,16.53,9700
26,2010-05-19,15.75,16.24,15.75,16.24,35500
27,2010-05-20,15.46,15.95,15.46,15.46,9060
28,2010-05-21,14.69,15.75,14.69,14.69,13130
29,2010-05-24,14.01,14.98,14.01,14.01,6240
30,2010-05-25,14.01,14.69,13.53,14.5,10960
31,2010-05-26,14.69,15.08,14.21,14.21,14210
32,2010-05-27,14.21,14.5,13.53,13.53,30070
33,2010-05-28,14.21,14.21,14.11,14.21,19790
34,2010-05-31,14.88,14.88,14.69,14.88,29860
35,2010-06-01,15.46,15.46,14.98,15.27,3240
36,2010-06-02,14.59,15.46,14.59,15.27,7690
37,2010-06-03,14.88,15.46,14.59,15.27,60300
38,2010-06-04,14.69,15.27,14.59,14.88,49170
39,2010-06-07,14.3,14.88,14.21,14.69,10830
40,2010-06-08,14.5,15.17,14.3,15.17,17410
41,2010-06-09,15.08,15.08,14.5,14.5,23160
42,2010-06-10,13.92,14.69,13.92,14.5,12380
43,2010-06-11,14.79,14.79,14.4,14.79,11080
44,2010-06-14,15.08,15.08,14.79,14.88,700
45,2010-06-15,14.88,14.88,14.3,14.88,5880
46,2010-06-16,14.4,14.98,14.3,14.79,25990
47,2010-06-17,14.21,14.79,14.21,14.69,24780
48,2010-06-18,14.69,14.79,14.5,14.79,4530
49,2010-06-21,14.98,14.98,14.69,14.98,14920
50,2010-06-22,14.98,14.98,14.69,14.69,6210
51,2010-06-23,14.79,14.79,14.11,14.79,40560
52,2010-06-24,14.79,14.79,14.21,14.79,17710
53,2010-06-25,14.3,14.4,14.21,14.21,49030
54,2010-06-28,14.5,14.69,13.72,14.59,6640
55,2010-06-29,14.5,14.69,13.92,13.92,21780
56,2010-06-30,14.4,14.4,13.92,13.92,13400
57,2010-07-01,13.92,14.5,13.92,14.3,13570
58,2010-07-02,14.5,14.5,13.82,14.5,4940
59,2010-07-05,14.01,14.59,14.01,14.01,16650
60,2010-07-06,14.3,14.3,13.53,13.53,15100
61,2010-07-07,14.01,14.01,13.43,13.72,8590
62,2010-07-08,14.4,14.4,14.11,14.11,2160
63,2010-07-09,13.53,13.92,13.53,13.53,8960
64,2010-07-12,13.63,13.63,13.05,13.24,19120
65,2010-07-13,13.82,13.82,13.24,13.43,20430
66,2010-07-14,13.92,14.01,13.53,14.01,60900
67,2010-07-15,14.01,14.21,13.53,14.01,2980
68,2010-07-16,14.01,14.21,13.72,14.21,26220
69,2010-07-19,14.21,14.21,13.82,13.92,21900
70,2010-07-20,13.72,13.92,13.72,13.92,24950
71,2010-07-21,13.82,14.01,13.72,13.92,34870
72,2010-07-22,14.01,14.01,13.82,13.92,64410
73,2010-07-23,14.01,14.3,13.92,14.3,56840
74,2010-07-26,14.11,14.4,14.01,14.21,51440
75,2010-07-27,14.4,14.4,14.11,14.11,33840
76,2010-07-28,14.11,14.11,13.53,14.01,18860
77,2010-07-29,14.11,14.69,14.11,14.69,252630
78,2010-07-30,15.37,15.37,15.37,15.37,22170
79,2010-08-02,16.04,16.04,16.04,16.04,58670
80,2010-08-03,16.82,16.82,16.53,16.82,340350
81,2010-08-04,16.82,17.59,16.24,17.59,260960
82,2010-08-05,17.4,18.46,17.4,18.46,164370
83,2010-08-06,19.13,19.13,17.59,17.59,62870
84,2010-08-09,16.91,17.59,16.72,16.72,263800
85,2010-08-10,16.04,16.72,15.95,15.95,77300
86,2010-08-11,15.27,16.62,15.17,15.17,114660
87,2010-08-12,14.79,15.66,14.5,14.5,86810
88,2010-08-13,14.11,14.98,14.01,14.5,61160
89,2010-08-16,14.98,15.17,14.11,15.17,53590
90,2010-08-17,15.17,15.17,14.5,14.5,25740
91,2010-08-18,14.11,14.5,13.82,14.3,70920
92,2010-08-19,14.59,14.59,13.63,13.63,35450
93,2010-08-20,14.01,14.01,12.95,13.14,68300
94,2010-08-23,13.14,13.14,12.56,12.56,42510
95,2010-08-24,12.08,12.08,11.98,11.98,26460
96,2010-08-25,11.4,11.5,11.4,11.4,15360
97,2010-08-26,11.4,11.6,10.92,10.92,46820
98,2010-08-27,10.44,11.4,10.44,11.4,70120
99,2010-08-30,11.89,11.89,11.89,11.89,36170
100,2010-08-31,12.18,12.47,11.98,12.47,52210
101,2010-09-01,12.85,12.85,11.98,12.37,33970
102,2010-09-06,12.76,12.85,12.37,12.47,52050
103,2010-09-07,12.56,12.56,11.89,11.98,59480
104,2010-09-08,11.98,12.08,11.6,11.6,29940
105,2010-09-09,12.18,12.18,12.18,12.18,33790
106,2010-09-10,12.76,12.76,12.76,12.76,195990
107,2010-09-13,12.18,12.76,12.18,12.18,48380
108,2010-09-14,12.76,12.76,12.27,12.76,63030
109,2010-09-15,12.56,13.05,12.47,12.56,6090
110,2010-09-16,12.37,12.95,12.27,12.37,16660
111,2010-09-17,12.85,12.95,12.56,12.85,43820
112,2010-09-20,12.56,13.14,12.37,12.37,40170
113,2010-09-21,12.18,12.66,12.18,12.37,33980
114,2010-09-22,12.08,12.56,11.98,12.08,14920
115,2010-09-23,11.89,12.18,11.5,11.6,44100
116,2010-09-24,12.08,12.08,11.6,11.89,15050
117,2010-09-27,12.08,12.08,11.69,11.89,14900
118,2010-09-28,12.08,12.27,11.79,11.89,11360
119,2010-09-29,11.6,12.08,11.6,11.6,12010
120,2010-09-30,11.5,11.98,11.5,11.6,8710
121,2010-10-01,11.31,11.6,11.31,11.31,10690
122,2010-10-04,10.82,11.69,10.82,10.82,46680
123,2010-10-05,10.44,10.92,10.34,10.82,13900
124,2010-10-06,11.31,11.31,10.82,11.31,9710
125,2010-10-07,11.21,11.6,11.11,11.21,1470
126,2010-10-08,11.21,11.21,10.92,10.92,3720
127,2010-10-11,10.63,10.82,10.44,10.63,31250
128,2010-10-12,10.53,10.63,10.53,10.53,14760
129,2010-10-13,10.92,10.92,10.53,10.92,11410
130,2010-10-14,11.11,11.11,10.63,10.92,5600
131,2010-10-15,11.02,11.02,10.53,10.53,10840
132,2010-10-18,10.44,10.92,10.44,10.44,610
133,2010-10-19,10.24,10.82,10.15,10.24,13220
134,2010-10-20,9.86,9.95,9.76,9.76,16670
135,2010-10-21,10.24,10.24,9.76,10.05,10800
136,2010-10-22,9.95,9.95,9.95,9.95,2100
137,2010-10-25,10.15,10.24,9.86,10.15,1380
138,2010-10-26,10.44,10.44,9.95,10.34,19250
139,2010-10-27,10.44,10.44,9.95,10.15,2190
140,2010-10-28,9.95,10.15,9.86,10.15,14540
141,2010-10-29,9.95,10.24,9.95,10.15,2030
142,2010-11-01,10.15,10.15,9.95,10.15,2430
143,2010-11-02,10.24,10.24,9.95,10.24,3120
144,2010-11-03,9.86,10.15,9.76,10.15,19870
145,2010-11-04,9.95,10.05,9.86,9.95,1740
146,2010-11-05,10.05,10.05,9.86,10.05,2950
147,2010-11-08,10.05,10.05,9.57,10.05,28080
148,2010-11-09,9.66,10.05,9.57,9.57,16160
149,2010-11-10,9.66,9.66,9.57,9.66,1140
150,2010-11-11,9.86,9.86,9.28,9.86,7110
151,2010-11-12,9.37,9.37,9.37,9.37,29840
152,2010-11-15,9.18,9.66,8.99,9.47,4970
153,2010-11-16,9.18,9.47,9.08,9.18,20630
154,2010-11-17,9.37,9.37,9.37,9.37,1030
155,2010-11-18,9.18,9.57,9.18,9.18,4490
156,2010-11-19,8.79,9.37,8.79,8.79,9970
157,2010-11-22,8.7,8.79,8.41,8.7,8270
158,2010-11-23,8.31,8.7,8.31,8.31,13930
159,2010-11-24,7.92,8.21,7.92,7.92,11420
160,2010-11-25,7.83,8.31,7.83,8.31,19730
161,2010-11-26,8.6,8.6,8.21,8.31,22050
162,2010-11-29,8.5,8.6,8.31,8.5,19210
163,2010-11-30,8.89,8.89,8.7,8.79,13620
164,2010-12-01,9.08,9.18,8.79,9.08,14840
165,2010-12-02,9.08,9.47,9.08,9.28,20690
166,2010-12-03,9.47,9.66,9.47,9.66,35940
167,2010-12-06,10.05,10.15,9.66,10.15,35960
168,2010-12-07,9.66,10.34,9.66,9.66,13180
169,2010-12-08,9.28,9.95,9.18,9.18,9740
170,2010-12-09,9.28,9.37,8.79,9.28,5660
171,2010-12-10,9.57,9.57,9.18,9.47,13380
172,2010-12-13,9.86,9.86,9.37,9.66,14940
173,2010-12-14,9.28,9.57,9.18,9.18,26000
174,2010-12-15,8.89,9.47,8.89,9.18,18180
175,2010-12-16,8.79,9.18,8.79,8.79,6930
176,2010-12-17,8.41,9.18,8.41,8.89,4250
177,2010-12-20,9.08,9.08,8.99,8.99,1850
178,2010-12-21,8.99,9.18,8.6,8.99,21240
179,2010-12-22,8.7,9.18,8.7,8.7,2010
180,2010-12-23,9.08,9.08,8.7,9.08,1380
181,2010-12-24,8.7,8.99,8.7,8.7,12380
182,2010-12-27,8.7,8.7,8.5,8.7,10690
183,2010-12-28,8.7,8.89,8.79,8.89,8280
184,2010-12-29,8.89,8.89,8.6,8.89,2990
185,2010-12-30,8.89,8.99,8.5,8.5,6040
186,2010-12-31,8.5,8.79,8.41,8.41,4800
187,2011-01-04,8.79,8.79,8.7,8.7,600
188,2011-01-05,8.7,8.7,8.41,8.41,12340
