,time,open,high,low,close,volume
0,2009-08-17,4.62,4.62,4.62,4.62,46280
1,2009-08-18,4.62,4.62,4.44,4.44,13900
2,2009-08-19,4.27,4.59,4.22,4.22,42590
3,2009-08-20,4.37,4.43,4.22,4.43,18730
4,2009-08-21,4.59,4.59,4.37,4.37,13270
5,2009-08-24,4.43,4.43,4.28,4.28,5070
6,2009-08-25,4.24,4.3,4.07,4.3,15820
7,2009-08-26,4.3,4.3,4.09,4.15,7230
8,2009-08-27,4.15,4.21,4.13,4.15,9620
9,2009-08-28,4.21,4.25,4.21,4.24,18140
10,2009-08-31,4.3,4.33,4.18,4.3,36470
11,2009-09-01,4.37,4.41,4.15,4.37,28460
12,2009-09-03,4.37,4.37,4.16,4.37,9020
13,2009-09-04,4.22,4.37,4.22,4.22,12630
14,2009-09-07,4.3,4.3,4.15,4.3,13320
15,2009-09-08,4.3,4.31,4.19,4.3,19310
16,2009-09-09,4.41,4.47,4.21,4.41,50130
17,2009-09-10,4.5,4.56,4.41,4.5,20860
18,2009-09-11,4.71,4.73,4.7,4.71,51910
19,2009-09-14,4.93,4.93,4.71,4.93,39060
20,2009-09-15,5.04,5.04,4.78,5.02,28760
21,2009-09-16,4.8,5.02,4.78,4.78,10820
22,2009-09-17,4.62,4.77,4.62,4.77,16500
23,2009-09-18,4.92,4.92,4.53,4.77,18490
24,2009-09-21,4.58,4.77,4.55,4.58,32790
25,2009-09-22,4.58,4.58,4.36,4.58,21050
26,2009-09-23,4.58,4.58,4.58,4.58,7610
27,2009-09-24,4.47,4.59,4.47,4.47,3620
28,2009-09-25,4.62,4.62,4.47,4.47,17010
29,2009-09-28,4.44,4.52,4.34,4.34,13900
30,2009-09-29,4.44,4.47,4.33,4.44,19340
31,2009-09-30,4.52,4.52,4.44,4.46,7120
32,2009-10-01,4.34,4.44,4.34,4.37,9820
33,2009-10-02,4.25,4.37,4.22,4.3,11750
34,2009-10-05,4.3,4.3,4.22,4.3,6350
35,2009-10-06,4.25,4.44,4.25,4.43,4360
36,2009-10-07,4.3,4.44,4.3,4.44,21610
37,2009-10-08,4.37,4.43,4.37,4.37,8200
38,2009-10-09,4.41,4.41,4.37,4.38,9010
39,2009-10-12,4.37,4.44,4.37,4.44,24210
40,2009-10-13,4.44,4.44,4.36,4.44,16350
41,2009-10-14,4.44,4.46,4.44,4.44,21010
42,2009-10-15,4.44,4.59,4.44,4.52,50960
43,2009-10-16,4.59,4.59,4.5,4.55,27010
44,2009-10-19,4.55,4.59,4.55,4.59,19290
