,time,open,high,low,close,volume
0,2015-08-18,2.8,2.8,2.8,2.8,2300
1,2015-08-19,3.2,3.2,3.2,3.2,5100
2,2015-08-20,3.6,3.6,3.6,3.6,12100
3,2015-08-21,4.1,4.1,4.1,4.1,20800
4,2015-08-24,4.6,4.6,4.3,4.3,400
5,2015-08-25,4.3,4.3,4.3,4.3,100
6,2015-08-26,3.7,3.7,3.7,3.7,6000
7,2015-08-27,3.2,3.2,3.2,3.2,100
8,2015-08-28,2.8,2.8,2.8,2.8,4500
9,2015-08-31,2.4,2.4,2.4,2.4,12300
10,2015-09-01,2.1,2.4,2.1,2.1,84300
11,2015-09-03,2.4,2.4,2.0,2.4,9300
12,2015-09-04,2.4,2.4,2.3,2.4,7800
13,2015-09-07,2.5,2.6,2.5,2.6,52000
14,2015-09-08,2.9,2.9,2.5,2.9,20900
15,2015-09-09,2.5,3.3,2.5,3.3,38000
16,2015-09-10,3.1,3.5,3.1,3.5,5700
17,2015-09-11,2.9,2.9,2.9,2.9,32100
18,2015-09-14,3.0,3.2,2.5,2.5,18400
19,2015-09-15,2.9,2.9,2.5,2.5,700
20,2015-09-16,2.4,2.4,2.3,2.4,15700
21,2015-09-17,2.6,2.6,2.6,2.6,100
22,2015-09-18,2.8,2.8,2.4,2.7,11800
23,2015-09-21,2.4,2.7,2.4,2.7,2800
24,2015-09-22,2.7,2.7,2.3,2.3,2400
25,2015-09-23,2.6,2.6,2.2,2.2,8100
26,2015-09-24,2.5,2.5,2.4,2.5,4200
27,2015-09-25,2.7,2.7,2.7,2.7,100
28,2015-09-28,2.8,2.8,2.7,2.7,800
29,2015-09-29,2.6,2.6,2.6,2.6,16000
30,2015-09-30,2.4,2.4,2.4,2.4,7500
31,2015-10-01,2.6,2.6,2.6,2.6,100
32,2015-10-02,2.5,2.9,2.3,2.3,6600
33,2015-10-05,2.7,2.7,2.7,2.7,100
34,2015-10-06,2.8,2.8,2.3,2.3,7200
35,2015-10-07,2.4,2.4,2.4,2.4,7000
36,2015-10-08,2.3,2.6,2.3,2.3,1300
37,2015-10-09,2.3,2.3,2.2,2.2,5000
38,2015-10-12,2.5,2.5,2.5,2.5,300
39,2015-10-13,2.3,2.5,2.2,2.5,35200
40,2015-10-14,2.2,2.2,2.2,2.2,5000
41,2015-10-15,2.3,2.4,2.3,2.4,400
42,2015-10-16,2.5,2.5,2.5,2.5,700
43,2015-10-19,2.5,2.5,2.5,2.5,0
44,2015-10-20,2.5,2.5,2.5,2.5,0
45,2015-10-21,2.6,2.6,2.3,2.3,300
46,2015-10-22,2.3,2.3,2.3,2.3,2000
47,2015-10-23,2.3,2.3,2.3,2.3,0
48,2015-10-26,2.5,2.6,2.5,2.6,3500
49,2015-10-27,2.6,2.6,2.6,2.6,100
50,2015-10-28,2.8,2.8,2.4,2.4,1400
51,2015-10-29,2.4,2.7,2.4,2.4,4400
52,2015-10-30,2.3,2.3,2.3,2.3,500
53,2015-11-02,2.5,2.5,2.5,2.5,9600
54,2015-11-03,2.6,2.6,2.4,2.4,21100
55,2015-11-04,2.3,2.7,2.3,2.6,1600
56,2015-11-05,2.6,2.6,2.4,2.4,1300
57,2015-11-06,2.6,2.6,2.6,2.6,16400
58,2015-11-09,2.5,2.6,2.5,2.5,3300
59,2015-11-10,2.3,2.3,2.3,2.3,1000
60,2015-11-11,2.5,2.5,2.5,2.5,300
61,2015-11-12,2.4,2.5,2.2,2.5,14400
62,2015-11-13,2.5,2.5,2.5,2.5,0
63,2015-11-16,2.5,2.6,2.5,2.6,4700
64,2015-11-17,2.7,2.8,2.7,2.8,26700
65,2015-11-18,3.1,3.2,3.1,3.2,63200
66,2015-11-19,3.6,3.6,3.6,3.6,33700
67,2015-11-20,4.0,4.1,4.0,4.1,7200
68,2015-11-23,4.7,4.7,3.7,4.5,98100
69,2015-11-24,3.9,4.8,3.9,4.7,70300
70,2015-11-25,4.3,5.0,4.3,4.8,50100
71,2015-11-26,4.6,5.3,4.6,5.0,70800
72,2015-11-27,5.2,5.7,5.2,5.4,40900
73,2015-11-30,5.7,6.3,5.7,5.8,86500
74,2015-12-01,6.4,6.5,6.0,6.1,13700
75,2015-12-02,6.0,6.9,6.0,6.4,29000
76,2015-12-03,6.3,6.3,5.6,5.7,20200
77,2015-12-04,5.9,5.9,5.1,5.1,4700
78,2015-12-07,4.5,4.6,4.5,4.5,38700
79,2015-12-08,4.0,4.5,3.9,4.5,22500
80,2015-12-09,4.4,4.4,4.4,4.4,400
81,2015-12-10,4.0,4.0,3.9,3.9,10100
82,2015-12-11,3.9,4.4,3.9,4.4,3500
83,2015-12-14,4.0,4.0,4.0,4.0,32200
84,2015-12-15,4.0,4.5,4.0,4.5,200
85,2015-12-16,3.9,4.5,3.8,4.3,10900
86,2015-12-17,4.3,4.7,4.3,4.7,34900
87,2015-12-18,5.0,5.1,4.6,5.1,15700
88,2015-12-21,5.3,5.5,5.0,5.1,39800
89,2015-12-22,5.2,5.2,4.9,5.0,29800
90,2015-12-23,5.0,5.0,5.0,5.0,0
91,2015-12-24,4.3,4.4,4.3,4.3,16600
92,2015-12-25,3.9,4.5,3.9,4.5,1800
93,2015-12-28,4.4,4.4,4.1,4.3,5300
94,2015-12-29,4.4,4.7,4.4,4.4,24900
95,2015-12-30,4.7,5.1,4.7,4.8,55200
96,2015-12-31,5.5,5.5,5.5,5.5,100
97,2016-01-04,4.9,5.0,4.9,5.0,10600
98,2016-01-05,5.1,5.1,5.1,5.1,500
99,2016-01-06,4.4,4.9,4.4,4.8,600
100,2016-01-07,4.2,4.2,4.0,4.1,23800
101,2016-01-08,4.5,4.7,4.5,4.7,3000
102,2016-01-11,4.0,4.4,4.0,4.3,9800
103,2016-01-12,4.8,4.8,4.6,4.7,14500
104,2016-01-13,5.0,5.0,4.9,4.9,6000
105,2016-01-14,4.9,4.9,4.4,4.5,5000
106,2016-01-15,4.5,4.5,4.5,4.5,25300
107,2016-01-18,4.2,4.3,4.0,4.1,14000
108,2016-01-19,4.1,4.1,4.1,4.1,0
109,2016-01-20,4.2,4.4,4.1,4.4,5800
110,2016-01-21,4.4,4.5,4.4,4.5,300
111,2016-01-22,4.5,4.5,4.5,4.5,0
112,2016-01-25,4.1,4.1,4.1,4.1,1000
113,2016-01-26,4.0,4.0,3.8,3.8,15600
114,2016-01-27,4.0,4.0,3.6,3.6,48000
115,2016-01-28,4.0,4.0,4.0,4.0,100
116,2016-01-29,3.6,3.6,3.6,3.6,1900
117,2016-02-01,3.8,3.9,3.7,3.7,75400
118,2016-02-02,3.8,3.9,3.8,3.8,15900
119,2016-02-03,3.9,3.9,3.8,3.8,14600
120,2016-02-04,3.9,3.9,3.4,3.8,17400
121,2016-02-05,3.7,3.7,3.7,3.7,1100
122,2016-02-15,3.8,4.2,3.8,4.2,35000
123,2016-02-16,4.7,4.7,4.5,4.7,37200
124,2016-02-17,5.4,5.4,4.8,4.8,48800
125,2016-02-18,4.8,4.8,4.7,4.8,35600
126,2016-02-19,4.8,5.4,4.7,4.9,95800
127,2016-02-22,5.3,5.3,4.7,4.7,4600
128,2016-02-23,4.9,4.9,4.1,4.5,22800
129,2016-02-24,4.1,4.7,4.0,4.5,7800
130,2016-02-25,4.2,4.6,4.2,4.5,8700
131,2016-02-26,4.5,4.5,4.4,4.4,4800
132,2016-02-29,4.3,4.3,4.2,4.3,10500
133,2016-03-01,4.5,4.5,4.2,4.5,18000
134,2016-03-02,4.4,4.7,4.3,4.5,9100
135,2016-03-03,4.5,4.5,4.5,4.5,0
136,2016-03-04,4.3,4.3,4.2,4.3,5400
137,2016-03-07,4.3,4.4,4.2,4.4,23000
138,2016-03-08,4.3,4.6,4.3,4.6,22600
139,2016-03-09,4.6,4.6,4.3,4.3,20800
140,2016-03-10,4.3,4.3,4.1,4.3,35500
141,2016-03-11,4.4,4.8,4.4,4.8,51100
142,2016-03-14,5.4,5.4,5.0,5.4,90000
143,2016-03-15,6.1,6.2,5.7,6.2,316465
144,2016-03-16,6.1,6.1,5.4,5.5,48900
145,2016-03-17,5.5,6.3,5.4,5.7,147600
146,2016-03-18,5.4,5.8,5.3,5.4,51300
147,2016-03-21,5.3,5.3,5.0,5.3,73900
148,2016-03-22,5.0,5.8,5.0,5.7,256500
149,2016-03-23,5.8,6.2,5.7,6.2,162930
150,2016-03-24,6.8,7.0,6.8,7.0,211315
151,2016-03-25,7.5,8.0,7.0,8.0,433100
152,2016-03-28,8.4,8.6,8.4,8.6,102100
153,2016-03-29,9.8,9.8,9.8,9.8,85400
154,2016-03-30,11.2,11.2,9.8,10.1,628430
155,2016-03-31,10.7,10.7,9.3,9.3,96815
156,2016-04-01,8.0,8.3,8.0,8.0,82200
157,2016-04-04,6.8,7.5,6.8,6.8,176900
158,2016-04-05,5.9,7.9,5.9,7.9,130300
159,2016-04-06,7.8,8.3,7.8,8.0,56900
160,2016-04-07,8.3,8.3,7.2,7.2,156500
161,2016-04-08,7.5,7.7,7.2,7.4,92400
162,2016-04-11,7.7,8.0,7.2,7.7,134500
163,2016-04-12,7.2,8.0,7.1,7.7,206200
164,2016-04-13,7.4,7.6,7.0,7.2,77100
165,2016-04-14,7.1,7.4,6.8,6.9,152300
166,2016-04-15,6.8,7.0,6.5,6.7,139900
167,2016-04-19,6.7,7.0,6.5,6.6,25420
