,time,open,high,low,close,volume
0,2006-03-13,4.47,5.19,4.34,4.84,6000
1,2006-03-15,5.32,5.32,5.12,5.25,12300
2,2006-03-17,5.58,5.58,5.38,5.55,9800
3,2006-03-20,5.64,5.9,5.64,5.76,23400
4,2006-03-22,5.96,5.96,5.77,5.86,11900
5,2006-03-24,5.95,6.09,5.8,5.9,17000
6,2006-03-27,5.86,5.86,5.82,5.85,3800
7,2006-03-29,5.83,5.83,5.32,5.73,18100
8,2006-03-31,5.77,5.77,5.19,,7600
9,2006-04-03,5.06,5.51,5.06,5.33,16300
10,2006-04-05,5.06,5.19,4.99,5.07,14300
11,2006-04-07,5.25,5.25,5.02,5.1,13700
12,2006-04-10,5.12,5.12,5.06,5.08,1500
13,2006-04-12,5.06,5.06,4.99,5.04,7800
14,2006-04-14,4.99,5.07,4.99,5.03,6000
15,2006-04-17,5.06,5.52,5.06,5.11,11800
16,2006-04-19,5.51,5.61,5.51,5.6,15900
17,2006-04-21,6.16,6.16,5.78,6.0,21300
18,2006-04-24,6.48,6.55,6.16,6.37,14400
19,2006-04-26,6.74,7.0,6.48,6.69,19500
20,2006-04-28,6.03,7.33,6.03,6.83,14400
21,2006-05-03,6.81,6.81,6.61,6.74,6600
22,2006-05-05,6.64,6.74,6.48,6.61,6300
23,2006-05-08,6.09,6.22,6.09,6.15,12100
24,2006-05-10,5.96,5.96,5.54,5.69,4000
25,2006-05-12,5.83,6.25,5.83,5.99,13100
26,2006-05-15,6.48,6.55,6.42,6.47,9100
27,2006-05-17,6.48,6.48,5.96,6.25,5100
28,2006-05-19,6.09,6.09,5.86,5.95,1500
29,2006-05-22,5.96,5.96,5.51,5.65,2600
30,2006-05-24,5.83,5.83,5.64,5.65,1800
31,2006-05-26,5.51,5.58,5.25,5.38,4600
32,2006-05-29,5.25,5.25,5.12,5.15,3300
33,2006-05-31,5.38,5.38,4.99,5.24,3900
34,2006-06-01,5.38,5.45,5.38,5.42,3500
35,2006-06-02,5.32,5.32,5.32,5.32,3000
36,2006-06-05,5.32,5.32,5.29,5.29,1500
37,2006-06-06,5.32,5.32,5.25,5.32,4100
38,2006-06-07,5.32,5.32,5.29,5.29,2000
39,2006-06-08,5.32,5.32,5.32,5.29,1100
40,2006-06-09,5.32,5.32,5.32,5.32,600
41,2006-06-12,5.32,5.32,5.32,5.32,0
42,2006-06-13,5.25,5.25,5.25,5.25,1500
43,2006-06-14,4.78,4.78,4.78,4.78,1800
44,2006-06-15,5.19,5.19,5.19,5.19,1000
45,2006-06-16,5.19,5.19,5.19,5.19,100
46,2006-06-19,5.19,5.19,5.19,5.19,0
47,2006-06-20,4.93,4.93,4.93,4.93,600
48,2006-06-21,4.93,4.93,4.93,4.93,0
49,2006-06-22,5.19,5.19,5.19,5.19,200
50,2006-06-23,5.19,5.19,5.19,5.19,0
51,2006-06-26,5.19,5.19,5.19,5.19,200
52,2006-06-27,5.06,5.06,5.06,5.06,2000
53,2006-06-28,5.06,5.06,5.06,5.06,0
54,2006-06-29,5.06,5.06,5.06,5.06,0
55,2006-06-30,4.55,5.11,4.55,5.06,300
56,2006-07-03,5.06,5.06,5.06,5.08,200
57,2006-07-04,5.07,5.08,5.07,5.08,300
58,2006-07-05,5.08,5.08,5.08,5.08,0
59,2006-07-06,5.08,5.08,5.08,5.08,0
60,2006-07-07,5.07,5.07,5.07,5.07,100
61,2006-07-10,5.07,5.07,5.07,5.07,100
62,2006-07-11,4.93,5.06,4.93,5.07,1400
63,2006-07-12,5.07,5.07,5.07,5.07,0
64,2006-07-13,4.93,4.93,4.93,4.67,500
65,2006-07-14,4.67,4.67,4.67,4.67,2000
66,2006-07-17,4.6,4.62,4.6,4.62,5100
67,2006-07-18,4.54,4.6,4.54,4.54,2800
68,2006-07-19,4.41,4.41,4.15,4.15,3500
69,2006-07-20,3.89,3.95,3.82,3.95,2300
70,2006-07-21,4.28,4.28,4.02,4.15,600
71,2006-07-24,3.82,4.01,3.77,3.77,3300
72,2006-07-25,3.77,3.77,3.77,3.77,0
73,2006-07-26,3.89,3.89,3.76,3.76,500
74,2006-07-27,3.76,3.76,3.76,3.76,0
75,2006-07-28,3.89,3.89,3.82,3.82,1400
76,2006-07-31,3.89,3.89,3.76,3.76,600
77,2006-08-01,3.76,3.76,3.71,3.71,2000
78,2006-08-02,3.7,3.7,3.5,3.51,2700
79,2006-08-03,3.53,3.8,3.53,3.8,1900
80,2006-08-04,3.7,3.89,3.7,3.89,5400
81,2006-08-07,3.82,3.95,3.82,3.95,1400
82,2006-08-08,3.89,3.95,3.89,3.95,1200
83,2006-08-09,4.02,4.02,4.02,4.02,100
84,2006-08-10,4.02,4.02,4.02,4.02,0
85,2006-08-11,4.02,4.02,4.02,4.02,200
86,2006-08-14,4.41,4.42,4.41,4.42,1200
87,2006-08-15,4.42,4.42,4.42,4.42,0
88,2006-08-16,4.42,4.42,4.42,4.42,300
89,2006-08-17,4.86,4.86,4.67,4.67,1200
90,2006-08-18,4.8,4.8,4.8,4.8,500
91,2006-08-21,4.67,4.67,4.67,4.67,100
92,2006-08-22,4.67,4.67,4.67,4.67,0
93,2006-08-23,4.2,4.28,4.2,4.28,800
94,2006-08-24,4.28,4.28,4.28,4.28,0
95,2006-08-25,4.28,4.28,4.28,4.28,800
96,2006-08-28,4.28,4.28,4.28,4.28,0
97,2006-08-29,4.28,4.28,4.28,4.28,0
98,2006-08-30,4.28,4.28,4.28,4.28,0
99,2006-08-31,4.28,4.28,4.24,4.24,200
100,2006-09-01,4.25,4.3,4.25,4.3,1400
101,2006-09-05,4.6,4.6,4.6,4.6,100
102,2006-09-06,4.54,4.54,4.54,4.54,200
103,2006-09-07,4.47,4.47,4.47,4.47,1800
104,2006-09-08,4.29,4.47,4.29,4.47,700
105,2006-09-11,4.54,4.54,4.54,4.54,800
106,2006-09-12,4.54,4.54,4.54,4.54,200
107,2006-09-13,4.54,4.54,4.54,4.54,100
108,2006-09-14,4.54,4.54,4.54,4.54,0
109,2006-09-15,4.54,4.54,4.54,4.54,0
110,2006-09-18,4.54,4.54,4.54,4.54,0
111,2006-09-19,4.28,4.5,4.28,4.49,1200
112,2006-09-20,4.5,4.5,4.5,4.5,1500
113,2006-09-21,4.5,4.5,4.47,4.47,400
114,2006-09-22,4.41,4.41,4.41,4.41,800
115,2006-09-25,4.41,4.41,4.41,4.41,0
116,2006-09-26,4.41,4.54,4.41,4.54,4900
117,2006-09-27,4.42,4.47,4.41,4.47,1200
118,2006-09-28,4.46,4.47,4.46,4.47,15000
119,2006-09-29,4.47,4.49,4.47,4.47,3100
120,2006-10-02,4.47,4.47,4.47,4.47,0
121,2006-10-03,4.41,4.5,4.41,4.5,1500
122,2006-10-04,4.47,4.54,4.47,4.54,3100
123,2006-10-05,4.54,4.56,4.47,4.56,3700
124,2006-10-06,4.51,4.56,4.51,4.56,2000
125,2006-10-09,4.56,4.56,4.56,4.56,100
126,2006-10-10,4.56,4.56,4.56,4.56,0
127,2006-10-11,4.56,4.56,4.56,4.56,0
128,2006-10-12,4.54,4.56,4.54,4.56,5600
129,2006-10-13,4.55,4.56,4.55,4.56,4300
130,2006-10-16,4.54,4.54,4.54,4.54,100
131,2006-10-17,4.54,4.56,4.54,4.56,2300
132,2006-10-18,4.56,4.56,4.56,4.56,0
133,2006-10-19,4.6,4.6,4.54,4.55,2100
134,2006-10-20,4.54,4.54,4.54,4.54,100
135,2006-10-23,4.54,4.54,4.54,4.54,100
136,2006-10-24,4.54,4.54,4.54,4.54,100
137,2006-10-25,4.54,4.56,4.41,4.56,2500
138,2006-10-26,4.51,4.51,4.51,4.51,300
139,2006-10-27,4.51,4.54,4.51,4.54,4700
140,2006-10-30,4.51,4.54,4.51,4.54,12100
141,2006-10-31,4.54,4.54,4.54,4.54,0
142,2006-11-01,4.51,4.51,4.51,4.51,1100
143,2006-11-02,4.51,4.51,4.51,4.51,200
144,2006-11-03,4.47,4.47,4.47,4.47,1000
145,2006-11-06,4.47,4.47,4.47,4.47,0
146,2006-11-07,4.47,4.47,4.47,4.47,0
147,2006-11-08,4.54,4.55,4.54,4.55,900
148,2006-11-09,4.56,4.56,4.56,4.56,200
149,2006-11-10,4.54,4.54,4.54,4.54,200
150,2006-11-13,4.54,4.54,4.54,4.54,300
151,2006-11-14,4.54,4.54,4.54,4.54,300
152,2006-11-15,4.5,4.6,4.5,4.6,400
153,2006-11-16,4.54,4.54,4.54,4.54,200
154,2006-11-17,4.54,4.58,4.54,4.58,2300
155,2006-11-20,4.54,4.62,4.54,4.62,3100
156,2006-11-21,4.6,4.6,4.6,4.6,1100
157,2006-11-22,4.62,4.62,4.62,4.62,100
158,2006-11-23,4.63,4.86,4.63,4.64,2100
159,2006-11-24,4.86,4.86,4.86,4.86,800
160,2006-11-27,5.25,5.25,4.86,4.99,3200
161,2006-11-28,4.99,4.99,4.98,4.99,1200
162,2006-11-29,5.0,5.06,4.86,4.86,1300
163,2006-11-30,4.9,4.9,4.86,4.86,400
164,2006-12-01,4.93,4.93,4.93,4.93,200
165,2006-12-04,4.93,4.93,4.93,4.93,200
166,2006-12-05,4.91,4.93,4.77,4.77,5200
167,2006-12-06,4.77,4.77,4.77,4.77,0
168,2006-12-07,4.8,4.86,4.8,4.86,2000
169,2006-12-08,4.8,4.86,4.8,4.86,300
170,2006-12-11,4.82,4.86,4.82,4.86,5100
171,2006-12-12,5.06,5.06,4.8,4.8,1800
172,2006-12-13,4.93,5.32,4.9,4.93,6600
173,2006-12-14,5.73,5.73,5.32,5.73,9100
174,2006-12-15,5.7,6.28,5.7,6.48,7800
175,2006-12-18,6.61,6.61,6.48,6.48,3900
176,2006-12-19,7.2,7.2,6.61,6.48,5700
177,2006-12-20,7.2,7.46,6.61,6.61,10700
178,2006-12-21,7.79,7.79,6.61,6.61,8200
179,2006-12-22,6.46,6.46,6.46,6.46,600
180,2006-12-25,5.82,5.96,5.82,5.96,2200
181,2006-12-26,5.86,5.86,5.86,5.86,1100
182,2006-12-27,5.96,5.99,5.96,5.99,1300
183,2006-12-28,6.12,6.22,6.12,5.99,3000
184,2006-12-29,6.55,6.55,5.96,6.09,13800
185,2007-01-02,6.29,6.78,6.29,6.09,8300
186,2007-01-03,7.07,7.23,6.61,7.23,19300
187,2007-01-04,7.74,7.74,7.14,7.26,16200
188,2007-01-05,8.04,8.39,8.04,8.39,22800
189,2007-01-08,9.18,9.18,8.43,9.18,22900
190,2007-01-09,10.0,10.0,9.98,10.0,32400
191,2007-01-10,10.99,10.99,10.99,10.99,15000
192,2007-01-11,12.08,12.08,11.15,12.08,33100
193,2007-01-12,13.22,13.24,13.1,13.22,32000
194,2007-01-15,14.55,14.55,12.97,14.13,16400
195,2007-01-16,14.13,14.2,13.35,13.48,15700
196,2007-01-17,13.48,13.87,12.97,12.97,33100
197,2007-01-18,12.97,12.97,12.05,12.05,5300
198,2007-01-19,10.92,13.33,10.92,11.73,9500
199,2007-01-22,11.67,12.6,11.28,11.73,53400
200,2007-01-23,12.45,12.73,12.32,12.45,32300
201,2007-01-24,12.38,12.45,12.3,12.3,5600
202,2007-01-25,11.67,11.93,11.67,11.92,1000
203,2007-01-26,11.6,11.66,11.54,11.66,2200
204,2007-01-29,11.6,11.67,11.28,11.67,3500
205,2007-01-30,11.93,11.93,11.6,11.7,10900
206,2007-01-31,12.06,12.19,11.77,12.06,17900
207,2007-02-01,12.45,12.45,12.06,12.19,13200
208,2007-02-02,12.97,12.97,11.93,12.19,5200
209,2007-02-05,12.45,13.41,12.32,12.32,4300
210,2007-02-06,12.32,12.32,11.73,11.73,2800
211,2007-02-07,12.45,12.45,11.67,11.93,3900
212,2007-02-08,12.19,12.19,11.93,11.93,1300
213,2007-02-09,11.93,11.93,11.93,11.93,0
214,2007-02-12,11.93,12.06,10.85,10.85,3800
215,2007-02-13,12.23,12.23,11.03,11.93,10100
216,2007-02-14,12.32,12.32,11.67,11.93,8900
217,2007-02-15,12.58,12.58,11.67,11.67,7400
218,2007-02-26,11.8,11.8,11.6,11.67,13300
219,2007-02-27,11.54,12.58,11.54,12.05,30200
220,2007-02-28,12.34,13.1,11.92,12.32,10000
221,2007-03-01,12.32,12.51,12.28,12.28,3900
222,2007-03-02,12.3,12.3,12.06,12.28,900
223,2007-03-05,12.19,12.2,10.9,11.86,3900
224,2007-03-06,12.25,12.84,11.28,11.86,11200
225,2007-03-07,12.06,12.32,11.54,11.54,9600
226,2007-03-08,11.93,12.06,11.67,11.8,7700
227,2007-03-09,12.19,12.19,11.63,11.67,7400
228,2007-03-12,11.73,12.06,11.47,11.73,19000
229,2007-03-13,11.67,12.06,11.67,11.67,12100
230,2007-03-14,12.86,12.86,11.6,11.67,7400
231,2007-03-15,11.54,11.54,11.15,11.15,800
232,2007-03-16,11.54,12.45,11.54,11.94,24600
233,2007-03-19,12.32,12.32,11.67,11.8,28700
234,2007-03-20,12.06,12.32,11.93,12.06,27800
235,2007-03-21,12.25,12.32,12.19,12.32,21800
236,2007-03-22,12.45,12.71,12.45,12.45,19800
237,2007-03-23,12.58,12.58,12.19,12.45,9800
238,2007-03-26,12.45,12.97,11.93,12.45,21600
239,2007-03-27,12.19,12.45,11.8,12.45,7500
240,2007-03-28,11.67,11.8,11.54,11.67,5600
