,time,open,high,low,close,volume
0,2018-01-18,3.6,3.6,3.6,3.6,5000
1,2018-01-19,3.84,3.84,3.84,3.84,2200
2,2018-01-22,4.1,4.1,4.1,4.1,3400
3,2018-01-23,4.1,4.1,4.1,4.1,0
4,2018-01-24,4.1,4.1,4.1,4.1,0
5,2018-01-25,4.39,4.39,4.39,4.39,1000
6,2018-01-26,4.69,4.69,4.69,4.69,9900
7,2018-01-29,5.02,5.02,5.02,5.02,7000
8,2018-01-30,5.36,5.36,5.02,5.36,291600
9,2018-01-31,5.08,5.72,5.08,5.71,240700
10,2018-02-01,5.86,5.86,5.32,5.32,214680
11,2018-02-02,5.21,5.32,4.95,5.32,154050
12,2018-02-05,4.98,5.21,4.95,5.21,165240
13,2018-02-06,5.21,5.21,4.85,4.85,182810
14,2018-02-07,4.94,5.19,4.85,5.19,166790
15,2018-02-08,5.47,5.47,5.19,5.21,108730
16,2018-02-09,5.21,5.45,5.16,5.29,101080
17,2018-02-12,5.29,5.47,5.21,5.32,128290
18,2018-02-13,5.47,5.47,5.21,5.34,130330
19,2018-02-21,5.34,5.34,5.08,5.08,76550
20,2018-02-22,5.08,5.21,4.95,4.95,115010
21,2018-02-23,4.85,5.08,4.85,4.85,151990
22,2018-02-26,4.95,5.19,4.95,5.19,114390
23,2018-02-27,5.19,5.47,5.08,5.47,106990
24,2018-02-28,5.45,5.45,5.21,5.29,108870
25,2018-03-01,5.42,5.42,5.08,5.21,105870
26,2018-03-02,5.13,5.21,5.08,5.08,113140
27,2018-03-05,5.11,5.13,5.03,5.11,102060
28,2018-03-06,5.11,5.21,5.11,5.21,95930
29,2018-03-07,5.11,5.29,5.08,5.21,88030
30,2018-03-08,5.08,5.21,4.95,4.95,94850
31,2018-03-09,5.03,5.16,4.98,5.13,71230
32,2018-03-12,5.13,5.19,5.08,5.13,57800
33,2018-03-13,5.13,5.19,5.08,5.13,44830
34,2018-03-14,5.13,5.19,5.08,5.11,33400
35,2018-03-15,5.11,5.13,5.08,5.11,40180
36,2018-03-16,5.06,5.08,4.95,5.08,34770
37,2018-03-19,5.08,5.08,4.95,5.03,40660
38,2018-03-20,4.95,4.95,4.9,4.95,44830
39,2018-03-21,4.95,4.95,4.87,4.95,39310
40,2018-03-22,4.95,4.95,4.85,4.9,27640
41,2018-03-23,4.85,4.9,4.79,4.82,25380
42,2018-03-26,4.82,4.82,4.69,4.69,28350
43,2018-03-27,4.61,4.69,4.61,4.69,26550
44,2018-03-28,4.69,4.69,4.61,4.69,17500
45,2018-03-29,4.69,4.69,4.61,4.69,17130
46,2018-03-30,4.69,4.69,4.66,4.69,16910
47,2018-04-02,4.69,4.69,4.66,4.69,12590
48,2018-04-03,4.69,4.69,4.56,4.66,17040
49,2018-04-04,4.66,4.66,4.64,4.65,10090
50,2018-04-05,4.65,4.66,4.61,4.65,11490
51,2018-04-06,4.65,4.65,4.56,4.56,8200
52,2018-04-09,4.56,4.69,4.56,4.66,10550
53,2018-04-10,4.66,4.66,4.43,4.64,5250
54,2018-04-11,4.64,4.64,4.33,4.33,11840
55,2018-04-12,4.43,4.43,4.33,4.38,6440
56,2018-04-13,4.38,4.68,4.17,4.68,108550
57,2018-04-16,4.68,4.82,4.68,4.82,41750
58,2018-04-17,4.85,4.9,4.82,4.9,20380
59,2018-04-18,4.9,4.93,4.79,4.93,33730
60,2018-04-19,4.93,4.93,4.79,4.87,33300
61,2018-04-20,4.87,4.9,4.79,4.9,29340
62,2018-04-23,4.9,4.9,4.69,4.79,10000
63,2018-04-24,4.79,4.82,4.72,4.79,9230
64,2018-04-26,4.79,4.79,4.69,4.69,4500
65,2018-04-27,4.69,4.82,4.69,4.78,4720
66,2018-05-02,4.78,4.78,4.69,4.78,5160
67,2018-05-03,4.69,4.77,4.69,4.69,8380
68,2018-05-04,4.69,4.77,4.69,4.69,7460
69,2018-05-07,4.69,4.74,4.64,4.69,6500
70,2018-05-08,4.69,4.72,4.59,4.66,10700
71,2018-05-09,4.66,4.66,4.56,4.66,5640
72,2018-05-10,4.56,4.66,4.53,4.61,43860
73,2018-05-11,4.61,4.61,4.51,4.61,67550
74,2018-05-14,4.6,4.61,4.53,4.61,45050
75,2018-05-15,4.61,4.61,4.48,4.52,41430
76,2018-05-16,4.48,4.61,4.48,4.61,19760
77,2018-05-17,4.61,4.66,4.56,4.66,21500
78,2018-05-18,4.66,4.66,4.59,4.64,20820
79,2018-05-21,4.64,4.64,4.56,4.64,23420
