,time,open,high,low,close,volume
0,2009-09-09,6.8,6.8,6.8,6.8,500
1,2009-09-10,7.14,7.14,7.14,7.14,200
2,2009-09-11,7.48,7.48,7.48,7.48,500
3,2009-09-14,7.84,7.84,7.84,7.84,700
4,2009-09-15,8.22,8.22,8.22,8.22,500
5,2009-09-16,8.62,8.62,8.62,8.62,800
6,2009-09-17,9.03,9.03,9.03,9.03,6700
7,2009-09-18,9.45,9.45,9.45,9.45,2000
8,2009-09-21,9.92,9.92,9.92,9.92,500
9,2009-09-22,10.39,10.39,10.39,10.39,1000
10,2009-09-23,10.87,10.87,10.87,10.87,1000
11,2009-09-24,11.34,11.34,11.34,11.34,930
12,2009-09-25,11.91,11.91,11.91,11.91,5960
13,2009-09-28,12.47,12.47,12.47,12.47,500
14,2009-09-29,13.04,13.04,13.04,13.04,2700
15,2009-09-30,13.61,13.61,13.61,13.61,6320
16,2009-10-01,14.27,14.27,14.27,14.27,8200
17,2009-10-02,14.93,14.93,14.93,14.93,93380
18,2009-10-05,15.59,15.59,15.59,15.59,9620
19,2009-10-06,16.35,16.35,16.35,16.35,1010
20,2009-10-07,17.1,17.1,17.1,17.1,6510
21,2009-10-08,17.95,17.95,17.95,17.95,74700
22,2009-10-09,18.8,18.8,18.8,18.8,42680
23,2009-10-12,19.65,19.65,19.65,19.65,21030
24,2009-10-13,20.6,20.6,20.6,20.6,23460
25,2009-10-14,21.54,21.54,21.54,21.54,24290
26,2009-10-15,22.49,22.49,22.49,22.49,18310
27,2009-10-16,23.43,23.43,23.43,23.43,39210
28,2009-10-19,24.57,24.57,22.3,22.49,148490
29,2009-10-20,21.73,22.49,21.54,21.54,100340
30,2009-10-21,20.6,22.49,20.6,22.49,72320
31,2009-10-22,22.87,22.87,21.54,22.49,26480
32,2009-10-23,21.54,21.54,21.54,21.54,26840
33,2009-10-26,20.6,20.6,20.6,20.6,3740
34,2009-10-27,19.65,19.65,19.65,19.65,530
35,2009-10-28,18.71,18.71,18.71,18.71,2110
36,2009-10-29,17.86,17.86,17.86,17.86,2880
37,2009-10-30,17.01,17.2,17.01,17.01,70590
38,2009-11-02,16.16,16.16,16.16,16.16,29490
39,2009-11-03,15.4,15.4,15.4,15.4,6300
40,2009-11-04,14.65,15.31,14.65,14.65,42350
41,2009-11-05,13.98,15.31,13.98,15.31,30800
42,2009-11-06,16.06,16.06,15.87,16.06,61680
43,2009-11-09,15.31,15.31,15.31,15.31,6130
44,2009-11-10,14.55,14.55,14.55,14.55,7420
45,2009-11-11,13.89,13.89,13.89,13.89,12100
46,2009-11-12,13.89,14.55,13.89,14.46,53980
47,2009-11-13,13.8,14.74,13.8,14.74,18320
48,2009-11-16,14.36,14.93,14.17,14.27,15810
49,2009-11-17,14.27,14.27,13.8,13.89,12640
50,2009-11-18,13.7,14.36,13.61,14.36,32210
51,2009-11-19,14.65,15.02,14.65,15.02,78970
52,2009-11-20,15.69,15.69,15.69,15.69,20680
53,2009-11-23,15.69,15.69,14.93,14.93,59930
54,2009-11-24,14.55,14.93,14.27,14.27,20850
55,2009-11-25,13.8,14.08,13.61,13.61,27770
56,2009-11-26,12.95,12.95,12.95,12.95,1870
57,2009-11-27,12.36,13.53,12.36,12.36,86160
58,2009-11-30,12.06,12.95,12.06,12.65,17190
59,2009-12-01,12.95,13.14,12.55,12.75,23940
60,2009-12-02,12.95,12.95,12.16,12.16,28500
61,2009-12-03,12.16,12.36,11.57,12.16,41180
62,2009-12-04,12.55,12.55,11.57,12.16,18330
63,2009-12-07,12.16,12.16,12.06,12.16,19660
64,2009-12-08,12.55,12.55,12.16,12.55,25200
65,2009-12-09,12.06,12.65,11.96,12.55,36770
66,2009-12-10,12.75,12.75,11.96,11.96,18440
67,2009-12-11,11.38,11.57,11.38,11.38,4090
68,2009-12-14,10.89,11.47,10.89,10.89,17480
69,2009-12-15,10.49,10.49,10.4,10.4,12570
70,2009-12-16,9.91,9.91,9.91,9.91,2810
71,2009-12-17,9.41,9.41,9.41,9.41,600
72,2009-12-18,8.96,9.81,8.94,9.81,26460
73,2009-12-21,10.3,10.3,9.51,10.3,5250
74,2009-12-22,10.49,10.59,10.2,10.2,15210
75,2009-12-23,9.81,10.3,9.81,9.81,7150
76,2009-12-24,9.61,10.2,9.41,10.2,27680
77,2009-12-25,10.59,10.69,10.59,10.69,20400
78,2009-12-28,11.18,11.18,10.69,11.18,30290
79,2009-12-29,11.18,11.47,10.79,11.28,8550
80,2009-12-30,10.89,11.77,10.79,11.38,13430
81,2009-12-31,10.89,11.57,10.89,10.89,19920
82,2010-01-04,11.38,11.38,11.18,11.38,40070
83,2010-01-05,11.77,11.87,11.77,11.87,16450
84,2010-01-06,12.45,12.45,12.45,12.45,18300
85,2010-01-07,13.04,13.04,13.04,13.04,12520
86,2010-01-08,13.63,13.63,13.63,13.63,137940
87,2010-01-11,13.34,13.34,13.04,13.14,59670
88,2010-01-12,12.75,13.14,12.55,12.55,21860
89,2010-01-13,11.96,11.96,11.96,11.96,22650
90,2010-01-14,12.16,12.55,11.96,12.55,19600
91,2010-01-15,12.45,12.75,11.96,12.45,12120
92,2010-01-18,11.87,11.87,11.87,11.87,4630
93,2010-01-19,11.28,12.16,11.28,11.87,44200
94,2010-01-20,11.77,11.77,11.28,11.77,42820
95,2010-01-21,11.18,11.77,11.18,11.77,44510
96,2010-01-22,11.18,11.77,11.18,11.77,30420
97,2010-01-25,11.77,12.16,11.77,11.77,5590
98,2010-01-26,11.77,12.36,11.77,12.36,19910
99,2010-01-27,12.55,12.55,11.96,12.36,8640
100,2010-01-28,12.36,12.36,12.16,12.26,14800
101,2010-01-29,12.16,12.26,11.77,12.26,8850
102,2010-02-01,12.26,12.26,11.96,12.26,1820
103,2010-02-02,12.16,12.36,12.16,12.16,11160
104,2010-02-03,12.16,12.26,11.96,12.16,3100
105,2010-02-04,12.45,12.55,12.16,12.45,28000
106,2010-02-05,12.45,12.45,11.96,12.06,21150
107,2010-02-08,11.67,12.06,11.57,11.67,27000
108,2010-02-09,11.67,11.67,11.28,11.67,15110
109,2010-02-10,12.06,12.06,11.77,11.87,10200
110,2010-02-11,11.96,11.96,11.87,11.96,12500
111,2010-02-12,11.96,12.16,11.96,12.16,10590
112,2010-02-22,12.75,12.75,12.45,12.75,6720
113,2010-02-23,12.75,12.75,12.45,12.55,9480
114,2010-02-24,12.45,12.55,12.45,12.45,4770
115,2010-02-25,12.55,12.55,12.45,12.45,7010
116,2010-02-26,11.87,12.45,11.87,12.45,10760
117,2010-03-01,12.45,12.55,12.45,12.45,2800
118,2010-03-02,12.45,12.45,12.36,12.36,9620
119,2010-03-03,12.36,12.55,12.36,12.55,7710
120,2010-03-04,12.55,12.75,12.45,12.55,16150
121,2010-03-05,12.65,12.85,12.55,12.55,20440
122,2010-03-08,12.55,12.75,12.55,12.65,11620
123,2010-03-09,12.65,12.65,12.55,12.65,23490
124,2010-03-10,12.45,12.65,12.45,12.45,13510
125,2010-03-11,12.65,12.65,12.45,12.65,19810
126,2010-03-12,12.75,13.24,12.75,13.24,35710
127,2010-03-15,13.83,13.83,13.83,13.83,54780
128,2010-03-16,14.42,14.42,13.24,13.24,27560
129,2010-03-17,13.24,13.63,12.75,13.44,11610
130,2010-03-18,13.44,13.44,12.85,13.44,23610
131,2010-03-19,12.95,13.63,12.95,13.34,11680
132,2010-03-22,13.14,13.44,12.85,13.14,9890
