,time,open,high,low,close,volume
0,2005-07-14,4.25,2.77,2.77,2.77,0
1,2005-07-18,2.77,2.77,2.77,2.77,0
2,2005-07-20,2.77,2.77,2.77,2.77,0
3,2005-07-22,2.74,2.74,2.74,2.74,0
4,2005-07-25,,2.74,2.74,2.74,0
5,2005-07-27,2.77,2.77,2.77,2.77,0
6,2005-07-29,2.81,2.77,2.77,2.77,0
7,2005-08-01,2.72,2.74,2.74,2.74,0
8,2005-08-03,2.77,2.77,2.77,2.77,0
9,2005-08-05,2.74,2.77,2.77,2.77,0
10,2005-08-08,2.74,2.77,2.77,2.77,0
11,2005-08-10,2.77,2.77,2.77,2.77,0
12,2005-08-12,2.74,2.77,2.77,2.77,0
13,2005-08-15,2.77,2.85,2.85,2.85,0
14,2005-08-17,2.74,2.81,2.81,2.81,0
15,2005-08-19,2.74,2.81,2.81,2.81,0
16,2005-08-22,2.77,2.72,2.72,2.72,0
17,2005-08-24,2.77,2.79,2.79,2.79,0
18,2005-08-26,2.77,2.79,2.79,2.79,0
19,2005-08-29,2.74,2.77,2.77,2.77,0
20,2005-08-31,2.77,2.77,2.77,2.77,0
21,2005-09-05,2.77,2.7,2.7,2.7,0
22,2005-09-07,2.74,2.72,2.72,2.72,0
23,2005-09-09,2.77,2.77,2.77,2.77,0
24,2005-09-12,2.74,2.74,2.74,2.74,0
25,2005-09-14,2.74,2.77,2.77,2.77,0
26,2005-09-16,2.49,2.6,2.6,2.6,0
27,2005-09-19,2.74,2.81,2.81,2.81,0
28,2005-09-21,2.7,2.7,2.7,2.7,0
29,2005-09-23,2.7,2.7,2.7,2.7,0
30,2005-09-26,2.72,2.77,2.77,2.77,0
31,2005-09-28,2.74,2.74,2.74,2.74,0
32,2005-09-30,2.74,2.72,2.72,2.72,0
33,2005-10-03,2.74,2.7,2.7,2.7,0
34,2005-10-05,2.72,2.72,2.72,2.72,0
35,2005-10-07,2.72,2.74,2.74,2.74,0
36,2005-10-10,2.72,2.72,2.72,2.72,0
37,2005-10-12,2.74,2.72,2.72,2.72,0
38,2005-10-14,2.72,2.72,2.72,2.72,0
39,2005-10-17,2.72,2.72,2.72,2.72,0
40,2005-10-19,2.72,2.74,2.74,2.74,0
41,2005-10-21,2.74,2.74,2.74,2.74,0
42,2005-10-24,2.74,2.74,2.74,2.74,0
43,2005-10-28,2.72,2.72,2.72,2.72,0
