,time,open,high,low,close,volume
0,2016-10-21,84.49,84.49,63.15,75.67,193900
1,2016-10-24,79.27,80.62,73.87,74.77,74900
2,2016-10-25,76.03,76.03,69.81,70.08,24700
3,2016-10-26,67.56,67.65,63.15,63.96,59400
4,2016-10-27,63.06,63.06,61.43,61.61,31340
5,2016-10-28,61.52,66.84,60.53,66.84,22460
6,2016-10-31,67.56,67.56,64.86,67.47,13700
7,2016-11-01,66.21,66.21,63.06,64.14,12000
8,2016-11-02,63.06,63.96,62.15,62.15,15500
9,2016-11-03,61.43,61.43,58.55,60.8,12900
10,2016-11-04,59.99,59.99,59.9,59.9,5400
11,2016-11-07,59.9,60.35,59.45,59.9,4500
12,2016-11-08,60.35,61.7,60.35,60.71,4000
13,2016-11-09,60.44,60.44,58.55,59.45,8800
14,2016-11-10,59.0,59.9,59.0,59.9,9200
15,2016-11-11,58.55,58.55,57.65,57.65,23700
16,2016-11-14,57.65,58.1,57.65,58.1,9500
17,2016-11-15,58.55,59.27,58.19,59.0,10000
18,2016-11-16,58.91,59.18,58.19,58.19,5900
19,2016-11-17,58.37,58.37,57.74,57.74,6100
20,2016-11-18,57.74,59.09,57.65,58.1,12400
21,2016-11-21,58.1,58.1,56.66,56.66,12900
22,2016-11-22,57.56,57.56,56.3,56.3,9700
23,2016-11-23,56.3,58.46,56.12,56.12,11600
24,2016-11-24,57.56,57.56,55.4,55.4,6000
25,2016-11-25,54.95,54.95,53.87,53.87,9300
26,2016-11-28,52.97,52.97,51.53,51.53,3000
27,2016-11-29,47.29,49.54,46.84,49.54,6200
28,2016-11-30,47.56,48.64,46.39,48.64,2700
29,2016-12-01,48.19,48.64,46.93,46.93,3400
30,2016-12-02,47.29,47.29,46.93,46.93,300
31,2016-12-05,47.02,47.02,45.04,45.49,4000
32,2016-12-06,44.59,45.04,43.96,43.96,6700
33,2016-12-07,50.44,50.44,46.84,47.74,900
34,2016-12-08,47.74,47.74,47.74,47.74,500
35,2016-12-09,45.94,48.64,45.94,47.29,15900
36,2016-12-12,50.35,50.35,45.04,45.04,6900
37,2016-12-13,46.84,46.84,46.39,46.39,10200
38,2016-12-14,47.47,47.74,47.47,47.74,1900
39,2016-12-15,46.39,46.39,46.39,46.39,100
40,2016-12-16,43.24,45.49,43.24,45.04,6800
41,2016-12-19,44.32,45.04,44.23,44.23,3400
42,2016-12-20,49.99,49.99,45.04,45.22,2600
43,2016-12-21,45.04,46.3,45.04,46.3,1700
44,2016-12-22,45.04,45.04,43.24,43.51,5700
45,2016-12-23,45.04,45.04,45.04,45.04,1600
46,2016-12-26,45.04,45.04,43.96,45.04,3600
47,2016-12-27,43.78,45.04,43.69,45.04,3100
48,2016-12-28,43.78,44.5,43.24,43.24,15600
49,2016-12-29,43.42,43.69,43.24,43.24,4300
50,2016-12-30,42.79,45.04,42.79,45.04,2000
51,2017-01-03,43.78,44.86,43.24,44.77,7500
52,2017-01-04,43.24,43.33,43.24,43.24,3200
53,2017-01-05,42.34,43.24,40.54,40.54,16900
54,2017-01-06,40.54,41.8,39.63,40.45,11800
55,2017-01-09,41.44,41.44,41.44,41.44,100
56,2017-01-10,40.09,40.09,39.91,39.91,900
57,2017-01-11,41.44,41.44,41.44,41.44,100
58,2017-01-12,40.54,41.44,39.63,41.44,9100
59,2017-01-13,40.54,41.44,40.54,41.44,700
60,2017-01-16,41.89,44.5,41.89,43.69,11600
61,2017-01-17,44.14,49.18,44.14,49.18,11900
62,2017-01-18,50.44,50.44,45.04,48.64,7800
63,2017-01-19,40.0,48.64,40.0,45.49,4200
64,2017-01-20,43.24,44.59,43.24,43.78,1300
65,2017-01-23,44.14,44.14,43.24,43.24,4900
66,2017-01-24,49.9,49.9,45.13,45.13,1000
67,2017-01-25,43.78,44.14,43.24,44.14,3000
68,2017-02-02,42.34,43.24,42.34,42.34,5400
69,2017-02-03,42.52,42.79,42.34,42.79,3500
70,2017-02-06,42.43,44.68,42.34,42.52,5600
71,2017-02-07,42.52,42.52,42.52,42.52,400
72,2017-02-08,42.52,43.24,42.52,43.24,2200
73,2017-02-09,42.61,44.14,42.61,43.33,9800
74,2017-02-10,43.24,43.24,42.43,42.52,2400
75,2017-02-13,42.61,42.79,42.34,42.34,10700
76,2017-02-14,42.43,42.43,41.98,42.25,3600
77,2017-02-15,42.34,42.34,42.34,42.34,200
78,2017-02-16,40.9,40.9,40.54,40.63,1900
79,2017-02-17,40.36,42.79,39.63,41.44,10500
80,2017-02-20,41.44,41.44,40.99,40.99,700
81,2017-02-21,40.36,41.44,40.36,41.44,900
82,2017-02-22,41.26,41.53,41.08,41.53,1300
83,2017-02-23,40.81,41.08,40.54,40.99,4500
84,2017-02-24,40.72,41.08,40.72,40.99,5800
85,2017-02-27,40.72,41.44,40.72,41.35,3953
86,2017-02-28,40.81,41.44,40.81,40.81,7634
87,2017-03-01,41.17,41.44,40.72,40.72,3988
88,2017-03-02,41.17,41.35,41.17,41.35,804
89,2017-03-03,40.81,41.26,40.81,40.81,2258
90,2017-03-06,40.54,40.63,39.91,39.91,5870
91,2017-03-07,42.16,42.16,39.63,40.09,12604
92,2017-03-08,40.54,40.54,40.18,40.18,850
93,2017-03-09,39.91,39.91,39.63,39.63,2101
94,2017-03-10,39.63,39.91,39.63,39.91,5900
95,2017-03-13,39.18,39.63,39.18,39.63,3502
96,2017-03-14,39.63,39.63,39.27,39.27,2000
97,2017-03-15,39.54,40.0,39.54,40.0,5800
98,2017-03-16,39.63,40.27,39.63,40.27,1900
99,2017-03-17,39.72,40.36,39.72,40.36,2900
100,2017-03-20,39.72,39.72,39.72,39.72,2200
101,2017-03-21,39.63,39.72,39.63,39.72,200
102,2017-03-22,40.54,40.54,39.63,39.63,1400
103,2017-03-23,39.72,39.72,39.72,39.72,200
104,2017-03-24,39.63,40.45,39.63,40.27,2100
105,2017-03-27,40.27,40.27,40.27,40.27,0
106,2017-03-28,40.36,40.45,40.36,40.45,900
107,2017-03-29,39.82,40.45,39.82,39.91,900
108,2017-03-30,39.91,39.91,39.91,39.91,0
109,2017-03-31,40.36,43.24,40.09,41.44,8000
110,2017-04-03,40.18,43.24,40.18,42.34,5700
111,2017-04-04,40.18,45.04,40.18,45.04,4900
112,2017-04-05,43.69,45.04,42.34,42.34,12100
113,2017-04-07,44.77,44.77,44.77,44.77,0
114,2017-04-10,39.63,39.82,39.63,39.82,7100
115,2017-04-11,39.72,39.82,39.72,39.82,2700
