,time,open,high,low,close,volume
0,2019-11-06,9.45,9.45,9.45,9.45,161100
1,2019-11-07,10.87,10.87,10.87,10.87,900
2,2019-11-08,12.44,12.44,12.44,12.44,200
3,2019-11-11,14.25,14.25,14.25,14.25,80100
4,2019-11-12,16.38,16.38,13.23,15.98,142800
5,2019-11-13,15.98,15.98,14.8,15.98,203600
6,2019-11-14,15.67,16.06,15.67,16.06,85300
7,2019-11-15,15.75,16.85,15.75,16.85,24000
8,2019-11-18,16.22,17.32,16.06,17.32,98000
9,2019-11-19,16.38,18.11,16.06,18.11,65300
10,2019-11-20,16.46,18.74,16.46,18.74,116600
11,2019-11-21,18.43,20.24,18.35,20.24,91800
12,2019-11-22,20.24,22.36,20.24,22.36,18300
13,2019-11-25,25.43,25.43,21.18,22.83,158200
14,2019-11-26,22.83,22.91,21.02,22.13,112600
15,2019-11-27,22.13,23.23,20.47,22.6,103900
16,2019-11-28,22.05,22.83,21.26,22.68,100700
17,2019-11-29,22.44,25.12,22.44,25.12,289600
18,2019-12-02,25.12,26.46,24.8,24.17,241000
19,2019-12-03,25.43,25.43,23.62,23.7,69700
20,2019-12-04,23.54,23.54,21.26,21.73,57200
21,2019-12-05,21.65,21.65,18.58,20.94,115410
22,2019-12-06,20.94,21.5,20.63,21.5,32100
23,2019-12-09,21.57,22.2,21.57,22.13,99600
24,2019-12-10,21.89,22.44,21.89,22.44,107000
25,2019-12-11,22.44,23.7,22.2,22.36,111200
26,2019-12-12,22.36,22.36,19.84,20.94,58400
27,2019-12-13,20.87,21.42,19.68,20.47,70110
28,2019-12-16,20.39,20.94,20.39,20.94,31880
29,2019-12-17,20.39,20.87,20.39,20.71,32400
30,2019-12-18,20.71,21.02,20.71,20.87,53300
31,2019-12-19,20.79,21.18,20.79,21.02,69600
32,2019-12-20,21.02,21.34,21.02,21.26,40321
33,2019-12-23,21.18,21.26,21.1,21.26,53710
34,2019-12-24,21.18,21.5,20.55,21.42,137630
35,2019-12-25,21.18,21.65,21.1,21.42,58340
36,2019-12-26,21.34,22.05,21.34,22.05,58119
37,2019-12-27,22.05,22.91,22.05,22.91,68700
38,2019-12-30,22.83,23.62,22.83,23.62,52710
39,2019-12-31,23.62,23.94,23.23,23.23,53719
40,2020-01-02,23.23,23.54,23.15,23.31,55808
41,2020-01-03,23.31,23.31,22.52,22.6,58600
42,2020-01-06,22.6,22.6,21.34,21.73,63600
43,2020-01-07,21.73,21.97,20.31,21.02,66600
44,2020-01-08,20.87,21.18,20.47,20.94,47400
45,2020-01-09,20.87,21.34,20.87,21.26,52200
46,2020-01-10,21.18,21.65,21.18,21.5,55500
47,2020-01-13,21.42,21.81,21.42,21.81,63810
48,2020-01-14,21.73,22.05,21.65,22.05,62820
49,2020-01-15,21.97,22.05,20.87,21.65,58100
50,2020-01-16,21.57,21.73,20.94,21.1,42100
51,2020-01-17,21.1,21.42,20.47,21.42,69900
52,2020-01-20,21.18,21.34,21.18,21.34,18840
53,2020-01-21,21.26,21.34,21.26,21.34,5000
54,2020-01-22,21.34,21.42,21.34,21.42,12100
55,2020-01-30,21.42,21.5,21.34,21.5,14800
56,2020-01-31,21.5,21.57,21.42,21.57,21844
57,2020-02-03,21.57,21.81,21.1,21.73,68629
