,time,open,high,low,close,volume
0,2006-09-20,14.89,14.89,13.79,13.79,5200
1,2006-09-21,14.07,15.28,13.96,15.28,9300
2,2006-09-22,16.38,16.38,16.38,16.38,17900
3,2006-09-25,17.98,17.98,16.38,16.38,5000
4,2006-09-26,16.55,17.1,16.0,16.0,5900
5,2006-09-27,16.05,16.55,15.72,15.72,8700
6,2006-09-28,15.72,15.72,15.45,15.45,9100
7,2006-09-29,15.45,15.45,14.34,15.45,5900
8,2006-10-02,15.45,15.45,15.06,15.06,4000
9,2006-10-03,15.06,15.06,14.89,14.89,2400
10,2006-10-04,14.89,14.89,14.78,14.78,3400
11,2006-10-05,13.85,14.51,13.79,14.23,5500
12,2006-10-06,13.79,13.9,13.79,13.9,4600
13,2006-10-09,13.9,14.07,13.79,13.96,10800
14,2006-10-10,13.9,14.62,13.85,14.62,500
15,2006-10-11,13.85,14.34,13.79,14.34,1300
16,2006-10-12,13.85,13.85,13.79,13.79,1800
17,2006-10-13,13.79,13.79,13.79,13.79,0
18,2006-10-16,13.68,13.68,13.24,13.24,5000
19,2006-10-17,13.52,13.52,13.24,13.24,2100
20,2006-10-18,13.24,13.24,13.24,13.24,5200
21,2006-10-19,13.24,13.24,13.24,13.24,0
22,2006-10-20,13.13,13.13,12.96,12.96,11500
23,2006-10-23,12.69,12.8,12.69,12.69,6300
24,2006-10-24,12.69,12.69,12.14,12.14,1900
25,2006-10-25,12.25,12.25,11.58,11.58,2800
26,2006-10-26,11.58,11.58,11.58,11.58,700
27,2006-10-27,11.58,11.58,11.58,11.58,200
28,2006-10-30,11.58,11.58,11.58,11.58,2000
29,2006-10-31,11.47,11.47,11.47,11.58,400
30,2006-11-01,11.31,11.31,11.03,11.03,2800
31,2006-11-02,11.09,11.09,11.09,11.09,1000
32,2006-11-03,11.09,11.09,11.09,11.09,0
33,2006-11-06,11.09,11.09,11.09,11.09,0
34,2006-11-07,11.09,11.09,11.03,11.03,8100
35,2006-11-08,11.03,11.09,11.03,11.09,12000
36,2006-11-09,11.03,11.09,11.03,11.03,5300
37,2006-11-10,11.03,11.03,11.03,11.03,3000
38,2006-11-13,11.09,11.09,11.09,11.09,100
39,2006-11-14,11.03,11.03,11.03,11.03,900
40,2006-11-15,11.03,11.03,11.03,11.03,0
41,2006-11-16,11.03,11.03,11.03,11.03,2000
42,2006-11-17,11.03,11.03,11.03,11.03,5100
43,2006-11-20,11.03,11.03,11.03,11.03,1900
44,2006-11-21,11.03,11.03,11.03,11.03,2200
45,2006-11-22,10.76,10.98,10.76,10.98,6100
46,2006-11-23,10.87,10.87,10.59,10.81,6600
47,2006-11-24,10.76,10.87,10.76,10.81,8500
48,2006-11-27,10.81,10.81,10.81,10.81,1400
49,2006-11-28,10.81,10.87,10.81,10.87,1900
50,2006-11-29,10.87,10.87,10.87,10.87,1200
51,2006-11-30,10.81,10.81,10.76,10.76,2600
52,2006-12-01,10.76,10.76,10.76,10.76,1100
53,2006-12-04,10.76,10.76,10.76,10.76,4100
54,2006-12-05,11.03,11.03,11.03,11.03,700
55,2006-12-06,10.76,10.76,10.76,10.76,1900
56,2006-12-07,10.76,10.76,10.76,10.76,100
57,2006-12-08,10.76,10.76,10.76,10.76,0
58,2006-12-11,10.65,11.42,10.65,11.42,200
59,2006-12-12,10.76,10.76,10.76,10.76,1000
60,2006-12-13,10.76,10.76,10.76,10.76,0
61,2006-12-14,10.48,10.48,10.48,10.48,1500
62,2006-12-15,10.37,10.37,10.37,10.21,500
63,2006-12-18,10.21,10.21,10.21,10.21,1000
64,2006-12-19,10.21,10.21,10.21,10.21,0
65,2006-12-20,10.21,10.21,10.21,10.21,0
66,2006-12-21,10.21,10.21,10.21,10.21,0
67,2006-12-22,10.76,10.76,10.32,10.32,800
68,2006-12-25,10.32,10.32,10.26,10.26,1800
69,2006-12-26,10.76,11.25,10.76,11.25,3500
70,2006-12-27,10.37,10.37,10.37,10.37,1900
71,2006-12-28,10.48,10.48,10.48,10.37,1600
72,2006-12-29,10.48,10.48,10.48,10.48,100
73,2007-01-02,10.48,10.48,10.48,10.48,0
74,2007-01-03,10.76,11.03,10.76,11.03,300
75,2007-01-04,11.03,11.03,11.03,11.03,0
76,2007-01-05,11.97,11.97,11.97,11.97,1000
77,2007-01-08,11.53,11.53,11.31,11.31,600
78,2007-01-09,10.76,11.58,10.76,11.58,4500
79,2007-01-10,11.58,11.58,11.36,11.58,3400
80,2007-01-11,11.47,11.47,11.47,11.47,1100
81,2007-01-12,11.47,11.69,11.47,11.69,13700
82,2007-01-15,12.14,12.69,11.75,12.41,8600
83,2007-01-16,13.24,13.52,13.24,13.52,8700
84,2007-01-17,14.56,14.78,13.85,14.07,5400
85,2007-01-18,13.52,13.52,13.52,13.52,3000
86,2007-01-19,13.79,13.79,13.79,13.79,1000
87,2007-01-22,14.07,14.07,14.07,13.79,500
88,2007-01-23,13.79,14.07,13.52,13.52,2700
89,2007-01-24,12.69,12.69,12.69,12.69,1500
90,2007-01-25,12.41,12.41,12.41,12.41,400
91,2007-01-26,12.14,12.41,12.14,12.41,3800
92,2007-01-29,12.69,12.69,12.14,12.14,500
93,2007-01-30,11.86,11.86,11.69,11.69,6000
94,2007-01-31,11.58,11.58,11.58,11.58,8000
95,2007-02-01,12.14,12.69,12.14,12.69,1000
96,2007-02-02,13.74,13.74,13.74,13.74,2700
97,2007-02-05,15.06,15.06,15.06,15.06,5000
98,2007-02-06,16.55,16.55,15.17,15.45,25600
99,2007-02-07,15.89,16.22,15.45,15.45,14700
100,2007-02-08,16.0,16.0,14.95,14.95,12700
101,2007-02-09,15.06,15.45,15.06,15.06,5800
102,2007-02-12,14.62,14.89,14.56,14.62,4200
103,2007-02-13,14.62,15.17,14.62,15.17,4100
104,2007-02-14,14.89,16.27,14.89,16.27,6600
105,2007-02-15,17.32,17.32,16.27,17.21,9300
106,2007-02-26,18.48,18.48,18.48,18.48,6000
107,2007-02-27,20.3,20.3,20.3,20.3,3500
108,2007-02-28,22.29,22.29,22.29,22.29,36100
109,2007-03-01,24.49,24.49,24.49,24.49,54800
110,2007-03-02,26.92,26.92,26.92,24.49,44300
111,2007-03-05,29.57,29.57,29.24,29.57,36100
112,2007-03-06,32.0,32.44,27.58,28.13,40700
113,2007-03-07,31.44,31.44,27.69,27.69,33400
114,2007-03-08,30.78,30.84,28.13,29.79,68900
115,2007-03-09,32.0,32.88,29.9,32.88,36400
116,2007-03-12,35.97,35.97,35.97,35.97,10400
117,2007-03-13,39.55,39.55,35.86,35.86,36300
