,time,open,high,low,close,volume
0,2017-01-06,11.35,11.35,11.35,11.35,2000
1,2017-01-09,13.06,13.06,13.06,13.06,900
2,2017-01-10,14.97,14.97,14.97,14.97,500
3,2017-01-11,14.97,14.97,14.97,14.97,0
4,2017-01-12,14.97,14.97,14.97,14.97,0
5,2017-01-13,14.97,14.97,14.97,14.97,0
6,2017-01-16,14.97,14.97,14.97,14.97,0
7,2017-01-17,14.97,14.97,14.97,14.97,0
8,2017-01-18,14.97,14.97,14.97,14.97,0
9,2017-01-19,14.97,14.97,14.97,14.97,0
10,2017-01-20,14.97,14.97,14.97,14.97,0
11,2017-01-23,14.97,14.97,14.97,14.97,0
12,2017-01-24,14.97,14.97,14.97,14.97,0
13,2017-01-25,14.97,14.97,14.97,14.97,0
14,2017-02-02,14.97,14.97,14.97,14.97,0
15,2017-02-03,12.75,12.75,12.75,12.75,100
16,2017-02-06,10.84,14.66,10.84,14.66,300
17,2017-02-07,12.39,12.39,12.39,12.39,600
18,2017-02-08,12.39,12.39,12.39,12.39,0
19,2017-02-09,12.9,12.9,12.9,12.9,300
20,2017-02-10,12.9,13.16,12.9,13.16,700
21,2017-02-13,12.9,13.16,11.1,11.1,1400
22,2017-02-14,11.1,11.1,11.1,11.1,0
23,2017-02-15,13.52,13.52,13.52,13.52,700
24,2017-02-16,13.83,13.83,11.51,13.78,900
25,2017-02-17,13.78,13.78,13.78,13.78,0
26,2017-02-20,13.78,13.78,13.78,13.78,0
27,2017-02-21,11.15,11.15,11.15,11.15,300
28,2017-02-22,9.5,11.56,9.5,11.56,2200
29,2017-02-23,10.94,10.94,10.94,10.94,100
30,2017-02-24,11.56,11.56,11.56,11.56,100
31,2017-02-27,13.21,13.21,13.21,13.21,100
32,2017-02-28,13.21,13.21,13.21,13.21,0
33,2017-03-01,14.92,14.92,11.25,11.25,200
34,2017-03-02,11.25,11.25,11.25,11.25,0
35,2017-03-03,11.25,11.25,11.25,11.25,0
36,2017-03-06,11.25,11.25,11.25,11.25,0
37,2017-03-07,11.25,11.25,11.25,11.25,0
38,2017-03-08,11.25,11.25,11.25,11.25,0
39,2017-03-09,11.25,11.25,11.25,11.25,0
40,2017-03-10,11.25,11.25,11.25,11.25,0
41,2017-03-13,11.25,11.25,11.25,11.25,0
42,2017-03-14,11.25,11.25,11.25,11.25,0
