,time,open,high,low,close,volume
0,2010-08-10,0.0,0.0,0.0,0.0,0
1,2010-08-11,0.0,0.0,0.0,0.0,0
2,2010-08-12,0.0,0.0,0.0,0.0,0
3,2010-08-13,0.0,0.0,0.0,0.0,0
4,2010-08-16,7.43,7.43,7.43,7.43,2500
5,2010-08-17,7.47,7.87,7.47,7.87,9000
6,2010-08-18,8.26,8.26,7.65,7.65,1500
7,2010-08-19,7.65,8.04,7.65,7.65,1200
8,2010-08-20,7.69,7.69,7.69,7.69,500
9,2010-08-23,7.87,7.87,7.87,7.87,500
10,2010-08-25,7.43,7.43,7.43,7.43,100
11,2010-08-26,6.77,6.77,6.77,6.77,100
12,2010-08-27,6.21,6.21,6.21,6.21,100
13,2010-08-30,5.59,6.73,5.59,6.73,1100
14,2010-08-31,6.99,6.99,6.99,6.99,1000
15,2010-09-01,6.82,6.82,6.82,6.82,100
16,2010-09-06,6.82,6.82,6.82,6.82,0
17,2010-09-07,7.47,7.47,7.47,7.47,2800
18,2010-09-08,7.47,7.47,7.47,7.47,1000
19,2010-09-09,8.22,8.22,8.22,8.22,200
20,2010-09-10,8.96,8.96,8.96,8.96,8100
21,2010-09-13,8.09,8.09,8.09,8.09,100
22,2010-09-14,7.39,8.09,7.39,8.09,5100
23,2010-09-15,7.34,7.34,7.34,7.34,100
24,2010-09-16,8.04,8.04,8.04,8.04,3400
25,2010-09-17,8.04,8.04,8.04,8.04,354800
26,2010-09-20,8.04,8.04,8.04,8.04,0
27,2010-09-21,8.74,8.74,8.74,8.74,100
28,2010-09-22,7.95,7.95,7.95,7.95,100
29,2010-09-23,7.17,8.74,7.17,8.74,300
30,2010-09-24,7.26,7.26,7.26,7.26,100
31,2010-09-27,6.64,6.64,6.64,6.64,100
32,2010-09-28,7.3,7.3,7.3,7.3,25100
33,2010-09-29,7.3,7.3,7.3,7.3,84980
34,2010-09-30,7.87,7.87,7.87,7.87,2000
35,2010-10-01,8.48,8.48,7.08,7.08,4200
36,2010-10-04,7.78,7.78,7.78,7.78,100
37,2010-10-05,7.78,7.78,7.78,7.78,0
38,2010-10-06,7.78,7.78,7.78,7.78,0
39,2010-10-07,7.78,7.78,7.04,7.04,32300
40,2010-10-08,7.74,7.74,7.21,7.43,14100
41,2010-10-11,7.34,7.43,7.43,7.43,0
42,2010-10-12,6.99,6.99,6.99,6.99,6000
43,2010-10-13,6.99,6.99,6.99,6.99,1000
44,2010-10-14,6.99,6.99,6.99,6.99,0
45,2010-10-15,6.99,6.99,6.99,6.99,0
46,2010-10-18,6.99,6.99,6.99,6.99,7100
47,2010-10-19,6.99,6.99,6.99,6.99,0
48,2010-10-20,6.82,6.82,6.77,6.77,3000
49,2010-10-21,6.77,7.34,6.77,6.77,4500
50,2010-10-22,6.82,6.77,6.77,6.77,0
51,2010-10-25,6.82,6.77,6.77,6.77,0
52,2010-10-26,6.99,6.99,6.99,6.99,2700
53,2010-10-27,6.99,6.99,6.99,6.99,0
54,2010-10-28,6.99,6.99,6.99,6.99,0
55,2010-10-29,6.99,6.99,6.99,6.99,0
56,2010-11-01,6.82,6.82,6.82,6.82,300
57,2010-11-02,6.82,6.82,6.82,6.82,0
58,2010-11-03,6.99,6.99,6.86,6.86,2800
59,2010-11-04,6.82,6.82,6.77,6.77,4000
60,2010-11-05,6.82,6.77,6.77,6.77,0
61,2010-11-08,6.82,6.77,6.77,6.77,0
62,2010-11-09,6.82,6.77,6.77,6.77,0
63,2010-11-10,6.77,6.77,6.77,6.77,1000
64,2010-11-11,6.77,6.77,6.77,6.77,0
