,time,open,high,low,close,volume
0,2018-07-09,21.15,21.15,14.69,14.69,1100
1,2018-07-10,15.27,15.27,15.27,15.27,0
2,2018-07-11,17.55,17.55,14.69,14.69,10000
3,2018-07-12,14.69,14.69,14.32,14.32,2900
4,2018-07-13,16.67,16.67,16.67,16.67,500
5,2018-07-16,14.69,14.69,14.69,14.69,2000
6,2018-07-17,14.32,14.32,13.95,13.95,2300
7,2018-07-18,14.1,14.1,14.1,14.1,0
8,2018-07-19,14.1,14.1,14.1,14.1,0
9,2018-07-20,14.1,14.1,14.1,14.1,0
10,2018-07-23,14.69,14.69,14.69,0.0,500
11,2018-07-24,13.95,15.05,13.95,15.05,1000
12,2018-07-25,14.76,14.76,14.76,14.76,0
13,2018-07-26,12.56,12.7,12.56,12.7,15000
14,2018-07-27,12.63,12.63,12.63,12.63,0
15,2018-07-30,13.22,13.22,13.22,13.22,300
16,2018-07-31,13.22,13.22,13.22,13.22,0
17,2018-08-01,15.2,15.2,15.2,15.2,100
18,2018-08-02,15.2,15.2,15.2,15.2,0
19,2018-08-03,15.2,15.2,15.2,15.2,0
20,2018-08-06,15.05,15.05,14.69,14.69,1300
21,2018-08-07,14.69,14.69,14.69,14.69,3100
22,2018-08-08,14.69,14.69,14.69,14.69,1800
23,2018-08-09,16.89,16.89,14.69,14.69,2600
24,2018-08-10,15.27,15.27,15.27,15.27,0
25,2018-08-13,13.07,17.55,13.07,17.55,1000
26,2018-08-14,19.46,19.46,15.35,15.35,1400
27,2018-08-15,14.69,16.52,14.69,16.52,8800
28,2018-08-16,16.52,16.52,16.52,16.52,1500
29,2018-08-17,14.69,14.69,14.69,14.69,100
30,2018-08-20,12.63,16.89,12.63,16.89,200
31,2018-08-21,16.82,16.89,16.82,16.82,6000
32,2018-08-22,14.76,17.62,14.76,17.62,9700
33,2018-08-23,16.74,16.74,16.74,16.74,4200
34,2018-08-24,14.47,16.74,14.47,16.74,500
35,2018-08-27,14.76,14.76,14.76,14.76,100
36,2018-08-28,16.45,16.45,16.45,16.45,100
37,2018-08-29,14.17,16.15,14.17,16.15,200
38,2018-08-30,16.08,16.08,16.08,16.08,100
39,2018-08-31,14.39,14.39,14.39,14.39,100
40,2018-09-04,14.39,14.39,14.39,14.39,0
41,2018-09-05,12.56,14.69,12.56,14.69,200
42,2018-09-06,13.66,13.66,12.63,13.22,900
43,2018-09-07,13.29,13.29,13.22,13.22,2200
44,2018-09-10,13.22,13.22,13.22,13.22,0
45,2018-09-11,13.95,13.95,13.95,13.95,500
46,2018-09-12,13.95,13.95,13.95,13.95,0
47,2018-09-13,14.61,14.69,14.61,14.69,6100
48,2018-09-14,14.69,14.69,14.69,14.69,4700
49,2018-09-17,12.92,12.92,12.92,12.92,100
50,2018-09-18,12.92,12.92,12.92,12.92,0
51,2018-09-19,12.92,12.92,12.92,12.92,0
52,2018-09-20,12.92,12.92,12.92,12.92,0
53,2018-09-21,13.22,13.22,13.22,13.22,100
54,2018-09-24,15.2,15.2,15.2,15.2,100
55,2018-09-25,13.36,13.36,13.36,13.36,100
56,2018-09-26,15.35,15.35,15.35,15.35,700
57,2018-09-27,13.36,16.6,13.36,16.6,10100
58,2018-09-28,16.6,16.6,16.6,16.6,12400
59,2018-10-01,16.6,16.82,16.6,16.82,8700
60,2018-10-02,16.67,16.67,16.6,16.6,300
61,2018-10-03,16.6,16.6,16.6,16.6,0
62,2018-10-04,16.82,16.89,16.82,16.89,3400
63,2018-10-05,16.82,16.82,16.82,16.82,100
64,2018-10-08,15.93,15.93,15.93,15.93,100
65,2018-10-09,15.93,15.93,15.93,15.93,0
66,2018-10-10,15.93,15.93,15.93,15.93,0
67,2018-10-11,16.15,16.15,16.15,16.15,100
68,2018-10-12,16.15,16.15,13.95,13.95,200
69,2018-10-15,15.05,15.05,15.05,15.05,0
70,2018-10-16,15.05,15.05,15.05,15.05,0
71,2018-10-17,14.1,14.1,14.1,14.1,100
