,time,open,high,low,close,volume
0,2021-08-16,15.44,15.44,15.44,15.44,5500
1,2021-08-17,17.72,17.72,17.72,17.72,300
2,2021-08-18,20.35,20.35,20.35,20.35,20700
3,2021-08-19,20.35,23.34,17.37,17.37,54700
4,2021-08-20,17.11,18.42,17.11,17.11,16201
5,2021-08-23,17.11,17.11,14.91,16.67,5700
6,2021-08-24,15.27,17.11,14.91,17.11,6800
7,2021-08-25,17.11,17.11,15.35,17.02,1000
8,2021-08-26,16.14,16.93,15.79,15.79,900
9,2021-08-27,16.14,16.14,16.14,16.14,200
10,2021-08-30,15.27,17.11,14.04,16.93,9100
11,2021-08-31,17.11,17.11,15.79,16.93,1000
12,2021-09-01,16.67,16.67,16.67,16.67,100
13,2021-09-06,15.18,15.18,14.91,15.18,3800
14,2021-09-07,15.35,15.35,15.18,15.18,700
15,2021-09-08,15.35,15.35,15.18,15.18,4700
16,2021-09-09,15.79,15.79,15.62,15.62,1200
17,2021-09-10,16.14,16.14,15.79,15.79,1101
18,2021-09-13,15.35,15.44,15.27,15.44,1400
19,2021-09-14,15.79,15.79,14.91,14.91,5100
20,2021-09-15,15.35,15.35,15.35,15.35,1600
21,2021-09-16,15.79,15.79,15.09,15.09,300
22,2021-09-17,15.09,15.35,14.91,15.18,18400
23,2021-09-20,15.09,15.09,14.91,14.91,3800
24,2021-09-21,14.91,14.91,14.91,14.91,0
25,2021-09-22,14.91,14.91,14.91,14.91,300
26,2021-09-23,14.91,14.91,14.74,14.74,8000
27,2021-09-24,14.74,14.74,14.39,14.39,14701
28,2021-09-27,14.48,14.48,13.95,14.04,10600
29,2021-09-28,14.04,14.04,14.04,14.04,1100
30,2021-09-29,13.86,14.04,13.86,14.04,1600
31,2021-09-30,13.95,13.95,13.95,13.95,104
32,2021-10-01,13.95,14.21,13.95,14.21,1000
33,2021-10-04,14.91,15.79,14.91,15.53,3503
34,2021-10-05,16.67,16.67,16.67,16.67,100
35,2021-10-06,15.35,15.79,15.35,15.79,2500
36,2021-10-07,14.04,15.35,14.04,15.35,1101
37,2021-10-08,15.27,15.27,15.27,15.27,0
38,2021-10-11,15.35,15.79,15.35,15.79,1708
39,2021-10-12,15.79,15.79,15.79,15.79,1701
40,2021-10-13,15.79,15.79,15.79,15.79,201
41,2021-10-14,15.79,15.79,14.65,14.91,2203
42,2021-10-15,14.91,15.7,14.91,15.7,5402
43,2021-10-18,14.91,14.91,14.91,14.91,700
44,2021-10-19,12.81,15.27,12.81,15.27,306
45,2021-10-20,15.7,15.7,14.48,14.74,400
46,2021-10-21,14.48,14.74,14.48,14.74,2203
47,2021-10-22,14.65,14.65,14.65,14.65,2
48,2021-10-25,14.91,14.91,14.91,14.91,100
49,2021-10-26,14.91,14.91,14.91,14.91,19
50,2021-10-27,14.91,14.91,14.91,14.91,3
51,2021-10-28,14.91,14.91,14.91,14.91,0
52,2021-10-29,14.91,14.91,14.91,14.91,2003
53,2021-11-01,14.91,14.91,14.91,14.91,203
