,time,open,high,low,close,volume
0,2014-11-25,25.2,25.2,15.9,15.9,26900
1,2014-11-26,15.9,15.9,15.9,15.9,0
2,2014-11-27,15.9,15.9,15.9,15.9,0
3,2014-11-28,15.9,15.9,15.9,15.9,0
4,2014-12-01,15.9,15.9,15.9,15.9,0
5,2014-12-02,15.9,15.9,15.9,15.9,0
6,2014-12-03,15.9,15.9,15.9,15.9,0
7,2014-12-04,15.9,15.9,15.9,15.9,0
8,2014-12-05,15.9,15.9,15.9,15.9,0
9,2014-12-08,15.9,15.9,15.9,15.9,0
10,2014-12-09,15.9,15.9,15.9,15.9,0
11,2014-12-10,15.9,15.9,15.9,15.9,0
12,2014-12-11,15.9,15.9,15.9,15.9,0
13,2014-12-12,15.9,15.9,15.9,15.9,0
14,2014-12-15,17.8,17.8,17.8,17.8,100
15,2014-12-16,17.8,17.8,17.8,17.8,0
16,2014-12-17,17.8,17.8,17.8,17.8,0
17,2014-12-18,17.8,17.8,17.8,17.8,0
18,2014-12-19,16.1,16.1,16.1,16.1,100
19,2014-12-22,14.5,14.5,14.5,14.5,100
20,2014-12-23,14.5,14.5,14.5,14.5,0
21,2014-12-24,13.1,13.1,13.1,13.1,100
22,2014-12-25,13.1,13.1,13.1,13.1,0
23,2014-12-26,13.1,13.1,13.1,13.1,0
24,2014-12-29,13.1,13.1,13.1,13.1,0
25,2014-12-30,11.8,11.8,11.8,11.8,100
26,2014-12-31,10.7,10.7,10.7,10.7,100
27,2015-01-05,9.7,9.7,9.7,9.7,100
28,2015-01-06,8.8,8.8,8.8,8.8,200
29,2015-01-07,8.0,8.0,8.0,8.0,200
30,2015-01-08,7.2,7.2,7.2,7.2,1500
31,2015-01-09,6.6,6.6,6.5,6.5,14400
32,2015-01-12,6.5,7.1,6.5,7.1,33000
33,2015-01-13,7.8,7.8,7.8,7.8,11100
34,2015-01-14,8.5,8.5,8.5,8.5,3000
35,2015-01-15,9.3,9.3,9.3,9.3,200
36,2015-01-16,10.2,10.2,10.2,10.2,60240
37,2015-01-19,11.2,11.2,11.2,11.2,27262
38,2015-01-20,12.3,12.3,12.3,12.3,52910
39,2015-01-21,13.5,13.5,13.5,13.5,231929
40,2015-01-22,14.8,14.8,14.8,14.8,86145
41,2015-01-23,16.2,16.2,15.1,15.6,99264
42,2015-01-26,17.8,17.8,15.0,15.5,425776
43,2015-01-27,15.3,15.3,14.3,14.3,179920
44,2015-01-28,14.4,15.8,13.2,15.8,183361
45,2015-01-29,15.8,16.7,15.2,15.7,91387
46,2015-01-30,15.5,16.2,15.0,15.1,92153
47,2015-02-02,14.5,14.9,14.0,14.0,55173
48,2015-02-03,13.7,14.0,12.8,12.8,76700
49,2015-02-04,12.5,12.5,11.9,12.0,117200
50,2015-02-05,12.9,13.3,12.0,13.2,23800
51,2015-02-06,12.7,13.3,12.5,12.5,24500
52,2015-02-09,13.1,13.2,12.7,12.7,17300
53,2015-02-10,12.7,12.7,12.0,12.0,20700
54,2015-02-11,12.0,12.7,12.0,12.3,9222
55,2015-02-12,12.8,12.8,12.4,12.8,14700
56,2015-02-13,12.8,13.0,12.6,13.0,33720
57,2015-02-24,13.0,14.0,13.0,14.0,31530
58,2015-02-25,15.0,15.1,14.6,15.1,135639
59,2015-02-26,15.2,15.5,14.5,14.8,67788
60,2015-02-27,14.8,15.0,14.7,15.0,36902
61,2015-03-02,15.0,15.1,14.7,14.7,39058
62,2015-03-03,14.7,14.8,14.5,14.8,45900
63,2015-03-04,14.7,16.1,14.7,16.1,232864
64,2015-03-05,16.1,17.3,16.0,17.0,262061
65,2015-03-06,17.3,18.9,16.9,18.9,242540
66,2015-03-09,19.2,20.4,19.2,20.4,49206
67,2015-03-10,22.3,22.3,20.5,21.0,164517
68,2015-03-11,21.0,24.4,20.1,23.0,346651
69,2015-03-12,20.1,20.1,20.1,20.1,16805
70,2015-03-13,18.1,20.0,18.1,18.1,627583
71,2015-03-16,17.5,18.6,17.1,18.1,53287
72,2015-03-17,18.5,19.2,17.3,19.2,65400
73,2015-03-18,20.2,20.2,19.0,19.1,75300
74,2015-03-19,19.4,19.4,17.6,17.9,70100
75,2015-03-20,17.0,17.8,16.8,17.4,41000
76,2015-03-23,17.2,18.1,16.9,17.0,89910
77,2015-03-24,17.0,17.4,15.9,16.3,78325
78,2015-03-25,16.3,16.8,14.9,15.0,137100
79,2015-03-26,15.0,16.4,14.9,15.7,28914
80,2015-03-27,16.3,16.5,15.6,15.7,27800
81,2015-03-30,16.0,16.0,15.0,15.3,14510
82,2015-03-31,15.0,15.1,14.4,15.3,40400
83,2015-04-01,14.8,14.8,13.4,13.4,58710
84,2015-04-02,13.0,13.3,12.3,12.5,73300
85,2015-04-03,12.5,13.7,12.2,13.7,81130
86,2015-04-06,14.6,14.6,14.5,14.6,21116
87,2015-04-07,15.8,16.0,14.6,15.6,55203
88,2015-04-08,15.8,15.8,14.2,14.2,28900
89,2015-04-09,14.0,15.2,14.0,14.5,24200
90,2015-04-10,14.5,14.9,14.3,14.5,15600
91,2015-04-13,15.2,15.2,14.0,14.5,7800
92,2015-04-14,14.1,14.5,13.5,14.5,19100
93,2015-04-15,14.3,15.2,14.0,14.7,50700
94,2015-04-16,14.9,14.9,13.8,14.6,26000
95,2015-04-17,14.7,14.9,14.7,14.7,13000
96,2015-04-20,14.6,14.6,13.9,13.9,4900
97,2015-04-21,13.5,13.6,13.0,13.0,50500
98,2015-04-22,13.6,13.8,12.8,13.8,44600
99,2015-04-23,13.7,14.0,13.2,13.8,35300
100,2015-04-24,13.7,13.7,13.1,13.6,1800
101,2015-04-27,13.1,13.2,12.7,13.0,17200
102,2015-05-04,12.8,12.8,11.6,12.0,50600
103,2015-05-05,11.5,12.0,10.8,11.5,30300
104,2015-05-06,11.5,11.5,10.5,10.5,28800
105,2015-05-07,10.4,10.4,10.0,10.1,20600
106,2015-05-08,9.5,11.1,9.5,10.1,20979
107,2015-05-11,10.8,10.8,10.5,10.5,500
108,2015-05-12,11.3,11.4,9.8,9.8,14000
109,2015-05-13,10.6,10.6,9.9,9.9,44800
110,2015-05-14,9.6,9.6,9.2,9.3,16513
111,2015-05-15,10.2,10.2,8.5,9.4,35000
112,2015-05-18,9.3,9.6,9.0,9.4,44300
113,2015-05-19,9.5,9.5,8.6,8.9,17200
114,2015-05-20,9.8,9.9,9.0,9.9,18600
115,2015-05-21,8.8,10.0,8.8,9.7,10900
116,2015-05-22,9.6,9.6,9.4,9.6,7700
117,2015-05-25,9.1,9.4,9.0,9.1,20700
118,2015-05-26,9.2,9.7,9.0,9.5,25200
119,2015-05-27,9.3,9.3,9.0,9.0,44530
120,2015-05-28,9.2,9.2,9.1,9.2,13650
121,2015-05-29,9.1,9.1,8.5,9.0,15548
122,2015-06-01,8.9,9.1,8.4,8.7,35300
123,2015-06-02,8.9,8.9,8.3,8.4,45300
124,2015-06-03,9.1,9.1,8.0,8.7,3100
125,2015-06-04,8.5,8.6,8.2,8.5,44000
126,2015-06-05,8.6,9.3,8.6,9.3,26702
127,2015-06-08,9.9,9.9,9.9,9.9,1310
128,2015-06-09,10.8,10.8,10.7,10.8,98700
129,2015-06-10,11.8,11.8,10.8,10.8,136428
130,2015-06-11,10.9,11.1,10.5,11.0,17900
131,2015-06-12,10.0,10.6,9.9,9.9,19700
132,2015-06-15,10.0,10.0,9.0,9.8,24810
133,2015-06-16,9.7,10.4,9.6,9.6,15275
134,2015-06-17,9.6,10.0,9.0,9.5,91700
135,2015-06-18,10.0,10.0,9.5,9.6,4600
136,2015-06-19,10.0,10.4,10.0,10.4,61100
137,2015-06-22,10.4,10.4,9.8,9.9,20100
138,2015-06-23,10.0,10.0,10.0,10.0,15800
139,2015-06-24,10.0,10.0,9.8,9.8,13900
140,2015-06-25,10.0,10.0,9.1,9.1,10600
141,2015-06-26,9.9,9.9,9.1,9.7,2700
142,2015-06-29,9.1,9.6,9.1,9.6,5600
143,2015-06-30,9.2,9.3,9.1,9.2,7500
